id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
d_ex_clothingstore_07_51,d_ex_clothingstore_07,Choice,Locale_SuddenStory:d_ex_clothingstore_07_51,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,d_ex_clothingstore_07_54
d_ex_clothingstore_07_52,d_ex_clothingstore_07,Choice,Locale_SuddenStory:d_ex_clothingstore_07_52,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,d_ex_clothingstore_07_56
d_ex_clothingstore_07_53,d_ex_clothingstore_07,Choice,Locale_SuddenStory:d_ex_clothingstore_07_53,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,d_ex_clothingstore_07_58
d_ex_clothingstore_07_54,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_54,True,,12,100,1.0,,,ade,ade,,1,shy,,13,idle,
d_ex_clothingstore_07_55,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_55,True,,100,100,1.0,,,ade,ade,,1,shy,,13,idle,d_ex_clothingstore_07_68
d_ex_clothingstore_07_56,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_56,True,,12,100,1.0,,,ade,ade,,1,delight,,13,idle,
d_ex_clothingstore_07_57,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_57,True,,100,100,1.0,,,ade,ade,,1,delight,,13,idle,d_ex_clothingstore_07_68
d_ex_clothingstore_07_58,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_58,True,,12,100,1.0,,,ade,ade,,1,worried,,13,idle,
d_ex_clothingstore_07_59,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_59,True,,100,100,1.0,,,ade,ade,,1,worried,,13,idle,
d_ex_clothingstore_07_60,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_60,True,,S_130,S_1300,1.0,,,soda,soda,,1,worried,,13,serious,
d_ex_clothingstore_07_61,d_ex_clothingstore_07,Monologue,Locale_SuddenStory:d_ex_clothingstore_07_61,False,,S_1300,12,1.0,,,soda,,,1,worried,,13,serious,
d_ex_clothingstore_07_62,d_ex_clothingstore_07,Choice,Locale_SuddenStory:d_ex_clothingstore_07_62,False,,12,12,1.0,,,ade,,,1,worried,,13,serious,d_ex_clothingstore_07_64
d_ex_clothingstore_07_63,d_ex_clothingstore_07,Choice,Locale_SuddenStory:d_ex_clothingstore_07_63,False,,12,12,1.0,,,ade,,,1,worried,,13,serious,d_ex_clothingstore_07_66
d_ex_clothingstore_07_64,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_64,True,,12,100,1.0,,,ade,ade,,1,shy,,13,idle,
d_ex_clothingstore_07_65,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_65,True,,100,100,1.0,,,ade,ade,,1,shy,,13,idle,d_ex_clothingstore_07_68
d_ex_clothingstore_07_66,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_66,True,,12,100,1.0,,,ade,ade,,1,delight,,13,idle,
d_ex_clothingstore_07_67,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_67,True,,100,100,1.0,,,ade,ade,,1,delight,,13,idle,d_ex_clothingstore_07_68
d_ex_clothingstore_07_68,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_68,True,,100,12,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_69,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_69,True,,12,12,1.0,,,soda,soda,,1,idle,,13,sad,
d_ex_clothingstore_07_70,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_70,True,,12,12,1.0,,,soda,soda,,1,idle,,13,sad,
d_ex_clothingstore_07_71,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_71,True,,12,100,1.0,,,ade,ade,,1,worried,,13,sad,
d_ex_clothingstore_07_72,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_72,True,,100,100,1.0,,,ade,ade,,1,worried,,13,sad,
d_ex_clothingstore_07_73,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_73,False,,100,100,1.0,,,ade,,,1,worried,,13,sad,
d_ex_clothingstore_07_74,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_74,False,,S_1300,S_1300,1.0,,,soda,soda,,1,shy,,13,shy,
d_ex_clothingstore_07_75,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_75,True,,100,100,1.0,,,ade,ade,,1,shy,,13,shy,
d_ex_clothingstore_07_76,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_76,True,,100,100,1.0,,,ade,ade,,1,shy,,13,shy,
d_ex_clothingstore_07_77,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_77,True,,100,100,1.0,,,ade,ade,,1,idle,,13,shy,
d_ex_clothingstore_07_78,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_78,True,,100,12,1.0,,,soda,soda,,1,idle,,13,shy,
d_ex_clothingstore_07_79,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_79,True,,12,12,1.0,,,soda,soda,,1,idle,,13,think,
d_ex_clothingstore_07_80,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_80,True,,12,12,1.0,,,ade,ade,,1,delight,,13,think,
d_ex_clothingstore_07_81,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_81,True,,12,12,1.0,,,ade,ade,,1,delight,,13,think,
d_ex_clothingstore_07_82,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_82,True,,12,12,1.0,,,soda,soda,,1,delight,,13,idle,
d_ex_clothingstore_07_83,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_83,True,,12,12,1.0,,,soda,soda,,1,delight,,13,idle,
d_ex_clothingstore_07_84,d_ex_clothingstore_07,Monologue,Locale_SuddenStory:d_ex_clothingstore_07_84,False,,12,12,1.0,,,soda,,,1,delight,,13,idle,
d_ex_clothingstore_07_85,d_ex_clothingstore_07,Monologue,Locale_SuddenStory:d_ex_clothingstore_07_85,False,,12,12,1.0,,,soda,,,1,delight,,13,idle,
