id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_ex_command_01_64,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_64,True,,1,1,1.0,,,,rapi,rapi,,,,
d_ex_command_01_65,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_65,False,CommanderRoom,1,1,1.0,,,,rapi,,,,,
d_ex_command_01_66,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_66,True,,1,1,1.0,,,,rapi,rapi,rapi,1,idle,
d_ex_command_01_67,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_67,False,,1,1,1.0,,,,rapi,,,1,idle,
d_ex_command_01_68,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_68,True,,1,1,1.0,,,,rapi,rapi,,1,idle,
d_ex_command_01_69,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_69,False,,1,1,1.0,,,,rapi,,,1,idle,
d_ex_command_01_70,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_70,True,,1,1,1.0,none,,,rapi,rapi,,1,idle,
d_ex_command_01_71,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_71,True,,1,1,1.0,,,,rapi,rapi,,1,idle,
d_ex_command_01_72,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_72,True,,1,1,1.0,,,,rapi,rapi,,1,idle,
d_ex_command_01_73,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_73,True,,1,1,1.0,,,,rapi,rapi,,1,idle,
d_ex_command_01_74,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_74,False,,1,1,1.0,,,,,,,1,idle,rapi
d_ex_command_01_75,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_75,False,,1,1,1.0,bgm_story_sunshinesorrow,,,,,,,,
d_ex_command_01_76,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_76,False,none,1,1,1.0,,,,,,,,,
d_ex_command_01_77,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_77,False,ShowerRoom,1,1,1.0,,,sfx_scn_showerlever,,,,,,
d_ex_command_01_78,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_78,False,,1,1,1.0,,Blur_High,sfx_scn_shower,,,,,,
d_ex_command_01_79,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_79,False,,1,1,1.0,,Blur_High,,,,,,,
d_ex_command_01_80,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_80,False,none,1,1,1.0,,Blur_High,,,,,,,
