id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_filter_01,characters/5/hide_char_id,characters/6/hide_char_id,play_sound
d_subquest_1107_s_13,d_subquest_1107_s,Speech,unknown,unknown,Locale_SubScenario:d_subquest_1107_s_13,False,,5,idle,,3,idle,,1,angry,,160,150,1.0,,,,14,good,,16,idle,Low_2,,,,,,,,,,,,,,,
d_subquest_1107_s_14,d_subquest_1107_s,Speech,d,d,Locale_SubScenario:d_subquest_1107_s_14,True,,5,idle,,3,idle,,1,idle,,150,15,1.0,,,,14,good,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_15,d_subquest_1107_s,Speech,k,k,Locale_SubScenario:d_subquest_1107_s_15,True,,5,idle,,3,idle,,1,idle,,15,15,1.0,,,,14,delight,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_16,d_subquest_1107_s,Speech,k,k,Locale_SubScenario:d_subquest_1107_s_16,True,,5,idle,,3,idle,,1,idle,,15,15,1.0,,,,14,delight,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_17,d_subquest_1107_s,Speech,raptilion,raptilion,Locale_SubScenario:d_subquest_1107_s_17,False,,5,idle,,3,idle,,1,idle,,15,150,0.5,,,,14,delight,,16,idle,Low_2,,,,,,,,,,,,,,,
d_subquest_1107_s_18,d_subquest_1107_s,Monologue,,,Locale_SubScenario:d_subquest_1107_s_18,False,,5,idle,,3,idle,,1,idle,,150,150,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_19,d_subquest_1107_s,Monologue,,,Locale_SubScenario:d_subquest_1107_s_19,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_20,d_subquest_1107_s,Monologue,,,Locale_SubScenario:d_subquest_1107_s_20,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_21,d_subquest_1107_s,Monologue,,,Locale_SubScenario:d_subquest_1107_s_21,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_22,d_subquest_1107_s,Self,,Self,Locale_SubScenario:d_subquest_1107_s_22,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,none,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_23,d_subquest_1107_s,Speech,k,k,Locale_SubScenario:d_subquest_1107_s_23,True,,5,idle,,3,idle,,1,idle,,14,140,0.5,bgm_spot_counterattack,,,14,surprise,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_24,d_subquest_1107_s,Speech,k,k,Locale_SubScenario:d_subquest_1107_s_24,True,,5,idle,,3,idle,,1,idle,,140,140,1.0,,,,14,surprise,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_25,d_subquest_1107_s,Speech,d,d,Locale_SubScenario:d_subquest_1107_s_25,True,,5,idle,,3,idle,,1,idle,,140,160,1.0,,,,14,surprise,,16,angry,,,,,,,,,,,,,,,,
d_subquest_1107_s_26,d_subquest_1107_s,Self,,Self,Locale_SubScenario:d_subquest_1107_s_26,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,14,idle,,16,angry,,rapi,neon,anis,k,d,,,,,,,,,,
d_subquest_1107_s_27,d_subquest_1107_s,Narration,,Narration,Locale_SubScenario:d_subquest_1107_s_27,False,,,,,,,,,,CityForest_01,raptilion_9,raptilion_9,1.0,,,,,,,,,Low_2,,,,,,raptilion_me,9,idle,raptilion,5,idle,Grey,,,
d_subquest_1107_s_28,d_subquest_1107_s,Speech,raptilion,raptilion,Locale_SubScenario:d_subquest_1107_s_28,True,,,,,,,,,,,raptilion_9,raptilion_5,0.5,,,,,,,,,,,,,,,,9,idle,,5,idle,Grey,,,
d_subquest_1107_s_29,d_subquest_1107_s,Narration,,Narration,Locale_SubScenario:d_subquest_1107_s_29,False,,,,,,,,,,,raptilion_5,5,0.5,,,,,,,,,Low_2,,,,,,,9,idle,,5,idle,Grey,,,
d_subquest_1107_s_30,d_subquest_1107_s,Speech,raptilion,raptilion,Locale_SubScenario:d_subquest_1107_s_30,True,,,,,,,,,,,5,raptilion_5,1.0,,,,,,,,,,,,,,,,9,idle,,5,idle,Grey,,,
d_subquest_1107_s_31,d_subquest_1107_s,Narration,,Narration,Locale_SubScenario:d_subquest_1107_s_31,False,rapi,5,idle,neon,3,idle,anis,1,angry,IceLand_n,black,black,1.0,,,k,14,idle,d,16,idle,,,,,,,,9,idle,,5,idle,,raptilion_me,raptilion,sfx_scn_rapturehowl
d_subquest_1107_s_32,d_subquest_1107_s,Speech,d,d,Locale_SubScenario:d_subquest_1107_s_32,False,,5,idle,,3,idle,,1,angry,,15,160,0.5,,,,14,surprise,,16,surprise,,,,,,,,,,,,,,,,
d_subquest_1107_s_33,d_subquest_1107_s,Speech,k,k,Locale_SubScenario:d_subquest_1107_s_33,True,,5,idle,,3,idle,,1,angry,,160,140,0.5,,,,14,angry,,16,surprise,,,,,,,,,,,,,,,,
d_subquest_1107_s_34,d_subquest_1107_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_s_34,True,,5,angry,,3,idle,,1,angry,,5,5,1.0,,,,14,angry,,16,surprise,,,,,,,,,,,,,,,,
d_subquest_1107_s_35,d_subquest_1107_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_s_35,True,,5,angry,,3,idle,,1,angry,,5,50,0.5,,,,14,angry,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_36,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_36,True,,5,angry,,3,idle,,1,worry,,50,10,0.5,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_37,d_subquest_1107_s,Narration,,Narration,Locale_SubScenario:d_subquest_1107_s_37,False,,5,idle,,3,idle,,1,worry,,10,1,2.0,,,,14,idle,,16,idle,Low_2,,,,,,,,,,,,,,,sfx_scn_earthquake
d_subquest_1107_s_38,d_subquest_1107_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_s_38,True,,5,idle,,3,surprise,,1,worry,,1,5,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_39,d_subquest_1107_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_s_39,True,,5,idle,,3,surprise,,1,idle,,5,4,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_40,d_subquest_1107_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_s_40,True,,5,idle,,3,delight,,1,idle,,4,S_30,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_41,d_subquest_1107_s,Self,,Self,Locale_SubScenario:d_subquest_1107_s_41,False,,5,idle,,3,delight,,1,idle,,S_30,S_30,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_42,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_42,True,,5,idle,,3,idle,,1,idle,,S_30,2,2.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_43,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_43,True,,5,idle,,3,idle,,1,idle,,2,2,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_44,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_44,True,,5,idle,,3,idle,,1,idle,,2,2,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_45,d_subquest_1107_s,Self,,Self,Locale_SubScenario:d_subquest_1107_s_45,False,,5,idle,,3,idle,,1,idle,,2,2,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_46,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_46,True,,5,idle,,3,idle,,1,delight,,2,10,1.0,,,,14,idle,,16,idle,,,,,,,,,,,,,,,,
