id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_18af_05_31,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_31,False,,113,113,1.0,,,,1,surprise,,13,no,,15,idle
d_main_18af_05_32,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_32,True,,113,113,1.0,,,,1,delight,,13,no,,15,idle
d_main_18af_05_33,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_33,True,,113,113,1.0,,,,1,delight,,13,delight,,15,idle
d_main_18af_05_34,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_34,False,,150,150,1.0,,,,1,delight,,13,delight,,15,idle
d_main_18af_05_35,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_35,True,,150,150,1.0,,,,1,delight,,13,delight,,15,idle
d_main_18af_05_36,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_36,True,,113,113,1.0,,,,1,idle,,13,void,,15,idle
d_main_18af_05_37,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_37,True,,113,113,1.0,,,,1,worry,,13,void,,15,idle
d_main_18af_05_38,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_38,True,,150,150,1.0,,,,1,worry,,13,void,,15,idle
d_main_18af_05_39,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_39,False,,113,113,1.0,,,,1,worry,,13,void,,15,idle
d_main_18af_05_40,d_main_18af_05,Choice,,,Locale_MainScenario:d_main_18af_05_40,False,,113,113,1.0,,d_main_18af_05_42,,1,worry,,13,void,,15,idle
d_main_18af_05_41,d_main_18af_05,Choice,,,Locale_MainScenario:d_main_18af_05_41,False,,113,113,1.0,,d_main_18af_05_44,,1,worry,,13,void,,15,idle
d_main_18af_05_42,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_42,True,,113,113,1.0,,,,1,worry,,13,void,,15,idle
d_main_18af_05_43,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_43,True,,113,113,1.0,,d_main_18af_05_46,,1,worry,,13,void,,15,idle
d_main_18af_05_44,d_main_18af_05,Speech,anis,anis,Locale_MainScenario:d_main_18af_05_44,True,,113,113,1.0,,,,1,worry,,13,delight,,15,idle
d_main_18af_05_45,d_main_18af_05,Speech,neon,neon,Locale_MainScenario:d_main_18af_05_45,True,,113,113,1.0,,d_main_18af_05_46,,1,delight,,13,delight,,15,idle
d_main_18af_05_46,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_46,True,,113,150,1.0,,,,1,delight,,13,delight,,15,idle
d_main_18af_05_47,d_main_18af_05,Self,,,Locale_MainScenario:d_main_18af_05_47,False,,150,150,1.0,,,,1,delight,,13,delight,,15,idle
d_main_18af_05_48,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_48,True,,150,150,1.0,,,,1,idle,,13,delight,,15,idle
d_main_18af_05_49,d_main_18af_05,Self,,,Locale_MainScenario:d_main_18af_05_49,False,,150,150,1.0,,,,1,idle,,13,delight,,15,idle
d_main_18af_05_50,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_50,True,,150,150,1.0,,,,1,idle,,13,delight,,15,idle
d_main_18af_05_51,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_51,True,,150,150,1.0,,,,1,idle,,13,delight,,15,idle
d_main_18af_05_52,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_52,True,,150,150,1.0,,,,1,idle,,13,delight,,15,idle
d_main_18af_05_53,d_main_18af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_18af_05_53,True,,150,1500,1.0,,,,1,idle,,13,delight,,15,idle
