id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_subquest_1193_s_11,d_subquest_1193_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1193_s_11,True,,7,7,1.0,,,,,,8,angry,,6,delight,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_12,d_subquest_1193_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_s_12,True,,7,7,1.0,,,,,,8,angry,,6,delight,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_13,d_subquest_1193_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1193_s_13,False,,7,4,2.0,,,,,,8,idle,,6,delight,,4,think,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_14,d_subquest_1193_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1193_s_14,True,,4,4,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_15,d_subquest_1193_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_s_15,True,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_16,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_16,True,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_17,d_subquest_1193_s,Self,,Self,Locale_SubScenario:d_subquest_1193_s_17,False,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_18,d_subquest_1193_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_s_18,True,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle
d_subquest_1193_s_19,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_19,True,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,delight,,14,delight
d_subquest_1193_s_20,d_subquest_1193_s,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_s_20,True,,6018,6018,1.0,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,delight
d_subquest_1193_s_21,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_21,True,,L_140,L_140,0.3,,,,black,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,surprise
d_subquest_1193_s_22,d_subquest_1193_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_s_22,True,,L_140,XS_120,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,surprise
d_subquest_1193_s_23,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_23,True,,L_140,L_140,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry
d_subquest_1193_s_24,d_subquest_1193_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1193_s_24,True,,5,5,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry
d_subquest_1193_s_25,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_25,True,,5,5,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_26,d_subquest_1193_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_s_26,True,,5,5,1.0,,,,,,8,idle,,6,worry,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_27,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_27,True,,5,5,1.0,,,,,,8,idle,,6,worry,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_28,d_subquest_1193_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1193_s_28,False,,5,40,2.0,none,,,,,8,idle,,6,idle,,4,worry,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_29,d_subquest_1193_s,Monologue,,Monologue,Locale_SubScenario:d_subquest_1193_s_29,False,,40,40,1.0,,,,,,8,idle,,6,idle,,4,worry,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_30,d_subquest_1193_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1193_s_30,True,,40,4,0.3,bgm_story_herecomestrouble,,,,,8,idle,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_31,d_subquest_1193_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_s_31,True,,4,5,1.0,,,,,,8,idle,,6,no,,4,angry,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_32,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_32,True,,14,14,1.0,,,,,,8,idle,,6,no,,4,idle,,2,idle,,12,idle,,14,delight
d_subquest_1193_s_33,d_subquest_1193_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1193_s_33,True,,14,14,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,delight
d_subquest_1193_s_34,d_subquest_1193_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_s_34,True,,14,L_140,0.3,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,delight
d_subquest_1193_s_35,d_subquest_1193_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_s_35,True,,L_140,XS_120,0.3,,,Low_2,,,8,idle,,6,idle,,4,idle,,2,idle,,12,angry,,14,idle
d_subquest_1193_s_36,d_subquest_1193_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1193_s_36,True,,40,40,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,angry,,14,idle
d_subquest_1193_s_37,d_subquest_1193_s,Self,,Self,Locale_SubScenario:d_subquest_1193_s_37,False,,40,40,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
d_subquest_1193_s_38,d_subquest_1193_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1193_s_38,True,,40,40,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle
