id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_06_02_11,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_11,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_12,d_main_06_02,Speech,alice,alice,Locale_MainScenario:d_main_06_02_12,True,,10,S_30,1.0,,,,3,delight,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_13,d_main_06_02,Speech,anis,anis,Locale_MainScenario:d_main_06_02_13,True,,150,150,1.0,,,,3,delight,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_14,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_14,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_15,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_15,True,,10,100,3.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_16,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_16,True,,100,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_17,d_main_06_02,Speech,rapi,rapi,Locale_MainScenario:d_main_06_02_17,True,,130,130,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_18,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_18,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_19,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_19,True,,10,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_20,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_20,True,,100,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_21,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_21,True,,100,10,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_22,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_22,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_23,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_23,True,,10,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_24,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_24,True,,100,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_25,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_25,True,,100,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_26,d_main_06_02,Speech,rapi,rapi,Locale_MainScenario:d_main_06_02_26,False,,100,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_27,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_27,True,,100,1,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_28,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_28,True,,1,1,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_29,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_29,True,,1,1,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_30,d_main_06_02,Speech,rapi,rapi,Locale_MainScenario:d_main_06_02_30,True,,1,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_31,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_31,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_32,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_32,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_33,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_33,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_34,d_main_06_02,Speech,rapi,rapi,Locale_MainScenario:d_main_06_02_34,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_35,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_35,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_36,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_36,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_37,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_37,True,,113,10,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_38,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_38,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_39,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_39,True,,10,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_40,d_main_06_02,Speech,rapi,rapi,Locale_MainScenario:d_main_06_02_40,True,,100,1300,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_41,d_main_06_02,Speech,rapi,rapi,Locale_MainScenario:d_main_06_02_41,True,,1300,130,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_42,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_42,True,,130,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
d_main_06_02_43,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_43,True,,100,100,1.0,,,,3,idle,,1,idle,,13,idle,,15,void,,17,idle
