id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/hide_char_id,fade
d_ex_shopping_07_21,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_21,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_ex_shopping_07_22,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_22,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_ex_shopping_07_23,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_23,True,,2,idle,,12,worry,,120,120,1.0,,,,
d_ex_shopping_07_24,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_24,True,,2,idle,,12,worry,,120,120,1.0,,,,
d_ex_shopping_07_25,d_ex_shopping_07,Choice,,,Locale_SuddenStory:d_ex_shopping_07_25,False,,2,idle,,12,worry,,120,120,1.0,,d_ex_shopping_07_27,,
d_ex_shopping_07_26,d_ex_shopping_07,Choice,,,Locale_SuddenStory:d_ex_shopping_07_26,False,,2,idle,,12,worry,,120,120,1.0,,d_ex_shopping_07_27,,
d_ex_shopping_07_27,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_27,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_ex_shopping_07_28,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_28,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_ex_shopping_07_29,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_29,True,,2,idle,,12,delight,,120,120,1.0,,,,
d_ex_shopping_07_30,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_30,True,,2,idle,,12,delight,,120,12,1.0,,,,
d_ex_shopping_07_31,d_ex_shopping_07,Monologue,,Monologue,Locale_SuddenStory:d_ex_shopping_07_31,False,,2,idle,,12,idle,,12,12,1.0,,,naga,
d_ex_shopping_07_32,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_32,True,,2,shy_02,,,,,12,2,1.0,,,,
d_ex_shopping_07_33,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_33,True,,2,shy_02,,,,,2,2,1.0,,,,
d_ex_shopping_07_34,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_34,False,,2,shy,,,,,2,20,2.0,,,,
d_ex_shopping_07_35,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_35,False,,2,shy_02,,,,,20,200,2.0,,,,
d_ex_shopping_07_36,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_36,False,,2,shy_02,,,,,200,200,1.0,,,,
d_ex_shopping_07_37,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_37,True,,2,panic,,,,,200,2,0.7,,,,
d_ex_shopping_07_38,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_38,False,,2,panic,,,,,2,2,1.0,,,,
d_ex_shopping_07_39,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_39,True,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_40,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_40,True,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_41,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_41,False,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_42,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_42,True,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_43,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_43,True,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_44,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_44,True,,2,think,,,,,2,2,1.0,,,,
d_ex_shopping_07_45,d_ex_shopping_07,Monologue,,Monologue,Locale_SuddenStory:d_ex_shopping_07_45,False,,2,think,,,,,2,2,1.0,,,,
d_ex_shopping_07_46,d_ex_shopping_07,Narration,,Narration,Locale_SuddenStory:d_ex_shopping_07_46,False,,2,think,,,,,black,black,1.0,,,,
d_ex_shopping_07_47,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_47,True,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_48,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_48,True,,2,surprise,naga,12,idle,,2,1,1.0,,,,
d_ex_shopping_07_49,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_49,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_50,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_50,True,,2,surprise,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_51,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_51,True,,2,surprise,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_52,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_52,True,,2,panic,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_53,d_ex_shopping_07,Monologue,,Monologue,Locale_SuddenStory:d_ex_shopping_07_53,False,,2,panic,,12,delight,,1,1,1.0,,,naga,
d_ex_shopping_07_54,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_54,False,,2,surprise,,,,,1,2,1.0,,,,
d_ex_shopping_07_55,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_55,False,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_56,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_56,False,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_57,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_57,True,,2,surprise,,,,,2,2,1.0,,,,
d_ex_shopping_07_58,d_ex_shopping_07,Monologue,,Monologue,Locale_SuddenStory:d_ex_shopping_07_58,False,,2,surprise,naga,12,delight,,black,black,1.0,,,,
d_ex_shopping_07_59,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_59,True,,2,idle,,12,delight,,12,120,1.0,,,,
d_ex_shopping_07_60,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_60,True,,2,idle,,12,delight,,120,120,1.0,,,,
d_ex_shopping_07_61,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_61,True,,2,idle,,12,delight,,120,1200,1.0,,,,
d_ex_shopping_07_62,d_ex_shopping_07,Monologue,,Monologue,Locale_SuddenStory:d_ex_shopping_07_62,False,,2,idle,,12,delight,,black,black,1.0,none,,,
d_ex_shopping_07_63,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_63,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_64,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_64,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_65,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_65,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_66,d_ex_shopping_07,Monologue,,Monologue,Locale_SuddenStory:d_ex_shopping_07_66,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_67,d_ex_shopping_07,Self,,Self,Locale_SuddenStory:d_ex_shopping_07_67,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_68,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_68,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_69,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_69,True,,2,idle,,12,idle,,1,1,1.0,bgm_story_orangepop,,,black
d_ex_shopping_07_70,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_70,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_71,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_71,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_72,d_ex_shopping_07,Narration,,Narration,Locale_SuddenStory:d_ex_shopping_07_72,False,,2,idle,,1,idle,,1,1,1.0,,,,
d_ex_shopping_07_73,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_73,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_74,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_74,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_75,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_75,True,,2,shy_02,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_76,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_76,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_77,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_77,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_78,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_78,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_79,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_79,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_80,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_80,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_81,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_81,False,,2,surprise,,12,idle,,1,20,1.0,,,,
d_ex_shopping_07_82,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_82,True,,2,surprise,,12,worry,,20,20,1.0,,,,
d_ex_shopping_07_83,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_83,True,,2,surprise,,12,worry,,20,20,1.0,,,,
d_ex_shopping_07_84,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_84,True,,2,surprise,,12,worry,,20,120,0.7,,,,
d_ex_shopping_07_85,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_85,True,,2,surprise,,12,worry,,120,120,1.0,,,,
d_ex_shopping_07_86,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_86,False,,2,panic,,12,idle,,120,20,0.7,,,,
d_ex_shopping_07_87,d_ex_shopping_07,Narration,,Narration,Locale_SuddenStory:d_ex_shopping_07_87,False,,2,panic,,12,idle,,black,black,1.0,,,,
d_ex_shopping_07_88,d_ex_shopping_07,Narration,,Narration,Locale_SuddenStory:d_ex_shopping_07_88,False,,2,surprise,,12,idle,,black,black,1.0,,,,
d_ex_shopping_07_89,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_89,True,,2,surprise,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_90,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_90,True,,2,shy,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_91,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_91,True,,2,shy,,12,idle,,1,1,1.0,,,,
d_ex_shopping_07_92,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_92,True,,2,shy,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_93,d_ex_shopping_07,Speech,marciana,marciana,Locale_SuddenStory:d_ex_shopping_07_93,True,,2,surprise,,12,delight,,1,1,1.0,,,,
d_ex_shopping_07_94,d_ex_shopping_07,Speech,naga,naga,Locale_SuddenStory:d_ex_shopping_07_94,True,,2,surprise,,12,idle,,1,1,1.0,,,,
