id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,characters/2/hide_char_id,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,characters/3/hide_char_id,characters/0/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_20_02_21,d_main_20_02,Speech,noah,noah,Locale_MainScenario:d_main_20_02_21,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,12,12,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_22,d_main_20_02,Speech,noah,noah,Locale_MainScenario:d_main_20_02_22,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,12,12,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_23,d_main_20_02,Speech,noah,noah,Locale_MainScenario:d_main_20_02_23,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,12,XS_120,2.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_24,d_main_20_02,Speech,noah,noah,Locale_MainScenario:d_main_20_02_24,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,XS_120,XS_120,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_25,d_main_20_02,Speech,noah,noah,Locale_MainScenario:d_main_20_02_25,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,XS_120,XS_120,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_26,d_main_20_02,Speech,anis,anis,Locale_MainScenario:d_main_20_02_26,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_27,d_main_20_02,Speech,anis,anis,Locale_MainScenario:d_main_20_02_27,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,worry,,17,idle,,19,idle,,150,150,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_28,d_main_20_02,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_02_28,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,worry,,17,idle,,19,idle,,8,8,1.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_29,d_main_20_02,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_02_29,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,8,80,2.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_30,d_main_20_02,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_02_30,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,80,80,1.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_31,d_main_20_02,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_02_31,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,80,80,1.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_32,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_32,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,80,L_20,2.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_33,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_33,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_34,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_34,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,think_02,,,,,,,,
d_main_20_02_35,d_main_20_02,Self,,Self,Locale_MainScenario:d_main_20_02_35,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_36,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_36,True,,6,idle,,4,idle,,2,angry,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_37,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_37,True,,6,idle,,4,idle,,2,angry,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_38,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_38,True,,6,idle,,4,idle,,2,angry,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_39,d_main_20_02,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_02_39,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,cecil_op_r,OP_rightup,angry,
d_main_20_02_40,d_main_20_02,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_02_40,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,,OP_rightup,angry,
d_main_20_02_41,d_main_20_02,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_02_41,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,,OP_rightup,angry,
d_main_20_02_42,d_main_20_02,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_02_42,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,void,,17,idle,,19,idle,,L_20,L_20,1.0,,,,,,8,idle_alt,,,,,,OP_rightup,angry,
d_main_20_02_43,d_main_20_02,Speech,anis,anis,Locale_MainScenario:d_main_20_02_43,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,8,idle_alt,,,,,,OP_rightup,angry,cecil_op_r
d_main_20_02_44,d_main_20_02,Speech,neon,neon,Locale_MainScenario:d_main_20_02_44,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,150,S_170,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_45,d_main_20_02,Speech,johan,johan,Locale_MainScenario:d_main_20_02_45,True,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,2,2,1.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_46,d_main_20_02,Monologue,,Monologue,Locale_MainScenario:d_main_20_02_46,False,,6,idle,,4,idle,,2,idle,,12,idle,,15,idle,,17,idle,,19,idle,,2,2,1.0,,,,,,8,idle_alt,,,johan,,,,,
d_main_20_02_47,d_main_20_02,Speech,rapi,rapi,Locale_MainScenario:d_main_20_02_47,True,,6,idle,,4,idle,,,,,12,idle,,15,idle,,17,idle,,19,think,,2,19,2.0,,,,,,8,idle_alt,,,,,,,,
d_main_20_02_48,d_main_20_02,Self,,Self,Locale_MainScenario:d_main_20_02_48,False,,6,idle,,4,idle,,,,,12,idle,,15,idle,,17,idle,,19,idle,,19,19,1.0,,,,,,8,idle_alt,,,,,,,,
