id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,fade
d_ex_command_05_23,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_23,True,,1,1,1.0,bgm_story_kneeldownfools,,yulha,1,idle,,,
d_ex_command_05_24,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_24,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_25,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_25,True,,1,L_10,2.0,,,,1,idle,,,
d_ex_command_05_26,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_26,True,,L_10,L_10,1.0,,,,1,idle,,,
d_ex_command_05_27,d_ex_command_05,Choice,,,Locale_SuddenStory:d_ex_command_05_27,False,,L_10,L_10,1.0,,,,1,idle,d_ex_command_05_29,,
d_ex_command_05_28,d_ex_command_05,Choice,,,Locale_SuddenStory:d_ex_command_05_28,False,,L_10,L_10,1.0,,,,1,idle,d_ex_command_05_31,,
d_ex_command_05_29,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_29,True,,L_10,L_10,1.0,,,,1,sad,,,
d_ex_command_05_30,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_30,True,,L_10,L_10,1.0,,,,1,idle,d_ex_command_05_33,,
d_ex_command_05_31,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_31,True,,L_10,L_10,1.0,,,,1,angry,,,
d_ex_command_05_32,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_32,True,,L_10,L_10,1.0,,,,1,angry,,,
d_ex_command_05_33,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_33,True,,L_10,1,2.0,,,,1,idle,,,
d_ex_command_05_34,d_ex_command_05,Speech,yulha,yulha,Locale_SuddenStory:d_ex_command_05_34,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_35,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_35,False,,1,1,1.0,none,sfx_scn_autodooropen,,1,idle,,yulha,
d_ex_command_05_36,d_ex_command_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_command_05_36,False,,1,1,1.0,,,,,,,,
d_ex_command_05_37,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_37,False,,1,1,1.0,,sfx_scn_knock,,,,,,
d_ex_command_05_38,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_38,True,,1,1,1.0,bgm_story_leisuretime,,cocoa,1,idle,,,
d_ex_command_05_39,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_39,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_40,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_40,False,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_41,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_41,False,,1,XS_10,2.0,,,,1,idle,,,
d_ex_command_05_42,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_42,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_43,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_43,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_44,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_44,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_45,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_45,False,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_46,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_46,False,,black,black,1.0,,,,1,serious,,cocoa,black
d_ex_command_05_47,d_ex_command_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_command_05_47,False,,1,1,1.0,,,,,,,,
d_ex_command_05_48,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_48,False,,1,1,1.0,,sfx_scn_autodooropen,,,,,,
d_ex_command_05_49,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_49,True,,1,1,1.0,bgm_story_kneeldownfools,,dolla,1,idle,,,
d_ex_command_05_50,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_50,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_51,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_51,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_52,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_52,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_53,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_53,True,,1,1,1.0,,,,1,good,,,
d_ex_command_05_54,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_54,False,,1,1,1.0,,,,1,good,,,
d_ex_command_05_55,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_55,True,,1,S_10,2.0,,,,1,idle,,,
d_ex_command_05_56,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_56,False,,S_10,S_10,1.0,,,,1,idle,,,
d_ex_command_05_57,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_57,True,,S_10,S_10,1.0,,,,1,good,,,
d_ex_command_05_58,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_58,True,,S_10,S_10,1.0,,,,1,good,,,
d_ex_command_05_59,d_ex_command_05,Speech,dolla,dolla,Locale_SuddenStory:d_ex_command_05_59,True,,S_10,1,2.0,,,,1,idle,,,
d_ex_command_05_60,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_60,False,,1,1,1.0,none,sfx_scn_autodooropen,,1,idle,,dolla,
d_ex_command_05_61,d_ex_command_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_command_05_61,False,,1,1,1.0,,,,,,,,
d_ex_command_05_62,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_62,False,,1,1,1.0,,sfx_scn_autodooropen,,,,,,
d_ex_command_05_63,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_63,True,,1,1,1.0,bgm_story_leisuretime,,cocoa,1,idle,,,
d_ex_command_05_64,d_ex_command_05,Choice,,,Locale_SuddenStory:d_ex_command_05_64,False,,1,1,1.0,,,,1,idle,d_ex_command_05_66,,
d_ex_command_05_65,d_ex_command_05,Choice,,,Locale_SuddenStory:d_ex_command_05_65,False,,1,1,1.0,,,,1,idle,d_ex_command_05_67,,
d_ex_command_05_66,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_66,True,,1,XS_10,2.0,,,,1,serious,d_ex_command_05_68,,
d_ex_command_05_67,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_67,True,,1,XS_10,2.0,,,,1,serious,,,
d_ex_command_05_68,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_68,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_69,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_69,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_70,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_70,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_71,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_71,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_72,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_72,False,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_73,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_73,True,,XS_10,XS_10,1.0,,,,1,serious,,,
d_ex_command_05_74,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_74,False,CommanderRoom_n,black,black,1.0,none,,,1,serious,,cocoa,black
d_ex_command_05_75,d_ex_command_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_command_05_75,False,,1,1,1.0,,,,,,,,
d_ex_command_05_76,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_76,False,,1,1,1.0,,sfx_scn_autodooropen,,,,,,
d_ex_command_05_77,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_77,True,,1,1,1.0,,,rapi,1,idle,,,
d_ex_command_05_78,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_78,False,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_79,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_79,True,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_80,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_80,False,,1,1,1.0,,,,1,idle,,,
d_ex_command_05_81,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_81,False,,1,10,2.0,,,,1,worry,,,
d_ex_command_05_82,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_82,True,,10,10,1.0,,,,1,worry,,,
d_ex_command_05_83,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_83,False,,10,10,1.0,,,,1,worry,,,
d_ex_command_05_84,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_84,True,,10,10,1.0,,,,1,think,,,
d_ex_command_05_85,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_85,True,,10,10,1.0,,,,1,think,,,
d_ex_command_05_86,d_ex_command_05,Narration,,Narration,Locale_SuddenStory:d_ex_command_05_86,False,NikkeCorridor,black,black,1.0,,sfx_scn_autodooropen,,1,idle,,,black
d_ex_command_05_87,d_ex_command_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_command_05_87,False,,5,5,1.0,bgm_story_inwonderland,,,1,idle,,,
d_ex_command_05_88,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_88,True,,5,5,1.0,,,,1,idle,,,
d_ex_command_05_89,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_89,True,,5,5,1.0,,,,1,idle,,,
d_ex_command_05_90,d_ex_command_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_command_05_90,True,,5,5,1.0,,,,1,idle,,,
d_ex_command_05_91,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_91,False,,5,5,1.0,,,,1,idle,,,
d_ex_command_05_92,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_92,True,,5,1,2.0,,,,1,delight,,,
d_ex_command_05_93,d_ex_command_05,Speech,rapi,rapi,Locale_SuddenStory:d_ex_command_05_93,True,,1,1,1.0,,,,1,delight,,,
d_ex_command_05_94,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_94,False,,1,1,1.0,,,,1,delight,,,
d_ex_command_05_95,d_ex_command_05,Self,,Self,Locale_SuddenStory:d_ex_command_05_95,False,,1,1,1.0,,,,1,delight,,,
