id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_18_09_16,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_16,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_17,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_17,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_18,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_18,False,,S_10,S_10,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_19,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_19,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_20,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_20,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_21,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_21,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_22,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_22,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_23,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_23,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_24,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_24,False,,S_10,S_10,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_25,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_25,False,,S_10,S_100,2.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_26,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_26,True,,S_100,S_100,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_27,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_27,False,,S_100,S_100,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_28,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_28,True,,S_100,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_29,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_29,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_30,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_30,False,,S_10,S_10,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_31,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_31,False,,S_10,S_10,1.0,,laplace,laplace,,1,no,,,,,,,
d_main_18_09_32,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_32,True,,S_10,S_10,1.0,,laplace,laplace,,1,no,,,,,,,
d_main_18_09_33,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_33,False,,S_10,S_10,1.0,,laplace,,,1,no,,,,,,,
d_main_18_09_34,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_34,True,,S_10,S_10,1.0,,laplace,laplace,,1,no,,,,,,,
d_main_18_09_35,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_35,False,,S_10,S_10,1.0,,laplace,,,1,no,,,,,,,
d_main_18_09_36,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_36,False,,S_10,S_10,1.0,,laplace,laplace,,1,shy,,,,,,,
d_main_18_09_37,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_37,False,,S_10,S_10,1.0,,laplace,,,1,shy,,,,,,,
d_main_18_09_38,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_38,False,,S_10,S_10,1.0,,laplace,,,1,shy,,,,,,,
d_main_18_09_39,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_39,True,,S_10,S_10,1.0,,laplace,laplace,,1,shy,,,,,,,
d_main_18_09_40,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_40,True,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_41,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_41,False,,S_10,S_10,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_42,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_42,False,,S_10,S_10,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_43,d_main_18_09,Monologue,Locale_MainScenario:d_main_18_09_43,False,,S_10,S_100,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_44,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_44,False,,S_100,S_100,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_45,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_45,False,,S_100,S_100,1.0,,laplace,,,1,sad,,,,,,,
d_main_18_09_46,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_46,True,,S_100,S_100,1.0,,laplace,laplace,,1,shy,,,,,,,
d_main_18_09_47,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_47,True,,S_100,S_100,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_48,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_48,True,,S_100,1,1.0,,laplace,laplace,,1,sad,,,,,,,
d_main_18_09_49,d_main_18_09,Monologue,Locale_MainScenario:d_main_18_09_49,False,,1,13,1.0,,laplace,,,1,sad,laplace,,,,,,
d_main_18_09_50,d_main_18_09,Self,Locale_MainScenario:d_main_18_09_50,False,,13,13,1.0,,,,,,,,maxwell,7,sad,drake,9,no
d_main_18_09_51,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_51,False,,13,8,2.0,,maxwell,maxwell,,,,,,7,sad,,9,no
d_main_18_09_52,d_main_18_09,Speech,Locale_MainScenario:d_main_18_09_52,True,,8,8,1.0,,drake,drake,,,,,,7,sad,,9,no
