id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_24_12_14,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_14,True,,3,3,1.0,,,,,,,4,idle,,,2,angry,,,12,think
d_main_24_12_15,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_15,False,,3,S_40,2.0,,,,,,,4,think,,,2,angry,,,12,think
d_main_24_12_16,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_16,True,,S_40,3,0.3,,,,,,,4,shy,,,2,angry,,,12,think
d_main_24_12_17,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_17,True,,3,3,1.0,,,,,,,4,shy,,,2,sad,,,12,think
d_main_24_12_18,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_18,True,,3,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_19,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_19,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_20,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_20,False,Laboratory,120,120,1.0,,black,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_21,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_21,True,,120,120,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_22,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_22,True,,120,120,1.0,,,,,,,4,idle,,,2,idle,,,12,smile
d_main_24_12_23,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_23,True,,120,1,1.0,,,,,,,4,idle,,,2,idle,,,12,smile
d_main_24_12_24,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_24,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_25,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_25,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_26,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_26,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_27,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_27,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_28,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_28,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_29,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_29,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_30,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_30,False,,black,black,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_31,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_31,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_32,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_32,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_33,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_33,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_34,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_34,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_35,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_35,True,,1,1,1.0,,,,,,,4,idle,,,2,idle,,,12,think
d_main_24_12_36,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_36,True,,S_40,S_40,1.0,none,,,,,,4,think,,,2,idle,,,12,think
d_main_24_12_37,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_37,True,,S_40,S_40,1.0,,,,,,,4,think,,,2,idle,,,12,think
d_main_24_12_38,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_38,True,,S_40,XS_20,0.7,,,,,,,4,think,,,2,idle,,,12,think
d_main_24_12_39,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_39,False,,XS_20,XS_20,1.0,,,,,,,4,think,,,2,surprise,,,12,think
d_main_24_12_40,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_40,False,,black,black,1.0,,,,,,,4,think,,,2,surprise,,,12,think
d_main_24_12_41,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_41,True,,XS_20,XS_20,1.0,,,,,,,4,think,,,2,surprise,,,12,think
d_main_24_12_42,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_42,True,,XS_20,3,1.0,,,,,,,4,think,,,2,surprise,,,12,think
d_main_24_12_43,d_main_24_12,Speech,miranda,miranda,Locale_MainScenario:d_main_24_12_43,True,,3,3,1.0,,,,,,,4,think,,,2,surprise,,,12,think
d_main_24_12_44,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_44,True,,3,3,1.0,,,,,,,4,think,,,2,surprise,,,12,think
d_main_24_12_45,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_45,True,,3,1,1.0,,,,,,,4,think,,,2,surprise,,,12,worry
d_main_24_12_46,d_main_24_12,Speech,poli,poli,Locale_MainScenario:d_main_24_12_46,True,,1,1,1.0,,,,,,,4,think,,,2,surprise,,,12,worry
d_main_24_12_47,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_47,False,,1,1,1.0,,,Low_2,,,,4,think,miranda,,2,surprise,poli,,12,worry
d_main_24_12_48,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_48,False,,1,1,1.0,,,,,,,,,,,,,,,12,worry
d_main_24_12_49,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_49,False,,1,12,2.0,,,,,,,,,,,,,,,12,think
d_main_24_12_50,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_50,False,,12,12,1.0,,,,,,,,,,,,,,,12,think
d_main_24_12_51,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_51,True,,12,12,1.0,,,,,,,,,,,,,,,12,think
d_main_24_12_52,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_52,False,,black,black,1.0,,,,sfx_scn_spark,,,,,,,,,,,12,think
d_main_24_12_53,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_53,False,,black,black,1.0,,,,sfx_scn_heavyspark,,,,,,,,,,,12,think
d_main_24_12_54,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_54,False,,12,12,1.0,,,,,Grey,,,,,,,,,,12,think
d_main_24_12_55,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_55,True,,12,120,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_56,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_56,True,,120,120,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_57,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_57,True,,120,120,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_58,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_58,False,,black,black,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_59,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_59,False,,black,black,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_60,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_60,False,,120,120,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_61,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_61,True,,120,120,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_62,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_62,False,,120,12,0.6,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_63,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_63,True,,12,12,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_64,d_main_24_12,Speech,dorothy,dorothy,Locale_MainScenario:d_main_24_12_64,True,,12,12,1.0,,,,,Grey,,,,,,,,,,12,angry
d_main_24_12_65,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_65,False,,black,black,1.0,,,,sfx_scn_heavydoorbroke,Grey,,,,,,,,,,12,angry
d_main_24_12_66,d_main_24_12,Narration,,Narration,Locale_MainScenario:d_main_24_12_66,False,,black,black,1.0,,,,,Grey,,,,,,,,,,12,angry
