id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,conversation_id
d_main_04af_06_11,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_11,False,,3,surprise,,1,idle,,15,void,,17,idle,,XS_300,XS_300,1.0,bgm_story_herecomestrouble,,,,,,,,
d_main_04af_06_12,d_main_04af_06,Monologue,syuen,,Locale_MainScenario:d_main_04af_06_12,True,,,,,1,idle,,15,void,,17,idle,,black,black,1.0,,,,syuen,,,,,
d_main_04af_06_13,d_main_04af_06,Monologue,syuen,,Locale_MainScenario:d_main_04af_06_13,True,,,,,1,idle,,15,void,,17,idle,,black,black,1.0,,,,,,,,,
d_main_04af_06_14,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_14,True,,,,,1,idle,,15,void,,17,idle,,black,black,1.0,,,,,,,,,
d_main_04af_06_15,d_main_04af_06,Speech,anis,anis,Locale_MainScenario:d_main_04af_06_15,True,,,,,1,idle,,15,no,,17,no,,150,150,1.0,,,,,,,,,
d_main_04af_06_16,d_main_04af_06,Speech,neon,neon,Locale_MainScenario:d_main_04af_06_16,True,,,,,1,idle,,15,no,,17,no,,S_170,S_170,1.0,,,,,,,,,
d_main_04af_06_17,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_17,True,,,,,13,idle,,15,void,,17,idle,,13,130,1.0,,,,,,,,,
d_main_04af_06_18,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_18,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_19,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_19,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_20,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_20,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_21,d_main_04af_06,Self,syuen,Self,Locale_MainScenario:d_main_04af_06_21,False,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_22,d_main_04af_06,Self,syuen,Self,Locale_MainScenario:d_main_04af_06_22,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_23,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_23,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_24,d_main_04af_06,Self,syuen,Self,Locale_MainScenario:d_main_04af_06_24,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_25,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_25,True,,,,,13,idle,,15,void,,17,idle,,130,13,1.0,,,,,,,,,
d_main_04af_06_26,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_26,True,,,,,13,idle,,15,void,,17,idle,,13,13,1.0,,,,,,,,,
d_main_04af_06_27,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_27,True,,,,,13,idle,,15,void,,17,idle,,13,130,1.0,,,,,,,,,
d_main_04af_06_28,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_28,True,,,,,13,idle,,15,void,,17,idle,,130,1300,1.0,,,,,,,,,
d_main_04af_06_29,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_29,True,,,,,13,idle,,15,void,,17,idle,,1300,130,1.0,,,,,,,,,
d_main_04af_06_30,d_main_04af_06,Self,syuen,Self,Locale_MainScenario:d_main_04af_06_30,False,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_31,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_31,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_32,d_main_04af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_06_32,True,,,,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,
d_main_04af_06_33,d_main_04af_06,Narration,syuen,Narration,Locale_MainScenario:d_main_04af_06_33,True,,,,,13,idle,,15,void,,17,idle,none,1,1,1.0,,,,,rapi,anis,neon,black,
d_main_04af_06_34,d_main_04af_06,Narration,syuen,Narration,Locale_MainScenario:d_main_04af_06_34,True,,,,rapi,13,idle,anis,15,void,neon,17,idle,NikkeRoom,15,15,1.0,,,,,,,,,
d_main_04af_06_35,d_main_04af_06,Speech,anis,anis,Locale_MainScenario:d_main_04af_06_35,False,,,,,13,idle,,15,void,,17,idle,,15,150,1.0,,,,,,,,,
d_main_04af_06_36,d_main_04af_06,Speech,neon,neon,Locale_MainScenario:d_main_04af_06_36,False,,,,,13,idle,,15,void,,17,idle,,150,S_170,1.0,,,,,,,,,
d_main_04af_06_37,d_main_04af_06,Speech,anis,anis,Locale_MainScenario:d_main_04af_06_37,True,,,,,13,idle,,15,idle,,17,idle,,S_170,150,1.0,,,,,,,,,
d_main_04af_06_38,d_main_04af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_06_38,True,,,,,13,idle,,15,idle,,17,idle,,150,130,1.0,,,,,,,,,
d_main_04af_06_39,d_main_04af_06,Speech,neon,neon,Locale_MainScenario:d_main_04af_06_39,True,,,,,13,idle,,15,idle,,17,no,,130,130,1.0,,,,,,,,,
d_main_04af_06_40,d_main_04af_06,Monologue,neon,,Locale_MainScenario:d_main_04af_06_40,True,,,,,13,idle,,15,idle,,17,no,,130,13,1.0,,sfx_scn_phonevibration,,,,,,,m_main_04af_06
d_main_04af_06_41,d_main_04af_06,Monologue,,,Locale_MainScenario:d_main_04af_06_41,True,,,,,13,idle,,15,idle,,17,no,,13,13,1.0,,,,,,,,,
