id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_29_06_e_28,d_main_29_06_e,Speech,neon,Locale_MainScenario:d_main_29_06_e_28,False,,4,4,1.0,,neon,,5,no,,3,no,,1,idle,,13,idle
d_main_29_06_e_29,d_main_29_06_e,Self,neon,Locale_MainScenario:d_main_29_06_e_29,False,,4,4,1.0,,,,5,no,,3,no,,1,idle,,13,idle
d_main_29_06_e_30,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_30,True,,10,10,1.0,,rapi,,5,no,,3,no,,1,idle,,13,idle
d_main_29_06_e_31,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_31,True,,10,10,1.0,,rapi,,5,no,,3,no,,1,idle,,13,idle
d_main_29_06_e_32,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_32,False,,30,30,1.0,,anis,,5,no,,3,no,,1,idle,,13,idle
d_main_29_06_e_33,d_main_29_06_e,Speech,neon,Locale_MainScenario:d_main_29_06_e_33,False,,S_50,S_50,1.0,,neon,,5,no,,3,no,,1,idle,,13,idle
d_main_29_06_e_34,d_main_29_06_e,Self,neon,Locale_MainScenario:d_main_29_06_e_34,False,,S_50,S_50,1.0,,,,5,no,,3,no,,1,idle,,13,idle
d_main_29_06_e_35,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_35,True,,S_50,4,1.0,,anis,,5,no,,3,worry,,1,idle,,13,idle
d_main_29_06_e_36,d_main_29_06_e,Speech,neon,Locale_MainScenario:d_main_29_06_e_36,True,,4,4,1.0,,neon,,5,worry,,3,worry,,1,idle,,13,idle
d_main_29_06_e_37,d_main_29_06_e,Self,neon,Locale_MainScenario:d_main_29_06_e_37,False,,4,4,1.0,,,,5,worry,,3,worry,,1,idle,,13,idle
d_main_29_06_e_38,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_38,False,,4,30,1.0,,anis,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_39,d_main_29_06_e,Speech,neon,Locale_MainScenario:d_main_29_06_e_39,True,,30,S_50,1.0,,neon,,5,surprise,,3,void,,1,idle,,13,idle
d_main_29_06_e_40,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_40,True,,S_50,4,1.0,,anis,,5,surprise,,3,void,,1,idle,,13,idle
d_main_29_06_e_41,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_41,True,,4,4,1.0,,anis,,5,surprise,,3,worry,,1,idle,,13,idle
d_main_29_06_e_42,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_42,True,,4,4,1.0,,anis,,5,surprise,,3,worry,,1,idle,,13,idle
d_main_29_06_e_43,d_main_29_06_e,Speech,neon,Locale_MainScenario:d_main_29_06_e_43,True,,4,4,1.0,,neon,,5,idle,,3,worry,,1,idle,,13,idle
d_main_29_06_e_44,d_main_29_06_e,Self,neon,Locale_MainScenario:d_main_29_06_e_44,False,,4,4,1.0,,,,5,idle,,3,worry,,1,idle,,13,idle
d_main_29_06_e_45,d_main_29_06_e,Speech,fragile,Locale_MainScenario:d_main_29_06_e_45,True,,4,S_130,1.0,,fragile,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_46,d_main_29_06_e,Self,fragile,Locale_MainScenario:d_main_29_06_e_46,False,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_47,d_main_29_06_e,Speech,fragile,Locale_MainScenario:d_main_29_06_e_47,True,,S_130,S_130,1.0,,fragile,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_48,d_main_29_06_e,Speech,fragile,Locale_MainScenario:d_main_29_06_e_48,True,,S_130,S_130,1.0,,fragile,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_49,d_main_29_06_e,Self,fragile,Locale_MainScenario:d_main_29_06_e_49,False,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_50,d_main_29_06_e,Speech,fragile,Locale_MainScenario:d_main_29_06_e_50,True,,S_130,S_130,1.0,,fragile,,5,idle,,3,void,,1,idle,,13,shy
d_main_29_06_e_51,d_main_29_06_e,Speech,fragile,Locale_MainScenario:d_main_29_06_e_51,True,,S_130,S_130,1.0,,fragile,,5,idle,,3,void,,1,idle,,13,shy
d_main_29_06_e_52,d_main_29_06_e,Self,fragile,Locale_MainScenario:d_main_29_06_e_52,False,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,shy
d_main_29_06_e_53,d_main_29_06_e,Speech,fragile,Locale_MainScenario:d_main_29_06_e_53,True,,S_130,S_130,1.0,,fragile,,5,idle,,3,void,,1,idle,,13,shy
d_main_29_06_e_54,d_main_29_06_e,Self,fragile,Locale_MainScenario:d_main_29_06_e_54,False,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,shy
d_main_29_06_e_55,d_main_29_06_e,Speech,fragile,Locale_MainScenario:d_main_29_06_e_55,True,,S_130,S_130,1.0,,fragile,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_56,d_main_29_06_e,Self,fragile,Locale_MainScenario:d_main_29_06_e_56,False,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle
d_main_29_06_e_57,d_main_29_06_e,Speech,rapi,Locale_MainScenario:d_main_29_06_e_57,False,,S_130,10,1.0,,rapi,,5,idle,,3,void,,1,think,,13,idle
d_main_29_06_e_58,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_58,True,,10,4,1.0,,anis,,5,idle,,3,delight,,1,think,,13,idle
d_main_29_06_e_59,d_main_29_06_e,Speech,neon,Locale_MainScenario:d_main_29_06_e_59,True,,4,4,1.0,,neon,,5,delight,,3,delight,,1,think,,13,idle
d_main_29_06_e_60,d_main_29_06_e,Speech,anis,Locale_MainScenario:d_main_29_06_e_60,True,,4,4,1.0,,anis,,5,delight,,3,no,,1,think,,13,idle
