id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_ex_toyshop_05_14,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_14,True,,14,1,2.0,,,,,,,1,idle,,13,idle,,,15,delight,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_15,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_15,True,,1,1,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_16,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_16,True,,1,1,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_17,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_17,True,,1,1,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_18,d_ex_toyshop_05,Speech,mica,mica,Locale_SuddenStory:d_ex_toyshop_05_18,True,,1,14,2.0,,,,,,,1,idle,,13,idle,,,15,worry,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_19,d_ex_toyshop_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_toyshop_05_19,False,,14,14,1.0,,,,,,,1,idle,,13,idle,,,15,worry,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_20,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_20,True,,14,XS_130,0.5,,,,,,,1,idle,,13,delight,,,15,delight,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_21,d_ex_toyshop_05,Speech,mica,mica,Locale_SuddenStory:d_ex_toyshop_05_21,True,,XS_130,XS_150,0.5,,,,,,,1,idle,,13,delight,,,15,delight,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_22,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_22,True,,1,1,0.3,,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_23,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_23,True,,1,1,1.0,,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_24,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_24,True,,1,1,1.0,,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_25,d_ex_toyshop_05,Choice,,,Locale_SuddenStory:d_ex_toyshop_05_25,False,,1,1,1.0,,d_ex_toyshop_05_27,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_26,d_ex_toyshop_05,Choice,,,Locale_SuddenStory:d_ex_toyshop_05_26,False,,1,1,1.0,,d_ex_toyshop_05_39,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_27,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_27,True,,1,XS_10,2.0,none,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_28,d_ex_toyshop_05,Speech,fatman,fatman,Locale_SuddenStory:d_ex_toyshop_05_28,True,,14,14,1.0,bgm_story_tomboyprincess,,Grey,black,,,1,idle,,13,idle,belorta,,15,idle,mica,fatman,13,idle,,outlaw,15,idle,,femaleguest,17,idle,,,,,
d_ex_toyshop_05_29,d_ex_toyshop_05,Speech,fatman,fatman,Locale_SuddenStory:d_ex_toyshop_05_29,True,,14,14,1.0,,,Grey,,,,1,idle,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_30,d_ex_toyshop_05,Speech,outlaw,dirtyman,Locale_SuddenStory:d_ex_toyshop_05_30,True,,14,14,1.0,,,Grey,,,,1,idle,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_31,d_ex_toyshop_05,Speech,femaleguest,femaleguest,Locale_SuddenStory:d_ex_toyshop_05_31,True,,14,170,0.3,,,Grey,,Low_2,,1,idle,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_32,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_32,True,,1,1,1.0,,,Grey,,,,1,serious,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_33,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_33,True,,1,1,1.0,,,Grey,,,,1,serious,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_34,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_34,True,,1,XS_10,2.0,,,Grey,,,,1,serious,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_35,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_35,True,,XS_10,XS_10,1.0,,,Grey,,,,1,serious,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_36,d_ex_toyshop_05,Speech,outlaw,dirtyman,Locale_SuddenStory:d_ex_toyshop_05_36,False,,S_150,S_150,1.0,,,Grey,,,,1,serious,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_37,d_ex_toyshop_05,Speech,fatman,fatman,Locale_SuddenStory:d_ex_toyshop_05_37,False,,S_150,L_130,0.3,,,Grey,,,,1,serious,,,,,,,,,,13,idle,,,15,idle,,,17,idle,,,,,
d_ex_toyshop_05_38,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_50,False,,XS_10,XS_10,1.0,bgm_story_inwonderland,d_ex_toyshop_05_52,,black,,,1,shy,belorta,13,idle,,mica,15,idle,,,13,idle,fatman,,15,idle,outlaw,,17,idle,femaleguest,,,,
d_ex_toyshop_05_39,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_38,True,,1,XS_10,2.0,none,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_40,d_ex_toyshop_05,Speech,satou,suspiciousman,Locale_SuddenStory:d_ex_toyshop_05_39,True,,13,13,1.0,bgm_story_tomboyprincess,,Grey,black,,,1,idle,,13,idle,belorta,,15,idle,mica,,,,,,,,,satou,13,idle,,soda,15,idle,
d_ex_toyshop_05_41,d_ex_toyshop_05,Speech,satou,suspiciousman,Locale_SuddenStory:d_ex_toyshop_05_40,True,,13,13,1.0,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_42,d_ex_toyshop_05,Speech,satou,suspiciousman,Locale_SuddenStory:d_ex_toyshop_05_41,True,,13,13,1.0,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_43,d_ex_toyshop_05,Speech,satou,suspiciousman,Locale_SuddenStory:d_ex_toyshop_05_42,True,,13,L_130,0.3,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_44,d_ex_toyshop_05,Speech,soda,soda,Locale_SuddenStory:d_ex_toyshop_05_43,True,,L_130,150,1.0,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,sad,
d_ex_toyshop_05_45,d_ex_toyshop_05,Speech,soda,soda,Locale_SuddenStory:d_ex_toyshop_05_44,True,,150,150,1.0,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,sad,
d_ex_toyshop_05_46,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_45,True,,1,1,1.0,,,Grey,,,,1,serious,,,,,,,,,,,,,,,,,,13,idle,,,15,sad,
d_ex_toyshop_05_47,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_46,True,,1,1,1.0,,,Grey,,,,1,serious,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_48,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_47,True,,1,XS_10,2.0,,,Grey,,,,1,serious,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_49,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_48,True,,XS_10,XS_10,1.0,,,Grey,,,,1,serious,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_50,d_ex_toyshop_05,Speech,satou,suspiciousman,Locale_SuddenStory:d_ex_toyshop_05_49,False,,L_130,L_130,1.0,,,Grey,,,,1,serious,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_51,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_50,False,,XS_10,XS_10,1.0,bgm_story_inwonderland,,,black,,,1,shy,belorta,13,idle,,mica,15,idle,,,,,,,,,,,13,idle,satou,,15,idle,soda
d_ex_toyshop_05_52,d_ex_toyshop_05,Self,,Self,Locale_SuddenStory:d_ex_toyshop_05_51,False,,XS_10,XS_10,1.0,,,,,,,1,shy,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_53,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_52,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_54,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_53,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_55,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_54,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_56,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_55,True,,14,14,1.0,,,,,,,1,idle,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_57,d_ex_toyshop_05,Speech,mica,mica,Locale_SuddenStory:d_ex_toyshop_05_56,True,,14,14,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_58,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_57,True,,1,1,2.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_59,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_58,True,,1,XS_10,2.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_60,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_59,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_61,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_60,True,,XS_130,XS_130,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_62,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_61,True,,XS_130,XS_130,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_63,d_ex_toyshop_05,Speech,mica,mica,Locale_SuddenStory:d_ex_toyshop_05_62,True,,XS_130,XS_150,0.7,,,,,,,1,idle,,13,idle,,,15,delight,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_64,d_ex_toyshop_05,Self,,Self,Locale_SuddenStory:d_ex_toyshop_05_63,False,,XS_150,XS_150,1.0,,,,,,,1,idle,,13,idle,,,15,delight,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_65,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_64,True,,XS_130,XS_130,1.0,,,,,,,1,idle,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_66,d_ex_toyshop_05,Speech,belorta,belorta,Locale_SuddenStory:d_ex_toyshop_05_65,True,,XS_130,XS_130,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_67,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_66,False,,XS_130,XS_10,2.0,none,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_68,d_ex_toyshop_05,Speech,soda,soda,Locale_SuddenStory:d_ex_toyshop_05_67,True,,15,150,2.0,bgm_story_shopperholic,,Grey,black,,,1,idle,,13,idle,belorta,,15,idle,mica,,,,,,,,,ade,13,idle,,soda,15,shy,
d_ex_toyshop_05_69,d_ex_toyshop_05,Speech,ade,ade,Locale_SuddenStory:d_ex_toyshop_05_68,True,,150,130,1.0,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,shy,
d_ex_toyshop_05_70,d_ex_toyshop_05,Speech,soda,soda,Locale_SuddenStory:d_ex_toyshop_05_69,True,,14,14,0.7,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,think,
d_ex_toyshop_05_71,d_ex_toyshop_05,Speech,ade,ade,Locale_SuddenStory:d_ex_toyshop_05_70,True,,14,14,1.0,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,idle,,,15,idle,
d_ex_toyshop_05_72,d_ex_toyshop_05,Speech,ade,ade,Locale_SuddenStory:d_ex_toyshop_05_71,True,,14,14,1.0,,,Grey,,,,1,idle,,,,,,,,,,,,,,,,,,13,delight,,,15,idle,
d_ex_toyshop_05_73,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_72,True,,XS_10,XS_10,1.0,bgm_story_inwonderland,,,black,,,1,delight,belorta,13,idle,,mica,15,idle,,,,,,,,,,,13,delight,ade,,15,idle,soda
d_ex_toyshop_05_74,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_73,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_75,d_ex_toyshop_05,Self,,Self,Locale_SuddenStory:d_ex_toyshop_05_74,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_76,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_75,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_77,d_ex_toyshop_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_toyshop_05_76,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_78,d_ex_toyshop_05,Self,,Self,Locale_SuddenStory:d_ex_toyshop_05_77,False,,XS_10,XS_10,1.0,,,,,,,1,serious,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_79,d_ex_toyshop_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_toyshop_05_78,False,,black,black,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
d_ex_toyshop_05_80,d_ex_toyshop_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_toyshop_05_79,False,,black,black,1.0,,,,,,,1,idle,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,
