id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/hide_char_id
d_ex_hospital_04_15,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_15,False,,3,no,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_16,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_16,True,,3,no,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_17,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_17,False,,3,no,,1,idle,,13,surprise,,S_30,S_300,0.5,,,
d_ex_hospital_04_18,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_18,True,,3,no,,1,idle,,13,surprise,,S_300,S_300,1.0,,,
d_ex_hospital_04_19,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_19,False,,3,no,,1,idle,,13,surprise,,S_300,S_300,1.0,,,
d_ex_hospital_04_20,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_20,True,,3,no,,1,idle,,13,angry,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_21,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_21,True,,3,no,,1,idle,,13,angry,,XS_130,12,1.0,,,
d_ex_hospital_04_22,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_22,True,,3,no,,1,idle,,13,angry,,12,12,1.0,,,
d_ex_hospital_04_23,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_23,True,,3,no,,1,idle,,13,shy,,12,XS_130,2.0,,,
d_ex_hospital_04_24,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_24,True,,3,no,,1,idle,,13,shy,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_25,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_25,False,,3,no,,1,idle,,13,shy,,S_30,S_30,1.0,,,
d_ex_hospital_04_26,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_26,True,,3,no,,1,idle,,13,shy,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_27,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_27,True,,3,no,,1,idle,,13,shy,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_28,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_28,True,,3,no,,1,idle,,13,shy,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_29,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_29,False,,3,no,,1,idle,,13,shy,,S_30,S_30,1.0,,,
d_ex_hospital_04_30,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_30,True,,3,no,,1,idle,,13,idle,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_31,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_31,True,,3,no,,1,idle,,13,idle,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_32,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_32,True,,3,no,,1,idle,,13,idle,,XS_130,XS_1300,2.0,,,
d_ex_hospital_04_33,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_33,False,,3,no,,1,idle,,13,idle,,S_30,S_30,1.0,,,
d_ex_hospital_04_34,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_34,False,,3,shy_01,,1,idle,,13,idle,,S_30,S_30,1.0,,,
d_ex_hospital_04_35,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_35,True,,3,shy_01,,1,idle,,13,delight,,S_30,S_30,1.0,,,
d_ex_hospital_04_36,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_36,False,,3,crazy,,1,idle,,13,delight,,S_30,S_300,2.0,,,
d_ex_hospital_04_37,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_37,True,,3,crazy,,1,idle,,13,surprise,,XS_10,XS_10,1.0,,,
d_ex_hospital_04_38,d_ex_hospital_04,Self,mary,,Locale_SuddenStory:d_ex_hospital_04_38,True,,3,crazy,,1,idle,,13,surprise,,XS_10,XS_10,1.0,,,
d_ex_hospital_04_39,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_39,True,,3,crazy,,1,idle,,13,surprise,,XS_10,XS_130,2.0,,,
d_ex_hospital_04_40,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_40,True,,3,crazy,,1,idle,,13,surprise,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_41,d_ex_hospital_04,Self,pepper,,Locale_SuddenStory:d_ex_hospital_04_41,True,,3,crazy,,1,idle,,13,surprise,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_42,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_42,True,,3,crazy,,1,idle,,13,shy,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_43,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_43,True,,3,crazy,,1,idle,,13,shy,,XS_130,XS_1300,1.0,,,
d_ex_hospital_04_44,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_44,True,,3,angry,,1,idle,,13,surprise,,S_300,S_30,0.5,,Low_2,
d_ex_hospital_04_45,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_45,False,,3,angry,,1,idle,,13,surprise,,XS_1300,XS_130,0.5,,,
d_ex_hospital_04_46,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_46,True,,3,angry,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_47,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_47,True,,3,angry,,1,idle,,13,shy,,S_30,S_30,1.0,,,
d_ex_hospital_04_48,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_48,True,,3,angry,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_49,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_49,False,,3,angry,,1,idle,,13,shy,,XS_130,XS_130,1.0,,,
d_ex_hospital_04_50,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_50,True,,3,angry,,1,idle,,13,shy,,XS_130,XS_10,2.0,,,
d_ex_hospital_04_51,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_51,True,,3,shy_01,,1,idle,,13,surprise,,XS_10,XS_10,1.0,,,
d_ex_hospital_04_52,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_52,True,,3,shy_01,,1,idle,,13,surprise,,XS_10,XS_10,1.0,,,
d_ex_hospital_04_53,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_53,False,,3,shy_01,,1,idle,,13,surprise,,XS_10,S_30,1.0,,,
d_ex_hospital_04_54,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_54,True,,3,shy_01,,1,idle,,13,surprise,,S_30,2,1.0,,,
d_ex_hospital_04_55,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_55,False,,3,shy_01,,1,idle,,13,surprise,,2,2,1.0,,,
d_ex_hospital_04_56,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_56,True,,3,shy_01,,1,idle,,13,surprise,,2,2,1.0,,,
d_ex_hospital_04_57,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_57,True,,3,crazy,,1,idle,,13,surprise,,2,2,1.0,,,
d_ex_hospital_04_58,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_58,False,,3,crazy,,1,idle,,13,surprise,,2,12,2.0,,,
d_ex_hospital_04_59,d_ex_hospital_04,Monologue,,,Locale_SuddenStory:d_ex_hospital_04_59,True,,3,crazy,,1,idle,,13,surprise,,black,black,1.0,,,
d_ex_hospital_04_60,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_60,True,,3,shy_01,,1,idle,,13,surprise,,S_30,S_30,1.0,,,
d_ex_hospital_04_61,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_61,True,,3,shy_01,,1,idle,,13,surprise,,S_30,XS_10,1.0,,,
d_ex_hospital_04_62,d_ex_hospital_04,Speech,jackal,jackal,Locale_SuddenStory:d_ex_hospital_04_62,True,,3,shy_01,,1,idle,,13,surprise,,XS_10,2,1.0,,,
d_ex_hospital_04_63,d_ex_hospital_04,Monologue,jackal,,Locale_SuddenStory:d_ex_hospital_04_63,False,,3,shy_01,,1,idle,,13,surprise,,2,12,2.0,,,jackal
d_ex_hospital_04_64,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_64,False,,,,,1,idle,,13,surprise,,12,12,1.0,,,
d_ex_hospital_04_65,d_ex_hospital_04,Self,pepper,,Locale_SuddenStory:d_ex_hospital_04_65,False,,,,,1,idle,,13,surprise,,12,12,1.0,,,
d_ex_hospital_04_66,d_ex_hospital_04,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_04_66,True,,,,,1,idle,,13,surprise,,12,12,1.0,,,
d_ex_hospital_04_67,d_ex_hospital_04,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_04_67,True,,,,,1,idle,,13,shy,,12,12,1.0,,,
