id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound
d_contents_dungeon_run_09_11,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_11,True,,XS_120,XS_120,1.0,,guillotine_w_no,guillotine_w_no,,14,angry,,12,shy,,,,,,,
d_contents_dungeon_run_09_12,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_12,True,,XS_120,XS_120,1.0,,guillotine_w_no,guillotine_w_no,,14,angry,,12,shy,,,,,,,
d_contents_dungeon_run_09_13,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_13,True,,XS_120,XS_120,1.0,,guillotine_w_no,guillotine_w_no,,14,angry,,12,sad,,,,,,,
d_contents_dungeon_run_09_14,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_14,True,,XS_120,XS_140,0.5,,vesti_c,vesti_c,,14,angry,,12,sad,,,,,,,
d_contents_dungeon_run_09_15,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_15,True,,XS_140,13,1.0,,guillotine_w_no,guillotine_w_no,,14,angry,,12,sad,,,,,,,
d_contents_dungeon_run_09_16,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_16,True,,13,13,1.0,,guillotine_w_no,guillotine_w_no,,14,angry,,12,sad,,,,,,,
d_contents_dungeon_run_09_17,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_17,False,,13,3,1.4,,guillotine_w_no,maiden_w,,14,angry,,12,surprise,,,,,,,
d_contents_dungeon_run_09_18,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_18,False,,3,3,1.0,,guillotine_w_no,volume_c,,14,angry,,12,surprise,,,,,,,
d_contents_dungeon_run_09_19,81701,d_contents_dungeon_run_09,Self,Locale_SubScenario:d_contents_dungeon_run_09_19,False,,3,3,1.0,,guillotine_w_no,,,14,angry,,12,surprise,,,,,,,
d_contents_dungeon_run_09_20,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_20,False,,black,black,1.0,none,,,,14,sad,,12,surprise,maiden_w,4,surprise,volume_c,2,surprise,sfx_scn_heavytrip
d_contents_dungeon_run_09_21,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_21,False,,XS_140,XS_140,1.0,,vesti_c,vesti_c,,14,sad,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_22,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_22,False,,L_40,L_40,1.0,,maiden_w,maiden_w,,14,sad,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_23,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_23,True,,L_40,S_20,1.0,,volume_c,volume_c,,14,sad,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_24,81701,d_contents_dungeon_run_09,Self,Locale_SubScenario:d_contents_dungeon_run_09_24,False,,S_20,S_20,1.0,,volume_c,,,14,sad,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_25,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_25,True,,S_20,13,1.0,,guillotine_w_no,guillotine_w_no,,14,sad,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_26,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_26,True,,13,13,1.0,bgm_story_alittlestar,vesti_c,vesti_c,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_27,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_27,True,,13,13,1.0,,vesti_c,vesti_c,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_28,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_28,True,,13,13,1.0,,guillotine_w_no,guillotine_w_no,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_29,81701,d_contents_dungeon_run_09,Speech,Locale_SubScenario:d_contents_dungeon_run_09_29,True,,13,XS_140,0.5,,vesti_c,vesti_c,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_30,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_30,False,,black,black,1.0,,,,,14,angry,,12,surprise,,4,surprise,,2,surprise,sfx_scn_missilelaunch
d_contents_dungeon_run_09_31,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_31,False,,black,black,1.0,,,,,14,angry,,12,surprise,,4,surprise,,2,surprise,sfx_scn_firemissiles
d_contents_dungeon_run_09_32,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_32,False,,black,black,1.0,,,,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_33,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_33,False,,black,black,1.0,,,,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_34,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_34,False,,black,black,1.0,,,,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_35,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_35,False,,black,black,1.0,,,,,14,angry,,12,surprise,,4,surprise,,2,surprise,
d_contents_dungeon_run_09_36,81701,d_contents_dungeon_run_09,Narration,Locale_SubScenario:d_contents_dungeon_run_09_36,False,,black,black,1.0,,,,,14,angry,,12,surprise,,4,surprise,,2,surprise,
