id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_miraclesnow1_03_e_16,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_16,True,,1315,15,1.0,,,1,idle,,13,idle,,,15,idle,
event_miraclesnow1_03_e_17,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_17,True,,15,S_150,0.5,event_bgm_2022winter,,1,idle,,13,delight,,,15,idle,
event_miraclesnow1_03_e_18,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_18,True,,S_150,S_150,1.0,,,1,idle,,13,delight,,,15,idle,
event_miraclesnow1_03_e_19,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_19,True,,S_150,S_150,1.0,,,1,idle,,13,delight,,,15,idle,
event_miraclesnow1_03_e_20,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_20,True,,L_10,L_10,1.0,,,1,sad,,13,delight,,,15,idle,
event_miraclesnow1_03_e_21,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_21,True,,S_150,S_150,1.0,,,1,idle,,13,delight,,,15,idle,
event_miraclesnow1_03_e_22,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_22,True,,S_150,1315,1.0,,,1,idle,,13,delight,,,15,idle,
event_miraclesnow1_03_e_23,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_23,True,,1315,1315,1.0,,,1,idle,,13,delight,,,15,idle,
event_miraclesnow1_03_e_24,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_24,True,,1315,1315,1.0,,,1,idle,,13,delight,,,15,delight,
event_miraclesnow1_03_e_25,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_25,True,,1315,1315,1.0,,,1,idle,,13,delight,,,15,delight,
event_miraclesnow1_03_e_26,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_26,True,,1315,1315,1.0,,,1,idle,,13,delight,,,15,delight,
event_miraclesnow1_03_e_27,40003,event_miraclesnow1_03_e,Monologue,,,Locale_SubScenario:event_miraclesnow1_03_e_27,False,,1315,1315,1.0,,,1,idle,,13,delight,,,15,delight,maiden
event_miraclesnow1_03_e_28,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_28,True,,1315,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_29,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_29,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_30,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_30,False,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_31,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_31,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_32,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_32,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_33,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_33,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_34,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_34,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_35,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_35,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_36,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_36,False,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_37,40003,event_miraclesnow1_03_e,Self,,,Locale_SubScenario:event_miraclesnow1_03_e_37,False,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_38,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_38,True,,113,113,1.0,,,1,sad,,13,idle,,,,,
event_miraclesnow1_03_e_39,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_39,True,,113,113,1.0,,,1,sad,,13,idle,,,,,
event_miraclesnow1_03_e_40,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_40,True,,113,113,1.0,,,1,sad,,13,idle,,,,,
event_miraclesnow1_03_e_41,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_41,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_42,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_42,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_43,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_43,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_44,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_44,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_45,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_45,True,,113,113,1.0,,,1,sad,,13,delight,,,,,
event_miraclesnow1_03_e_46,40003,event_miraclesnow1_03_e,Monologue,,,Locale_SubScenario:event_miraclesnow1_03_e_46,False,,113,113,1.0,none,,1,sad,,17,delight,n102,,,,
event_miraclesnow1_03_e_47,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_47,False,,113,1,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_48,40003,event_miraclesnow1_03_e,Self,,,Locale_SubScenario:event_miraclesnow1_03_e_48,False,,1,1,1.0,bgm_story_weare,,1,sad,,,,,,,,
event_miraclesnow1_03_e_49,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_49,True,,1,L_10,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_50,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_50,True,,L_10,L_10,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_51,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_51,True,,L_10,L_10,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_52,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_52,False,,L_10,1,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_53,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_53,True,,1,1,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_54,40003,event_miraclesnow1_03_e,Self,,,Locale_SubScenario:event_miraclesnow1_03_e_54,False,,1,1,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_55,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_55,True,,1,L_10,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_56,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_56,True,,L_10,L_100,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_57,40003,event_miraclesnow1_03_e,Self,,,Locale_SubScenario:event_miraclesnow1_03_e_57,False,,L_100,L_100,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_58,40003,event_miraclesnow1_03_e,Self,,,Locale_SubScenario:event_miraclesnow1_03_e_58,False,,L_100,L_100,1.0,,,1,sad,,,,,,,,
event_miraclesnow1_03_e_59,40003,event_miraclesnow1_03_e,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_03_e_59,True,,L_100,L_100,1.0,,,1,sad,,,,,,,,
