id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_overthehorizon_02_s_34,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_34,True,,10,10,1.0,,sora,sora,,,1,delight,,13,angry,,,17,idle,,,15,idle,,,3,no,,,,,
event_overthehorizon_02_s_35,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_35,True,,170,170,1.0,,rapi,rapi,,,1,delight,,13,angry,,,17,worry,,,15,idle,,,3,no,,,,,
event_overthehorizon_02_s_36,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_36,True,,130,130,1.0,,anis,anis,,,1,delight,,13,angry,,,17,worry,,,15,idle,,,3,no,,,,,
event_overthehorizon_02_s_37,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_37,True,,130,10,1.0,,sora,sora,,,1,delight,,13,angry,,,17,worry,,,15,idle,,,3,no,,,,,
event_overthehorizon_02_s_38,40081,event_overthehorizon_02_s,Monologue,Locale_SubScenario:event_overthehorizon_02_s_38,False,,black,black,1.0,,sora,,,,1,delight,,13,angry,anis,,17,worry,rapi,,15,idle,neon,,3,no,,,,,
event_overthehorizon_02_s_39,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_39,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,no,,,,,
event_overthehorizon_02_s_40,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_40,False,,100,100,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_41,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_41,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_42,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_42,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_43,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_43,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_44,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_44,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_45,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_45,True,,100,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_46,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_46,True,,100,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_47,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_47,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_48,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_48,True,,10,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_49,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_49,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_50,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_50,True,,10,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_51,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_51,True,,10,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_52,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_52,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_53,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_53,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_54,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_54,True,,10,10,1.0,,sora,sora,,,1,surp2,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_55,40081,event_overthehorizon_02_s,Narration,Locale_SubScenario:event_overthehorizon_02_s_55,False,,10,10,1.0,,sora,,sfx_scn_radiocallend,,1,surp2,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_56,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_56,True,,10,31,1.0,,sky_op,sky_op,,,1,surp2,,,,,,,,,,,,,,3,idle,,sky_op_r,OP_rightup,surprise,
event_overthehorizon_02_s_57,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_57,True,,31,31,1.0,,sky_op,sky_op,,,1,surp2,,,,,,,,,,,,,,3,idle,,,OP_rightup,surprise,
event_overthehorizon_02_s_58,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_58,True,,31,1,1.0,,sora,sora,,,1,surp2,,,,,,,,,,,,,,3,idle,,,OP_rightup,surprise,sky_op_r
event_overthehorizon_02_s_59,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_59,True,,1,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_60,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_60,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_61,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_61,True,,10,100,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,3,idle,,,,,
event_overthehorizon_02_s_62,40081,event_overthehorizon_02_s,Narration,Locale_SubScenario:event_overthehorizon_02_s_62,False,,black,black,1.0,,sora,,sfx_scn_radiocall,,1,idle,,,,,,,,,,,,,,3,idle,cielo,,,,
event_overthehorizon_02_s_63,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_63,True,,black,black,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_64,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_64,True,,700,700,1.0,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,sky_op_c,OP_center,idle,
event_overthehorizon_02_s_65,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_65,True,,700,700,1.0,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,idle,
event_overthehorizon_02_s_66,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_66,True,,700,700,1.0,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,idle,
event_overthehorizon_02_s_67,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_67,True,,700,700,1.0,none,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,idle,
event_overthehorizon_02_s_68,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_68,True,,700,700,1.0,bgm_story_tepidappleade,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,delight2,
event_overthehorizon_02_s_69,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_69,True,,700,700,1.0,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,delight2,
event_overthehorizon_02_s_70,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_70,True,,700,70,1.0,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,delight2,
event_overthehorizon_02_s_71,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_71,True,,70,70,1.0,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,delight2,
event_overthehorizon_02_s_72,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_72,True,,70,700,0.5,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,delight2,
event_overthehorizon_02_s_73,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_73,False,,700,100,2.0,,sora,,,,1,idle,,,,,,,,,,,,,,,,,,OP_center,delight2,sky_op_c
event_overthehorizon_02_s_74,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_74,True,,100,10,1.0,,sora,sora,,,1,delight,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_75,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_75,True,,10,10,1.0,,sora,sora,,,1,delight,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_76,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_76,False,,10,10,1.0,,sora,,,,1,delight,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_77,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_77,True,,10,10,1.0,,sora,sora,,,1,delight2,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_78,40081,event_overthehorizon_02_s,Self,Locale_SubScenario:event_overthehorizon_02_s_78,False,,10,10,1.0,,sora,,,,1,delight2,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_79,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_79,True,,10,10,1.0,,sora,sora,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_80,40081,event_overthehorizon_02_s,Narration,Locale_SubScenario:event_overthehorizon_02_s_80,False,,10,10,1.0,,sora,,sfx_scn_planestart,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_81,40081,event_overthehorizon_02_s,Narration,Locale_SubScenario:event_overthehorizon_02_s_81,False,,10,10,1.0,,sora,,,,1,idle,,,,,,,,,,,,,,,,,,,,
event_overthehorizon_02_s_82,40081,event_overthehorizon_02_s,Speech,Locale_SubScenario:event_overthehorizon_02_s_82,True,,black,black,1.0,,sky_op_c,sky_op_c,,,1,idle,,,,,,,,,,,,,,,,,,,,
