id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,set_filter_02,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
event_jinxplayer_04_s_65,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_65,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_66,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_66,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_67,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_67,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_68,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_68,False,,black,black,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_69,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_69,False,,black,black,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_70,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_70,True,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_71,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_71,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_72,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_72,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_73,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_73,True,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_74,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_74,False,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_75,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_75,False,,black,black,1.0,,,rouge,,7,idle,,,black,,9,idle,,,,,
event_jinxplayer_04_s_76,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_76,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_77,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_77,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_78,40058,event_jinxplayer_04_s,Speech,youngman01,Locale_SubScenario:event_jinxplayer_04_s_78,True,,8,8,1.0,,,youngman01,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_79,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_79,True,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,,,,,
event_jinxplayer_04_s_80,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_80,True,,8,8,1.0,,,rouge,,7,idle,,,,,9,idle,timidfemale,13,idle,,
event_jinxplayer_04_s_81,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_81,False,,black,black,1.0,,,rouge,,1,idle,,,,,9,idle,,13,idle,,
event_jinxplayer_04_s_82,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_82,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,9,idle,,13,idle,youngman01,
event_jinxplayer_04_s_83,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_83,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_84,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_84,True,,12,12,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_85,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_85,True,,12,12,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_86,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_86,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_87,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_87,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_88,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_88,False,,black,black,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_89,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_89,False,,black,black,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_90,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_90,True,,12,12,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_91,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_91,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_92,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_92,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_93,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_93,True,,12,12,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_94,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_94,False,,12,12,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_95,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_95,False,,black,black,1.0,,,rouge,,1,idle,,,black,,,,,13,idle,,
event_jinxplayer_04_s_96,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_96,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_97,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_97,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_98,40058,event_jinxplayer_04_s,Speech,timidfemale,Locale_SubScenario:event_jinxplayer_04_s_98,True,,12,12,1.0,,,timidfemale,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_99,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_99,True,,12,12,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_100,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_100,True,,12,12,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,
event_jinxplayer_04_s_101,40058,event_jinxplayer_04_s,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_04_s_101,False,,black,black,1.0,,,rouge,,1,idle,,,,,,,,13,idle,,timidfemale
event_jinxplayer_04_s_102,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_102,True,,10,10,1.0,,,rouge,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_103,40058,event_jinxplayer_04_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_04_s_103,True,,10,10,1.0,,,rouge,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_104,40058,event_jinxplayer_04_s,Speech,unknown,Locale_SubScenario:event_jinxplayer_04_s_104,True,,17,170,0.3,,,unknown,,1,surprise,,,,,,,,,,,
event_jinxplayer_04_s_105,40058,event_jinxplayer_04_s,Speech,unknown,Locale_SubScenario:event_jinxplayer_04_s_105,True,,170,170,1.0,,,unknown,,1,surprise,,,,,,,,,,,
