id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_ce006_1_02_s_23,40079,event_ce006_1_02_s,Speech,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_23,True,,4,idle,,2,idle,,14,angry,,12,surprise,,1,1,1.0,,,soundonly_l,soundonly_l,OP_rightup,idle,
event_ce006_1_02_s_24,40079,event_ce006_1_02_s,Speech,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_24,True,,4,idle,,2,idle,,14,void,,12,surprise,,1,1,1.0,,,soundonly_l,,OP_rightup,idle,
event_ce006_1_02_s_25,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_25,True,,4,idle,,2,idle,,14,void,,12,surprise,,1,1,1.0,,,neon,,OP_rightup,idle,
event_ce006_1_02_s_26,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_26,True,,4,idle,,2,idle,,14,void,,12,surprise,,1,1,1.0,,,neon,,OP_rightup,idle,
event_ce006_1_02_s_27,40079,event_ce006_1_02_s,Speech,soundonly_l,Locale_MainScenario:event_ce006_1_02_s_27,True,,4,idle,,2,idle,,14,void,,12,surprise,,1,1,1.0,,,soundonly_l,,OP_rightup,idle,
event_ce006_1_02_s_28,40079,event_ce006_1_02_s,Speech,anis,Locale_MainScenario:event_ce006_1_02_s_28,True,,4,idle,,2,idle,,14,void,,12,surprise,,1,13,1.3,,,anis,,OP_rightup,idle,
event_ce006_1_02_s_29,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_29,True,,4,idle,,2,idle,,14,void,,12,surprise,,3,3,1.0,,,rapi,,OP_rightup,idle,soundonly_l
event_ce006_1_02_s_30,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_30,True,,4,idle,,2,idle,,14,void,,12,surprise,,3,3,1.0,,,ce006_01,,,,
event_ce006_1_02_s_31,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_31,False,,4,idle,,2,idle,,14,void,,12,surprise,,3,3,1.0,,,rapi,,,,
event_ce006_1_02_s_32,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_32,True,,4,idle,,2,idle,,14,void,,12,surprise,,3,3,1.0,,,rapi,,,,
event_ce006_1_02_s_33,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_33,True,,4,idle,,2,idle,,14,void,,12,surprise,,3,3,1.0,,,rapi,,,,
event_ce006_1_02_s_34,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_34,True,,4,idle,,2,idle,,14,void,,12,idle,,S_120,S_120,1.0,,,neon,,,,
event_ce006_1_02_s_35,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_35,True,,4,idle,,2,idle,,14,void,,12,idle,,3,3,1.0,,,rapi,,,,
event_ce006_1_02_s_36,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_36,False,,4,no,,2,idle,,14,idle,,12,idle,,3,3,1.0,,,ce006_01,,,,
event_ce006_1_02_s_37,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_37,False,,4,no,,2,idle,,14,idle,,12,idle,,3,3,1.0,,,ce006_01,,,,
event_ce006_1_02_s_38,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_38,True,,4,no,,2,idle,,14,idle,,12,idle,,3,3,1.0,,,ce006_01,,,,
event_ce006_1_02_s_39,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_39,True,,4,no,,2,idle,,14,idle,,12,idle,,3,3,1.0,,,ce006_01,,,,
event_ce006_1_02_s_40,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_40,True,,4,no,,2,idle,,14,idle,,12,idle,,3,3,1.0,,,ce006_01,,,,
event_ce006_1_02_s_41,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_41,True,,4,no,,2,delight,,14,idle,,12,idle,,3,3,1.0,,,rapi,,,,
event_ce006_1_02_s_42,40079,event_ce006_1_02_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_02_s_42,True,,4,delight,,2,delight,,14,idle,,12,idle,,3,3,1.0,,,ce006_01,,,,
event_ce006_1_02_s_43,40079,event_ce006_1_02_s,Speech,anis,Locale_MainScenario:event_ce006_1_02_s_43,True,,4,delight,,2,delight,,14,delight,,12,idle,,13,13,1.0,,,anis,,,,
event_ce006_1_02_s_44,40079,event_ce006_1_02_s,Speech,neon,Locale_MainScenario:event_ce006_1_02_s_44,True,,4,delight,,2,delight,,14,delight,,12,delight,,13,13,1.0,,,neon,,,,
event_ce006_1_02_s_45,40079,event_ce006_1_02_s,Speech,rapi,Locale_MainScenario:event_ce006_1_02_s_45,True,,4,delight,,2,idle,,14,delight,,12,delight,,3,3,1.0,,,rapi,,,,
