id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
event_ltk_03_e_26,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_26,False,,,,,10,10,1.0,,d,,,1,idle,,
event_ltk_03_e_27,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_27,True,,,,,10,10,1.0,,d,,,1,idle,,
event_ltk_03_e_28,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_28,False,,,,,10,10,1.0,,d,,,1,idle,,
event_ltk_03_e_29,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_29,True,,,,,10,100,1.0,,d,,,1,angry,,
event_ltk_03_e_30,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_30,True,,,,,100,100,1.0,,d,,,1,angry,,
event_ltk_03_e_31,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_31,True,,,,,100,100,1.0,,d,,,1,angry,,
event_ltk_03_e_32,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_32,False,,,,,100,100,1.0,,d,,,1,angry,,
event_ltk_03_e_33,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_33,False,,,,,100,100,1.0,,d,,,1,angry,,
event_ltk_03_e_34,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_34,True,,,,,100,100,1.0,,d,,,1,idle,,
event_ltk_03_e_35,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_35,True,,,,,100,100,1.0,,d,,,1,think,,
event_ltk_03_e_36,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_36,False,,,,,100,100,1.0,,d,,,1,think,,
event_ltk_03_e_37,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_37,True,,,,,100,10,1.0,,d,,,1,shy,,
event_ltk_03_e_38,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_38,False,,,,,10,10,1.0,,d,,,1,surprise,,
event_ltk_03_e_39,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_39,True,,,,,10,100,1.0,,d,,,1,surprise,,
event_ltk_03_e_40,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_40,False,,,,,100,100,1.0,,d,,,1,surprise,,
