id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_overzone1_01_e_14,80303,event_overzone1_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_01_e_14,True,,150,150,1.0,,,,1,worry,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_15,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_15,True,,10,10,1.0,,,,1,worry,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_16,80303,event_overzone1_01_e,Narration,,,Locale_MainScenario:event_overzone1_01_e_16,False,,10,10,1.0,,,,1,worry,,3,idle,,,13,no,,,15,sad,rapunzel
event_overzone1_01_e_17,80303,event_overzone1_01_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone1_01_e_17,True,,L_30,L_30,1.0,,,,1,worry,,3,idle,,,13,no,,,,,
event_overzone1_01_e_18,80303,event_overzone1_01_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_01_e_18,True,,130,130,1.0,,,,1,worry,,3,idle,,,13,no,,,,,
event_overzone1_01_e_19,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_19,True,,10,10,1.0,,,,1,think,,3,idle,,,13,no,,,,,
event_overzone1_01_e_20,80303,event_overzone1_01_e,Narration,,,Locale_MainScenario:event_overzone1_01_e_20,False,,10,10,1.0,none,,,1,think,,3,idle,snowwhite,,13,no,hongryeon,,,,
event_overzone1_01_e_21,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_21,False,,10,1,2.0,,,,1,think,,,,,,,,,,,,
event_overzone1_01_e_22,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_22,True,,1,1,1.0,,,,1,think,,,,,,,,,,,,
event_overzone1_01_e_23,80303,event_overzone1_01_e,Narration,,,Locale_MainScenario:event_overzone1_01_e_23,False,,1,15,2.0,,sfx_scn_movingrobot,,1,think,collectrobot,15,idle,,,,,,,,,
event_overzone1_01_e_24,80303,event_overzone1_01_e,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone1_01_e_24,True,,15,15,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_25,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_25,True,,1,1,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_26,80303,event_overzone1_01_e,Narration,,,Locale_MainScenario:event_overzone1_01_e_26,False,,black,black,1.0,,sfx_scn_connectrobot,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_27,80303,event_overzone1_01_e,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone1_01_e_27,True,,15,15,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_28,80303,event_overzone1_01_e,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone1_01_e_28,True,,15,15,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_29,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_29,False,,15,1,2.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_30,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_30,True,,1,1,1.0,bgm_story_promise,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_31,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_31,True,,1,10,2.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_32,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_32,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_33,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_33,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_34,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_34,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_35,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_35,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_36,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_36,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_37,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_37,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_38,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_38,True,,10,100,2.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_39,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_39,True,,100,100,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_40,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_40,True,,100,100,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_41,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_41,True,,100,100,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_42,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_42,True,,100,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_43,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_43,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_44,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_44,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_45,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_45,True,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_46,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_46,False,,10,10,1.0,,,,1,think,,15,idle,,,,,,,,,
event_overzone1_01_e_47,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_47,True,,10,100,1.0,,,,1,think,,15,idle,,,,,,,,,
