id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_brandnewyear_03_e_21,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_21,True,,1,S_100,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_22,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_22,False,,S_100,S_100,1.0,,julia_p,,,,,1,idle,
event_brandnewyear_03_e_23,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_23,True,,S_100,S_100,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_24,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_24,False,,S_100,S_100,1.0,,julia_p,,,,,1,idle,
event_brandnewyear_03_e_25,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_25,True,,S_100,S_10,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_26,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_26,False,,S_10,S_10,1.0,,,,,,,1,idle,
event_brandnewyear_03_e_27,40005,event_brandnewyear_03_e,Narration,Locale_SubScenario:event_brandnewyear_03_e_27,False,,black,black,1.0,none,,,,black,,1,idle,julia_p
event_brandnewyear_03_e_28,40005,event_brandnewyear_03_e,Monologue,Locale_SubScenario:event_brandnewyear_03_e_28,False,,1,1,1.0,,,,,,,,,
event_brandnewyear_03_e_29,40005,event_brandnewyear_03_e,Monologue,Locale_SubScenario:event_brandnewyear_03_e_29,False,,1,5,1.0,,,,,,,,,
event_brandnewyear_03_e_30,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_30,False,,5,5,1.0,,,,,,,,,
event_brandnewyear_03_e_31,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_31,True,,5,1,1.0,,helm_p,helm,,,helm_p,1,idle,
event_brandnewyear_03_e_32,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_32,True,,1,1,1.0,,helm_p,helm,,,,1,idle,
event_brandnewyear_03_e_33,40005,event_brandnewyear_03_e,Choice,Locale_SubScenario:event_brandnewyear_03_e_33,False,,1,1,1.0,,helm_p,,event_brandnewyear_03_e_35,,,1,idle,
event_brandnewyear_03_e_34,40005,event_brandnewyear_03_e,Choice,Locale_SubScenario:event_brandnewyear_03_e_34,False,,1,1,1.0,,helm_p,,event_brandnewyear_03_e_35,,,1,idle,
event_brandnewyear_03_e_35,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_35,True,,1,S_10,1.0,bgm_story_backtonormal,helm_p,helm,,,,1,idle,
event_brandnewyear_03_e_36,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_36,False,,S_10,S_10,1.0,,helm_p,,,,,1,idle,
event_brandnewyear_03_e_37,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_37,True,,S_10,S_10,1.0,,helm_p,helm,,,,1,idle,
event_brandnewyear_03_e_38,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_38,False,,S_10,S_10,1.0,,helm_p,,,,,1,idle,
event_brandnewyear_03_e_39,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_39,True,,S_10,1,1.0,,helm_p,helm,,,,1,idle,
