id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_boomsday_05_e_25,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_25,True,,S_300,S_30,1.0,,elegg,elegg,,,,,,3,idle,,,
event_boomsday_05_e_26,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_26,True,Park_n,S_30,13,1.0,,elegg,elegg,,,Grey,,,3,idle,,,
event_boomsday_05_e_27,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_27,True,,13,130,1.0,,elegg,elegg,,,Grey,,,3,pain,,,
event_boomsday_05_e_28,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_28,False,,130,130,1.0,,,,,,Grey,,,3,pain,,,
event_boomsday_05_e_29,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_29,True,,130,130,1.0,,elegg,elegg,,,Grey,,,3,pain,,,
event_boomsday_05_e_30,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_30,True,TechIndoor_n,130,S_30,1.0,,elegg,elegg,,,,,,3,pain,,,
event_boomsday_05_e_31,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_31,False,,S_30,S_30,1.0,,,,,,,,,3,pain,,,
event_boomsday_05_e_32,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_32,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_33,40040,event_boomsday_05_e,Narration,Locale_SubScenario:event_boomsday_05_e_33,False,,black,black,1.0,,,,sfx_scn_spark,Low_2,,,,3,think,,,
event_boomsday_05_e_34,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_34,True,,S_30,S_30,1.0,none,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_35,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_35,True,,10,10,1.0,,trony,trony,,,,,,3,think,trony,1,idle
event_boomsday_05_e_36,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_36,True,,S_30,S_30,1.0,,elegg,elegg,,Low_2,,,,3,surprise,,1,idle
event_boomsday_05_e_37,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_37,True,,10,10,1.0,,trony,trony,,,,,,3,surprise,,1,idle
event_boomsday_05_e_38,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_38,True,,S_30,S_300,0.3,bgm_story_impression,elegg,elegg,,Low_2,,,,3,special,,1,idle
event_boomsday_05_e_39,40040,event_boomsday_05_e,Monologue,Locale_SubScenario:event_boomsday_05_e_39,False,,black,black,1.0,,,,,,,,,3,special,,1,idle
event_boomsday_05_e_40,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_40,True,,2,2,1.0,,trony,trony,,,,,,3,special,,1,no
event_boomsday_05_e_41,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_41,True,,2,2,1.0,,elegg,elegg,,,,,,3,delight,,1,no
event_boomsday_05_e_42,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_42,False,,2,2,1.0,,trony,trony,,,,,,3,delight,,1,no
event_boomsday_05_e_43,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_43,True,,2,2,1.0,,trony,trony,,,,,,3,delight,,1,no
event_boomsday_05_e_44,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_44,True,,2,2,1.0,,elegg,elegg,,Low_2,,,,3,delight,,1,no
event_boomsday_05_e_45,40040,event_boomsday_05_e,Narration,Locale_SubScenario:event_boomsday_05_e_45,False,,black,black,1.0,,,,sfx_scn_spark,Low_2,,,,3,delight,,1,no
event_boomsday_05_e_46,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_46,True,,10,10,1.0,,trony,trony,,,,,,3,delight,,1,no
event_boomsday_05_e_47,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_47,True,,S_300,3,0.7,,elegg,elegg,,,,,,3,delight,,1,no
event_boomsday_05_e_48,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_48,True,,3,3,1.0,,elegg,elegg,,,,,,3,idle,,1,no
event_boomsday_05_e_49,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_49,True,,3,3,1.0,,elegg,elegg,,,,,,3,idle,,1,no
event_boomsday_05_e_50,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_50,True,,3,3,1.0,,elegg,elegg,,,,,,3,idle,,1,no
event_boomsday_05_e_51,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_51,False,,3,3,1.0,,,,,,,,,3,idle,,1,no
event_boomsday_05_e_52,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_52,False,,3,3,1.0,,,,,,,,,3,idle,,1,no
event_boomsday_05_e_53,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_53,True,,3,S_30,1.0,,elegg,elegg,,,,,,3,delight,,1,no
event_boomsday_05_e_54,40040,event_boomsday_05_e,Monologue,Locale_SubScenario:event_boomsday_05_e_54,False,,10,10,1.0,,,,,,,,,3,delight,,1,idle
event_boomsday_05_e_55,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_55,False,,10,10,1.0,,,,,,,,,3,delight,,1,idle
event_boomsday_05_e_56,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_56,True,,2,2,1.0,,elegg,elegg,,,,,,3,delight,,1,idle
event_boomsday_05_e_57,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_57,True,,2,2,1.0,,trony,trony,,,,black,,3,idle,,1,idle
event_boomsday_05_e_58,40040,event_boomsday_05_e,Narration,Locale_SubScenario:event_boomsday_05_e_58,False,,2,2,1.0,,,,,,,,,3,idle,,1,idle
event_boomsday_05_e_59,40040,event_boomsday_05_e,Narration,Locale_SubScenario:event_boomsday_05_e_59,False,,2,2,1.0,,,,,,,,,3,idle,,1,idle
event_boomsday_05_e_60,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_60,True,,2,2,1.0,,elegg,elegg,,,,,,3,worry,,1,idle
event_boomsday_05_e_61,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_61,True,,2,2,1.0,,elegg,elegg,,,,,,3,worry,,1,idle
event_boomsday_05_e_62,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_62,True,,2,2,1.0,,elegg,elegg,,,,,,3,idle,,1,idle
event_boomsday_05_e_63,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_63,True,,2,2,1.0,,elegg,elegg,,,,,,3,idle,,1,idle
event_boomsday_05_e_64,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_64,True,,2,2,1.0,,trony,trony,,,,,,3,idle,,1,idle
event_boomsday_05_e_65,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_65,True,,2,2,1.0,,elegg,elegg,,,,,,3,idle,,1,idle
event_boomsday_05_e_66,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_66,True,,S_30,S_30,1.0,,elegg,elegg,,Low_2,,,,3,worry,,1,idle
event_boomsday_05_e_67,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_67,True,,10,10,1.0,,trony,trony,,Low_2,,,,3,worry,,1,sad
event_boomsday_05_e_68,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_68,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,delight,,1,sad
event_boomsday_05_e_69,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_69,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,delight,,1,sad
event_boomsday_05_e_70,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_70,True,,10,100,1.0,,trony,trony,,,,,,3,delight,,1,delight
