id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
snowfall_speech_npc_day10_05_11,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_11,True,,30,30,1.0,,,,emma,emma,,3,worry,,1,idle,,13,idle
snowfall_speech_npc_day10_05_12,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_12,True,,30,30,1.0,,,,emma,emma,,3,worry,,1,idle,,13,idle
snowfall_speech_npc_day10_05_13,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_13,True,,12,12,1.0,,,,vesti,vesti,,3,worry,,1,idle,,13,idle
snowfall_speech_npc_day10_05_14,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_14,True,,12,12,1.0,,,,vesti,vesti,,3,worry,,1,idle,,13,idle
snowfall_speech_npc_day10_05_15,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_15,True,,12,12,1.0,,,,eunhwa,eunhwa,,3,worry,,1,idle,,13,idle
snowfall_speech_npc_day10_05_16,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_16,True,,12,2,1.0,,,,emma,emma,,3,surprise,,1,idle,,13,idle
snowfall_speech_npc_day10_05_17,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_17,True,,2,2,1.0,,,,eunhwa,eunhwa,,3,surprise,,1,idle,,13,idle
snowfall_speech_npc_day10_05_18,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_18,True,,2,2,1.0,,,,emma,emma,,3,surprise,,1,idle,,13,idle
snowfall_speech_npc_day10_05_19,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_19,True,,2,2,1.0,,,,eunhwa,eunhwa,,3,surprise,,1,angry,,13,idle
snowfall_speech_npc_day10_05_20,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_20,True,,2,2,1.0,,,,emma,emma,,3,delight,,1,angry,,13,idle
snowfall_speech_npc_day10_05_21,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_21,True,,2,2,1.0,,,,emma,emma,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day10_05_22,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_22,True,,2,2,1.0,,,,emma,emma,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day10_05_23,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_23,True,,2,12,1.0,,,,eunhwa,eunhwa,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day10_05_24,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_24,True,,12,12,1.0,,,,vesti,vesti,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day10_05_25,80903,snowfall_speech_npc_day10_05,Narration,Locale_SubScenario:snowfall_speech_npc_day10_05_25,False,,black,black,1.0,,,,,,,3,idle,,1,idle,,13,idle
