id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_seayouagain_04_28,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_28,False,,black,black,1.0,,,,,,,17,think,,,,,,,,,,,,
d_ex_seayouagain_04_29,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_29,False,,2,2,1.0,,,,,,,17,idle,,,,,anis_s,3,angry,,neon_s,1,no,
d_ex_seayouagain_04_30,80600,d_ex_seayouagain_04,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_04_30,True,,2,2,1.0,,,anis_s,,,,17,idle,,,,,,3,angry,,,1,no,
d_ex_seayouagain_04_31,80600,d_ex_seayouagain_04,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_04_31,True,,2,3,1.0,,,anis_s,,,,17,idle,,,,,,3,angry,,,1,no,
d_ex_seayouagain_04_32,80600,d_ex_seayouagain_04,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_04_32,True,,3,1,1.0,,,neon_s,,,,17,idle,,,,,,3,angry,,,1,no,
d_ex_seayouagain_04_33,80600,d_ex_seayouagain_04,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_04_33,True,,1,1,1.0,,,neon_s,,,,17,idle,,,,,,3,angry,,,1,no,
d_ex_seayouagain_04_34,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_34,False,,170,1700,0.5,,,,Low_2,,,17,idle,,,,,,3,angry,,,1,no,
d_ex_seayouagain_04_35,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_35,True,,1700,1700,1.0,,,frima_s,,,,17,angry,,,,,,3,worry,,,1,no,
d_ex_seayouagain_04_36,80600,d_ex_seayouagain_04,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_04_36,True,,3,XS_30,0.3,,,neon_s,Low_2,,,17,angry,,,,,,3,worry,,,1,worry,
d_ex_seayouagain_04_37,80600,d_ex_seayouagain_04,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_04_37,True,,XS_30,XS_30,1.0,,,anis_s,,,,17,idle,,,,,,3,worry,,,1,worry,
d_ex_seayouagain_04_38,80600,d_ex_seayouagain_04,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_04_38,True,,XS_30,XS_30,1.0,,,anis_s,,,,17,idle,,,,,,3,angry,,,1,worry,
d_ex_seayouagain_04_39,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_39,True,,17,17,1.0,,,frima_s,,,,17,idle,,,,,,3,angry,,,1,worry,
d_ex_seayouagain_04_40,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_40,False,,17,17,1.0,,,,,,,5,idle,,,,,,3,angry,anis_s,,1,worry,neon_s
d_ex_seayouagain_04_41,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_41,True,LogHouseOut_n,5,5,1.0,,,frima_s,,black,,5,no,,,,,,,,,,,,
d_ex_seayouagain_04_42,80600,d_ex_seayouagain_04,Self,Self,Locale_SuddenStory:d_ex_seayouagain_04_42,False,,5,5,1.0,,,,,,,5,no,,,,,,,,,,,,
d_ex_seayouagain_04_43,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_43,False,,5,50,0.5,,,frima_s,,,,5,surprise,,,,,,,,,,,,
d_ex_seayouagain_04_44,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_44,True,,50,50,1.0,,,frima_s,,,,5,idle,,,,,,,,,,,,
d_ex_seayouagain_04_45,80600,d_ex_seayouagain_04,Self,Self,Locale_SuddenStory:d_ex_seayouagain_04_45,False,,50,50,1.0,,,,,,,5,idle,,,,,,,,,,,,
d_ex_seayouagain_04_46,80600,d_ex_seayouagain_04,Self,Self,Locale_SuddenStory:d_ex_seayouagain_04_46,False,,50,50,1.0,,,,,,,5,idle,,,,,,,,,,,,
d_ex_seayouagain_04_47,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_47,True,,50,500,1.0,,,frima_s,,,,5,delight,,,,,,,,,,,,
d_ex_seayouagain_04_48,80600,d_ex_seayouagain_04,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_04_48,False,,500,500,1.0,,,,,,,5,delight,,,,,,,,,,,,
d_ex_seayouagain_04_49,80600,d_ex_seayouagain_04,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_04_49,False,,500,500,1.0,,,,,,,5,delight,,,,,,,,,,,,
d_ex_seayouagain_04_50,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_50,True,,500,500,1.0,,,frima_s,,,,5,sleep_01,,,,,,,,,,,,
d_ex_seayouagain_04_51,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_51,True,,500,500,1.0,,,frima_s,,,,5,sleep_01,,,,,,,,,,,,
d_ex_seayouagain_04_52,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_52,True,,500,500,1.0,,,frima_s,,,,5,sleep_01,,,,,,,,,,,,
