id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/hide_char_id,jump_target
event_brandnewyear_01_s_13,40005,event_brandnewyear_01_s,Choice,,Locale_SubScenario:event_brandnewyear_01_s_13,False,,,,,,,,1,1,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_15
event_brandnewyear_01_s_14,40005,event_brandnewyear_01_s,Choice,,Locale_SubScenario:event_brandnewyear_01_s_14,False,,,,,,,,1,1,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_15
event_brandnewyear_01_s_15,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_15,True,,,,,,,,1,S_10,1.0,,helm_p,,,,1,no,,
event_brandnewyear_01_s_16,40005,event_brandnewyear_01_s,Monologue,Monologue,Locale_SubScenario:event_brandnewyear_01_s_16,False,,,,,,,,S_10,S_50,1.0,,helm_p,,,,1,no,,
event_brandnewyear_01_s_17,40005,event_brandnewyear_01_s,Monologue,Monologue,Locale_SubScenario:event_brandnewyear_01_s_17,False,,,,,,,,S_50,S_50,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_18,40005,event_brandnewyear_01_s,Choice,,Locale_SubScenario:event_brandnewyear_01_s_18,False,,,,,,,,S_50,S_50,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_20
event_brandnewyear_01_s_19,40005,event_brandnewyear_01_s,Choice,,Locale_SubScenario:event_brandnewyear_01_s_19,False,,,,,,,,S_50,S_50,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_20
event_brandnewyear_01_s_20,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_20,True,,,,,,,,S_50,S_10,1.0,,helm_p,,,,1,delight,,
event_brandnewyear_01_s_21,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_21,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_22,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_22,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_23,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_23,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_24,40005,event_brandnewyear_01_s,Choice,,Locale_SubScenario:event_brandnewyear_01_s_24,False,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_26
event_brandnewyear_01_s_25,40005,event_brandnewyear_01_s,Choice,,Locale_SubScenario:event_brandnewyear_01_s_25,False,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_27
event_brandnewyear_01_s_26,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_26,True,,,,,,,,S_10,1,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_30
event_brandnewyear_01_s_27,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_27,True,,,,,,,,S_10,1,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_28,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_28,True,,,,,,,,1,1,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_29,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_29,True,,,,,,,,1,1,1.0,,helm_p,,,,1,idle,,event_brandnewyear_01_s_30
event_brandnewyear_01_s_30,40005,event_brandnewyear_01_s,Self,Self,Locale_SubScenario:event_brandnewyear_01_s_30,False,,,,,,,,1,1,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_31,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_31,True,,,,,,,,1,1,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_32,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_32,True,,,,,,,,1,1,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_33,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_33,True,,,,,,,,1,S_100,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_34,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_34,True,,,,,,,,S_100,S_100,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_35,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_35,True,,,,,,,,S_100,S_100,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_36,40005,event_brandnewyear_01_s,Self,Self,Locale_SubScenario:event_brandnewyear_01_s_36,False,,,,,,,,S_100,S_100,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_37,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_37,True,,,,,,,,S_100,S_10,1.0,,helm_p,,,,1,surprise,,
event_brandnewyear_01_s_38,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_38,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_39,40005,event_brandnewyear_01_s,Self,Self,Locale_SubScenario:event_brandnewyear_01_s_39,False,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_40,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_40,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,delight,,
event_brandnewyear_01_s_41,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_41,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_42,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_42,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_43,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_43,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_44,40005,event_brandnewyear_01_s,Self,Self,Locale_SubScenario:event_brandnewyear_01_s_44,False,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
