id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,conversation_id,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
event_wisdomspring_01_e_22,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_22,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_23,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_23,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_24,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_24,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_25,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_25,False,,XS_100,XS_100,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_26,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_26,True,,XS_100,XS_10,1.5,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_27,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_27,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_28,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_28,False,,XS_10,XS_10,1.0,,,,ether,,,1,delight,
event_wisdomspring_01_e_29,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_29,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_30,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_30,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_31,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_31,False,,XS_10,XS_10,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_32,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_32,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_33,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_33,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_34,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_34,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_35,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_35,False,,XS_10,XS_10,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_36,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_36,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_37,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_37,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_38,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_38,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_39,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_39,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_40,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_40,False,,XS_10,XS_10,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_41,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_41,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_42,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_42,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_43,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_43,False,,XS_10,XS_10,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_44,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_44,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_45,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_45,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_46,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_46,False,,XS_10,XS_10,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_47,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_47,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_48,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_48,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_49,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_49,False,,XS_10,XS_10,1.0,,,,ether,,,1,delight,
event_wisdomspring_01_e_50,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_50,True,,XS_10,XS_100,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_51,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_51,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_52,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_52,False,,XS_100,XS_100,1.0,,,,ether,,,1,delight,
event_wisdomspring_01_e_53,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_53,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_54,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_54,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_55,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_55,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_56,40068,event_wisdomspring_01_e,Choice,Locale_SubScenario:event_wisdomspring_01_e_56,False,,XS_100,XS_100,1.0,,,,ether,,,1,delight,event_wisdomspring_01_e_58
event_wisdomspring_01_e_57,40068,event_wisdomspring_01_e,Choice,Locale_SubScenario:event_wisdomspring_01_e_57,False,,XS_100,XS_100,1.0,,,,ether,,,1,delight,event_wisdomspring_01_e_65
event_wisdomspring_01_e_58,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_58,True,,XS_100,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_59,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_59,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_60,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_60,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_61,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_61,False,,XS_10,XS_10,1.0,,,,ether,,,1,delight,
event_wisdomspring_01_e_62,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_62,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_63,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_63,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_64,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_64,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,event_wisdomspring_01_e_69
event_wisdomspring_01_e_65,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_65,True,,XS_100,XS_10,1.5,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_66,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_66,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_67,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_67,False,,XS_10,XS_10,1.0,,,,ether,,,1,delight,
event_wisdomspring_01_e_68,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_68,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,event_wisdomspring_01_e_69
event_wisdomspring_01_e_69,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_69,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_70,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_70,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_71,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_71,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,delight,
event_wisdomspring_01_e_72,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_72,False,,XS_10,XS_10,1.0,,,,ether,,,1,delight,
event_wisdomspring_01_e_73,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_73,True,,XS_10,XS_100,1.0,,,,ether,ether,,1,delight,
