id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_exnii2_07_s_15,40071,event_exnii2_07_s,Speech,anchor,anchor,Locale_SubScenario:event_exnii2_07_s_15,True,,,,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,4,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_16,40071,event_exnii2_07_s,Speech,anchor,anchor,Locale_SubScenario:event_exnii2_07_s_16,True,,,,,1,angry,,3,sad2,,5,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_17,40071,event_exnii2_07_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_07_s_17,True,,,,,1,angry,,3,sad2,,5,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_18,40071,event_exnii2_07_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_07_s_18,True,,,,,1,angry,,3,sad2,,5,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_19,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_19,True,,,,,1,angry,,3,sad2,,5,idle,,4,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_20,40071,event_exnii2_07_s,Speech,ce005_03_op_r,ce005_03_op_r,Locale_SubScenario:event_exnii2_07_s_20,True,,,,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,ce005_03_op_r,OP_rightup,idle,,,,,,,,,,,
event_exnii2_07_s_21,40071,event_exnii2_07_s,Speech,centi_op,centi_op,Locale_SubScenario:event_exnii2_07_s_21,True,centi_op,OP_leftup,idle,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,OP_rightup,idle,,,,,,,,,,,
event_exnii2_07_s_22,40071,event_exnii2_07_s,Speech,ce005_03_op_r,ce005_03_op_r,Locale_SubScenario:event_exnii2_07_s_22,True,,OP_leftup,idle,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,centi_op,,,,,,,OP_rightup,idle,,,,,,,,,,,
event_exnii2_07_s_23,40071,event_exnii2_07_s,Speech,,unknown,Locale_SubScenario:event_exnii2_07_s_23,True,,,,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,OP_rightup,idle,ce005_03_op_r,,,,,,,,,,
event_exnii2_07_s_24,40071,event_exnii2_07_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_07_s_24,True,,,,,1,idle,,3,shy,,5,idle,,event_exnii_talk_04,30,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_25,40071,event_exnii2_07_s,Speech,unknown,unknown,Locale_SubScenario:event_exnii2_07_s_25,True,,,,,1,idle,,3,shy,,5,idle,,black,black,1.0,,,,,,,,,,,,laplace,16,idle,,,,,,,
event_exnii2_07_s_26,40071,event_exnii2_07_s,Narration,,,Locale_SubScenario:event_exnii2_07_s_26,False,,,,,1,idle,,3,delight,,5,idle,,black,black,1.0,,,,,anchor,,,,,,,,16,idle,sfx_scn_c100ultfire,,,,,,
event_exnii2_07_s_27,40071,event_exnii2_07_s,Narration,,,Locale_SubScenario:event_exnii2_07_s_27,False,,,,,1,idle,,3,delight,,,,,black,black,1.0,,,,,,,,,,,,,16,idle,,,,,,,
event_exnii2_07_s_28,40071,event_exnii2_07_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_07_s_28,True,,,,,1,idle,,3,delight,,,,,1,13,1.0,,,,,,Low_2,black,,,,,,13,delight,,,,,,,
event_exnii2_07_s_29,40071,event_exnii2_07_s,Speech,drake,drake,Locale_SubScenario:event_exnii2_07_s_29,True,,,,,1,idle,,3,delight,,,,,13,16,1.0,,,,,,,,,,,,,13,delight,,drake,15,delight,maxwell,17,delight
event_exnii2_07_s_30,40071,event_exnii2_07_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_07_s_30,True,,,,,1,idle,,3,delight,,,,,16,16,1.0,,,,,,,,,,,,,13,delight,,,15,delight,,17,angry
event_exnii2_07_s_31,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_31,True,,,,,1,delight,,3,delight,,,,,1,1,1.0,,,,,,,,,,,,,13,delight,,,15,delight,,17,delight
event_exnii2_07_s_32,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_32,True,,,,,1,delight,,3,delight,,,,,1,1,1.0,,,,,,,,,,,,,13,delight,,,15,delight,,17,delight
event_exnii2_07_s_33,40071,event_exnii2_07_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_07_s_33,True,,,,,1,delight,,3,delight,,,,,1,event_exnii_talk_02,1.0,,,,,,,,,,,,,13,delight,,,15,delight,,17,idle
event_exnii2_07_s_34,40071,event_exnii2_07_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_07_s_34,True,,,,,1,delight,,3,delight,,,,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,13,delight,,,15,delight,,17,idle
event_exnii2_07_s_35,40071,event_exnii2_07_s,Speech,drake,drake,Locale_SubScenario:event_exnii2_07_s_35,True,,,,,1,delight,,3,delight,,,,,event_exnii_talk_02,15,2.0,,,,,,,,,,,,,13,delight,,,15,shy,,17,idle
event_exnii2_07_s_36,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_36,True,,,,,1,idle,,3,delight,,,,,1,1,1.0,,,,,,,,,,,,,13,delight,,,15,shy,,17,idle
event_exnii2_07_s_37,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_37,True,,,,,1,idle,,3,delight,,,,,1,1,1.0,,,,,,,,,,,,,13,delight,,,15,shy,,17,idle
event_exnii2_07_s_38,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_38,True,,,,,1,idle,,3,delight,,,,,1,1,1.0,,,,,,,,,,,,,13,delight,,,15,shy,,17,idle
event_exnii2_07_s_39,40071,event_exnii2_07_s,Speech,ce005_01_op_c,ce005_01_op_c,Locale_SubScenario:event_exnii2_07_s_39,True,ce005_01_op_c,OP_centerup,idle,,1,idle,,3,delight,,,,,1,1,1.0,,,,,,,,,,,,,13,delight,,,15,idle,,17,idle
event_exnii2_07_s_40,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_40,True,,OP_centerup,idle,,1,angry,,3,delight,,,,,1,1,1.0,,,,,,,,,,,,,13,think,,,15,idle,,17,idle
event_exnii2_07_s_41,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_41,True,,OP_centerup,idle,,1,angry,,3,delight,,,,,1,10,1.0,,,,,,,,,,,,,13,think,,,15,idle,,17,idle
event_exnii2_07_s_42,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_42,True,,OP_centerup,idle,,1,"expression_0,angry",,3,delight,,,,,10,10,1.0,,,,,,,,,,,,,13,think,,,15,idle,,17,idle
