id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,jump_target
event_miraclesnow1_04_s_20,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_20,True,,L_10,L_10,1.0,,,1,surprise,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_21,40003,event_miraclesnow1_04_s,Speech,poli,poli,Locale_SubScenario:event_miraclesnow1_04_s_21,True,,L_10,XS_130,1.0,,,1,surprise,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_22,40003,event_miraclesnow1_04_s,Speech,poli,poli,Locale_SubScenario:event_miraclesnow1_04_s_22,True,,XS_130,XS_130,1.0,,,1,surprise,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_23,40003,event_miraclesnow1_04_s,Speech,poli,poli,Locale_SubScenario:event_miraclesnow1_04_s_23,True,,XS_130,XS_130,1.0,,,1,surprise,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_24,40003,event_miraclesnow1_04_s,Speech,miranda,miranda,Locale_SubScenario:event_miraclesnow1_04_s_24,True,,S_150,S_150,1.0,,,1,surprise,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_25,40003,event_miraclesnow1_04_s,Monologue,,,Locale_SubScenario:event_miraclesnow1_04_s_25,False,,black,black,1.0,,,1,surprise,,3,idle,,13,idle,,15,idle,poli,miranda,
event_miraclesnow1_04_s_26,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_26,True,,XS_30,XS_30,1.0,,,1,idle_02,,3,surprise,,,,,,,,,
event_miraclesnow1_04_s_27,40003,event_miraclesnow1_04_s,Choice,,,Locale_SubScenario:event_miraclesnow1_04_s_27,False,,XS_30,XS_30,1.0,,,1,idle_02,,3,surprise,,,,,,,,,event_miraclesnow1_04_s_31
event_miraclesnow1_04_s_28,40003,event_miraclesnow1_04_s,Choice,,,Locale_SubScenario:event_miraclesnow1_04_s_28,False,,XS_30,XS_30,1.0,,,1,idle_02,,3,surprise,,,,,,,,,event_miraclesnow1_04_s_29
event_miraclesnow1_04_s_29,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_29,True,,XS_30,L_10,1.0,,,1,sad,,3,surprise,,,,,,,,,
event_miraclesnow1_04_s_30,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_30,True,,L_10,L_10,1.0,,,1,sad,,3,surprise,,,,,,,,,event_miraclesnow1_04_s_31
event_miraclesnow1_04_s_31,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_31,True,,L_10,31,1.0,,,1,sad,,3,think,,,,,,,,,
event_miraclesnow1_04_s_32,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_32,True,,31,31,1.0,,,1,idle_02,,3,think,,,,,,,,,
event_miraclesnow1_04_s_33,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_33,True,,31,31,1.0,,,1,idle_02,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_34,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_34,True,,31,31,1.0,none,,1,idle_02,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_35,40003,event_miraclesnow1_04_s,Self,,,Locale_SubScenario:event_miraclesnow1_04_s_35,False,,31,31,1.0,,,1,idle_02,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_36,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_36,True,,31,31,1.0,,,1,idle_02,,3,delight,,,,,,,,,
event_miraclesnow1_04_s_37,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_37,True,,31,31,1.0,,,1,idle_02,,3,delight,,,,,,,,,
event_miraclesnow1_04_s_38,40003,event_miraclesnow1_04_s,Monologue,,,Locale_SubScenario:event_miraclesnow1_04_s_38,False,,black,black,1.0,,,1,idle_02,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_39,40003,event_miraclesnow1_04_s,Monologue,,,Locale_SubScenario:event_miraclesnow1_04_s_39,False,,black,black,1.0,event_bgm_2022winter,,1,idle_02,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_40,40003,event_miraclesnow1_04_s,Monologue,,,Locale_SubScenario:event_miraclesnow1_04_s_40,False,,black,black,1.0,,,1,idle_02,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_41,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_41,True,,L_10,L_10,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_42,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_42,True,,L_10,L_10,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_43,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_43,True,,L_10,31,1.0,,,1,think,,3,think,,,,,,,,,
event_miraclesnow1_04_s_44,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_44,True,,31,31,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_45,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_45,True,,31,31,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_46,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_46,True,,31,31,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_47,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_47,True,,31,31,1.0,,,1,idle_02,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_48,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_48,False,,31,L_10,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_49,40003,event_miraclesnow1_04_s,Self,,,Locale_SubScenario:event_miraclesnow1_04_s_49,False,,L_10,L_10,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_50,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_50,True,,L_10,L_10,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_51,40003,event_miraclesnow1_04_s,Monologue,,,Locale_SubScenario:event_miraclesnow1_04_s_51,False,,L_10,150,1.0,,,1,think,,3,idle,,,,,,,,,
event_miraclesnow1_04_s_52,40003,event_miraclesnow1_04_s,Speech,emma_c,emma,Locale_SubScenario:event_miraclesnow1_04_s_52,True,,150,150,1.0,,,1,think,,3,idle,emma_c,15,delight,,,,,,
event_miraclesnow1_04_s_53,40003,event_miraclesnow1_04_s,Speech,emma_c,emma,Locale_SubScenario:event_miraclesnow1_04_s_53,True,,150,150,1.0,,,1,think,,3,idle,,15,delight,,,,,,
event_miraclesnow1_04_s_54,40003,event_miraclesnow1_04_s,Speech,emma_c,emma,Locale_SubScenario:event_miraclesnow1_04_s_54,True,,150,150,1.0,,,1,think,,3,idle,,15,delight,,,,,,
event_miraclesnow1_04_s_55,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_55,False,,150,L_10,1.0,none,,1,think,,3,idle,,15,delight,,,,,,
event_miraclesnow1_04_s_56,40003,event_miraclesnow1_04_s,Self,,,Locale_SubScenario:event_miraclesnow1_04_s_56,False,,L_10,L_10,1.0,,,1,think,,3,idle,,15,delight,,,,,,
