id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/1/hide_char_id
d_ex_seayouagain_01_11,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_11,True,,,,,1,1,1.0,,anchor,,,anchor,1,idle,,,
d_ex_seayouagain_01_12,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_12,True,,,,,1,1,1.0,,anchor,,,,1,idle,,,
d_ex_seayouagain_01_13,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_13,False,,,,,1,1,1.0,,,,,,1,idle,,,
d_ex_seayouagain_01_14,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_14,True,,,,,1,1,1.0,,anchor,,,,1,surprise,,,
d_ex_seayouagain_01_15,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_15,False,,,,,1,1,1.0,,,,,,1,idle,,,
d_ex_seayouagain_01_16,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_16,True,,,,,1,1,1.0,,anchor,,,,1,idle,,,
d_ex_seayouagain_01_17,80600,d_ex_seayouagain_01,Choice,,Locale_SuddenStory:d_ex_seayouagain_01_17,False,,,,,1,1,1.0,,,,,,1,idle,d_ex_seayouagain_01_19,,
d_ex_seayouagain_01_18,80600,d_ex_seayouagain_01,Choice,,Locale_SuddenStory:d_ex_seayouagain_01_18,False,,,,,1,1,1.0,,,,,,1,idle,d_ex_seayouagain_01_19,,
d_ex_seayouagain_01_19,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_19,True,,,,,1,1,1.0,,anchor,,,,1,idle,,,
d_ex_seayouagain_01_20,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_20,True,,,,,1,1,1.0,,anchor,,,,1,surprise,,,
d_ex_seayouagain_01_21,80600,d_ex_seayouagain_01,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_01_21,False,,,,,black,black,1.0,,,,,,1,idle,,,
d_ex_seayouagain_01_22,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_22,False,,,,,1,1,1.0,,,,,,1,idle,,,
d_ex_seayouagain_01_23,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_23,False,,,,,1,1,1.0,,,,,,1,idle,,,
d_ex_seayouagain_01_24,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_24,True,,,,,1,1,1.0,,anchor,,,,1,delight,,,
d_ex_seayouagain_01_25,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_25,True,,,,,1,1,1.0,,anchor,,,,1,delight,,,
d_ex_seayouagain_01_26,80600,d_ex_seayouagain_01,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_01_26,False,,,,,black,black,1.0,,,,,,1,idle,,sfx_scn_sponge,
d_ex_seayouagain_01_27,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_27,False,,,,,1,1,1.0,,,,,,1,idle,,,
d_ex_seayouagain_01_28,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_28,False,,,,,1,1,1.0,,,,,,1,idle,,,
d_ex_seayouagain_01_29,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_29,True,,,,,1,S_10,1.0,,anchor,,,,1,delight,,,
d_ex_seayouagain_01_30,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_30,True,,,,,S_10,S_10,1.0,,anchor,,,,1,delight,,,
d_ex_seayouagain_01_31,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_31,False,,,,,S_10,S_10,1.0,,,,,,1,delight,,,
d_ex_seayouagain_01_32,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_32,True,,,,,S_10,S_10,1.0,,anchor,,,,1,delight,,,
d_ex_seayouagain_01_33,80600,d_ex_seayouagain_01,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_01_33,True,,,,,S_10,S_10,1.0,,anchor,,,,1,delight,,,
d_ex_seayouagain_01_34,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_34,False,,,,,S_10,1,1.0,,,,,,1,delight,,,
d_ex_seayouagain_01_35,80600,d_ex_seayouagain_01,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_01_35,False,frima_s,1,idle,LogHouseOut_d,1,1,1.0,,,,black,,1,delight,,,anchor
d_ex_seayouagain_01_36,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_36,False,,1,idle,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_01_37,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_37,False,,1,idle,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_01_38,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_38,True,,1,surprise,,1,1,1.0,,frima_s,,,,,,,,
d_ex_seayouagain_01_39,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_39,True,,1,surprise,,1,1,1.0,,frima_s,,,,,,,,
d_ex_seayouagain_01_40,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_40,False,,1,idle,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_01_41,80600,d_ex_seayouagain_01,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_01_41,False,,1,angry,,black,black,1.0,,,,,,,,,sfx_scn_poke2,
d_ex_seayouagain_01_42,80600,d_ex_seayouagain_01,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_01_42,False,,1,idle,,black,black,1.0,,,,,,,,,sfx_scn_sponge,
d_ex_seayouagain_01_43,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_43,False,,1,delight,,1,10,1.0,,,,,,,,,,
d_ex_seayouagain_01_44,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_44,True,,1,delight,,10,10,1.0,,frima_s,,,,,,,,
d_ex_seayouagain_01_45,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_45,True,,1,idle,,10,10,1.0,,frima_s,,,,,,,,
d_ex_seayouagain_01_46,80600,d_ex_seayouagain_01,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_01_46,False,,1,idle,,black,black,1.0,,,,,,,,,,
d_ex_seayouagain_01_47,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_47,True,,1,sleep_02,,1,1,1.0,,frima_s,,,,,,,,
d_ex_seayouagain_01_48,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_48,False,,1,sleep_02,,1,1,1.0,,,frima_s,,,,,,,
d_ex_seayouagain_01_49,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_49,False,,,,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_01_50,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_50,False,,,,,1,1,1.0,,,,,,,,,,
