id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_contents_bbqmaster_05_32,80603,d_contents_bbqmaster_05,Self,,,Locale_SubScenario:d_contents_bbqmaster_05_32,False,,S_30,S_30,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_33,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_33,True,,S_30,3,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_34,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_34,True,,3,3,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_35,80603,d_contents_bbqmaster_05,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_05_35,True,,XS_130,XS_130,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_36,80603,d_contents_bbqmaster_05,Narration,,,Locale_SubScenario:d_contents_bbqmaster_05_36,False,,XS_130,XS_130,1.0,,Low_2,,1,worry,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_37,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_37,True,,XS_130,12,0.6,,,,1,worry,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_38,80603,d_contents_bbqmaster_05,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_05_38,True,,12,12,1.0,,,,1,worry,,13,worry,,5,idle,,3,delight
d_contents_bbqmaster_05_39,80603,d_contents_bbqmaster_05,Self,,,Locale_SubScenario:d_contents_bbqmaster_05_39,False,,12,12,1.0,,,,1,worry,,13,worry,,5,idle,,3,delight
d_contents_bbqmaster_05_40,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_40,True,,12,12,1.0,,,,1,void,,13,worry,,5,idle,,3,delight
d_contents_bbqmaster_05_41,80603,d_contents_bbqmaster_05,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_05_41,True,,12,12,1.0,,,,1,void,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_42,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_42,True,,12,12,1.0,,,,1,void,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_43,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_43,True,,12,2,1.0,,,,1,void,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_44,80603,d_contents_bbqmaster_05,Monologue,,,Locale_SubScenario:d_contents_bbqmaster_05_44,False,,black,black,1.0,,,,1,void,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_45,80603,d_contents_bbqmaster_05,Narration,,,Locale_SubScenario:d_contents_bbqmaster_05_45,False,,black,black,1.0,,,,1,void,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_46,80603,d_contents_bbqmaster_05,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_05_46,True,,12,12,1.0,,,,1,idle,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_47,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_47,True,,12,12,1.0,,,,1,idle,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_48,80603,d_contents_bbqmaster_05,Self,,,Locale_SubScenario:d_contents_bbqmaster_05_48,False,,12,12,1.0,,,,1,idle,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_49,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_49,True,,12,S_30,1.0,,,,1,idle,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_50,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_50,True,,S_30,S_30,1.0,,,,1,idle,,13,delight,,5,idle,,3,delight
d_contents_bbqmaster_05_51,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_51,True,,S_30,S_30,1.0,,,,1,idle,,13,delight,,5,idle,,3,sad
d_contents_bbqmaster_05_52,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_52,True,,S_30,S_30,1.0,,,,1,idle,,13,delight,,5,idle,,3,idle
d_contents_bbqmaster_05_53,80603,d_contents_bbqmaster_05,Speech,frima_s,frima_s,Locale_SubScenario:d_contents_bbqmaster_05_53,True,,S_30,4,1.0,,,,1,idle,,13,delight,,5,idle,,3,idle
d_contents_bbqmaster_05_54,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_54,True,,4,4,1.0,,,,1,idle,,13,delight,,5,idle,,3,idle
d_contents_bbqmaster_05_55,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_55,True,,4,2,1.0,,,,1,idle,,13,delight,,5,idle,,3,idle
d_contents_bbqmaster_05_56,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_56,True,,2,12,1.0,,,,1,delight,,13,delight,,5,idle,,3,idle
d_contents_bbqmaster_05_57,80603,d_contents_bbqmaster_05,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_05_57,True,,12,12,1.0,,,,1,delight,,13,delight,,5,idle,,3,idle
