id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ce02_3_06_s_42,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_42,True,,130,130,1.0,,,,p12,p12,,13,idle,,1,angry
event_ce02_3_06_s_43,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_43,True,,130,130,1.0,,,,p12,p12,,13,idle,,1,angry
event_ce02_3_06_s_44,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_44,True,,130,130,1.0,,,,p12,p12,,13,idle,,1,angry
event_ce02_3_06_s_45,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_45,True,,10,1,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_46,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_46,True,,1,1,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_47,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_47,True,,1,1,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_48,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_48,True,,1,12,1.0,,,,p12,p12,,13,idle,,1,think
event_ce02_3_06_s_49,40027,event_ce02_3_06_s,Monologue,Locale_SubScenario:event_ce02_3_06_s_49,False,,black,black,1.0,,,,,,,13,idle,,1,think
event_ce02_3_06_s_50,40027,event_ce02_3_06_s,Narration,Locale_SubScenario:event_ce02_3_06_s_50,False,,12,12,1.0,,sfx_scn_arkdoorclose,Low_2,,,,13,idle,,1,think
event_ce02_3_06_s_51,40027,event_ce02_3_06_s,Monologue,Locale_SubScenario:event_ce02_3_06_s_51,False,,12,12,1.0,,,,,,,13,idle,,1,think
event_ce02_3_06_s_52,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_52,True,,12,12,1.0,,,,p12,p12,,13,idle,,1,think
event_ce02_3_06_s_53,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_53,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,angry
event_ce02_3_06_s_54,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_54,True,,12,12,1.0,,,,p12,p12,,13,idle,,1,angry
event_ce02_3_06_s_55,40027,event_ce02_3_06_s,Monologue,Locale_SubScenario:event_ce02_3_06_s_55,False,GateKeeper_Sleep_In,12,6,1.0,,,,,,,13,idle,,1,angry
event_ce02_3_06_s_56,40027,event_ce02_3_06_s,Monologue,Locale_SubScenario:event_ce02_3_06_s_56,False,,6,6,1.0,,,,,,,13,idle,,1,angry
event_ce02_3_06_s_57,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_57,True,Factory,6,12,1.0,,,,p12,p12,,13,idle,,1,angry
event_ce02_3_06_s_58,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_58,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_59,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_59,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_60,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_60,True,,12,130,1.0,,,,p12,p12,,13,idle,,1,think
event_ce02_3_06_s_61,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_61,True,,10,10,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_62,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_62,True,,10,10,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_63,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_63,True,,130,130,1.0,,,,p12,p12,,13,idle,,1,idle
