id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
re_event_ce02_1_03_s_15,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_15,True,,53,53,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_16,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_16,True,,53,53,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_17,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_17,True,,53,53,1.0,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_18,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_18,True,,53,53,1.0,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_19,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_19,True,,53,53,1.0,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_20,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_20,True,,53,53,1.0,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_21,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_21,True,,53,S_50,1.0,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_22,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_22,True,,S_50,S_50,1.0,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_23,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_23,True,,S_50,S_50,1.0,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_24,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_24,True,,S_50,30,1.0,,,,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_25,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_25,True,,30,30,1.0,,,,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_26,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_26,True,,30,30,1.0,,,,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_27,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_27,True,,S_500,S_500,1.0,,,,,1,idle,,3,void,,5,angry,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_28,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_28,True,,S_500,S_500,1.0,,,,,1,idle,,3,void,,5,angry,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_29,40082,re_event_ce02_1_03_s,Narration,,,Locale_SubScenario:event_ce02_1_03_s_29,False,,black,black,1.0,none,,sfx_scn_rapturehowl,,1,idle,,3,void,,5,angry,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_30,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_30,False,,3,30,1.0,,,,,1,idle,,3,angry,,5,angry,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_31,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_31,False,,5,S_50,1.0,,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_32,40082,re_event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_32,True,,1,10,1.0,event_bgm_ce002_field,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_33,40082,re_event_ce02_1_03_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_1_03_s_33,False,,170,170,1.0,,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_34,40082,re_event_ce02_1_03_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_03_s_34,True,,130,130,1.0,,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_35,40082,re_event_ce02_1_03_s,Speech,b0006_02,b0006_02,Locale_SubScenario:event_ce02_1_03_s_35,True,,150,150,1.0,,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_36,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_36,True,,30,30,1.0,,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_37,40082,re_event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_37,True,,10,10,1.0,,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_38,40082,re_event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_38,True,,10,100,1.0,,,,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle
