id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id,fade,highlight,speaker,jump_target
event_brandnewyear_02_s_11,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_11,True,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_12,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_12,False,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_13,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_13,False,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_14,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_14,True,,1,idle,,,,,S_100,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_15,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_15,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_16,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_16,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_17,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_17,False,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_18,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_18,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_19,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_19,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_20,40005,event_brandnewyear_02_s,Choice,Locale_SubScenario:event_brandnewyear_02_s_20,False,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,,event_brandnewyear_02_s_22
event_brandnewyear_02_s_21,40005,event_brandnewyear_02_s,Choice,Locale_SubScenario:event_brandnewyear_02_s_21,False,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,,event_brandnewyear_02_s_25
event_brandnewyear_02_s_22,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_22,True,,1,angry,,,,,S_10,S_100,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_23,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_23,False,,1,angry,,,,,S_100,S_100,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_24,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_24,True,,1,delight,,,,,S_100,S_100,1.0,,,,,,sugar_p,sugar,event_brandnewyear_02_s_26
event_brandnewyear_02_s_25,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_25,True,,1,delight,,,,,S_10,S_100,1.0,,,,,,sugar_p,sugar,event_brandnewyear_02_s_26
event_brandnewyear_02_s_26,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_26,False,,1,delight,,,,,S_100,S_100,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_27,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_27,True,,1,delight,,,,,S_100,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_28,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_28,False,,1,delight,,,,,S_10,S_10,1.0,none,,,,,sugar_p,,
event_brandnewyear_02_s_29,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_29,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_30,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_30,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_31,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_31,True,,1,idle,,,,,S_10,S_10,1.0,bgm_story_herecomestrouble,,,,,sugar_p,sugar,
event_brandnewyear_02_s_32,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_32,False,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_33,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_33,False,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_34,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_34,True,,1,idle,,,,,S_10,1,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_35,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_35,True,,1,idle,,,,,1,1,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_36,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_36,True,,1,idle,,,,,1,1,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_37,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_37,False,,1,idle,,,,,1,1,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_38,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_38,True,,1,idle,,,,,1,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_39,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_39,False,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_40,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_40,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_41,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_41,True,,1,idle,,,,,S_10,1,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_42,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_42,True,,1,idle,,,,,1,1,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_43,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_43,True,,1,idle,,,,,1,1,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_44,40005,event_brandnewyear_02_s,Choice,Locale_SubScenario:event_brandnewyear_02_s_44,False,,1,idle,,,,,1,1,1.0,,,,,,sugar_p,,event_brandnewyear_02_s_46
event_brandnewyear_02_s_45,40005,event_brandnewyear_02_s,Choice,Locale_SubScenario:event_brandnewyear_02_s_45,False,,1,idle,,,,,1,1,1.0,,,,,,sugar_p,,event_brandnewyear_02_s_46
event_brandnewyear_02_s_46,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_46,False,,1,surprise,,,,,1,S_100,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_47,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_47,True,,1,"expression_0,idle",,,,,S_100,S_100,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_48,40005,event_brandnewyear_02_s,Self,Locale_SubScenario:event_brandnewyear_02_s_48,False,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,,
event_brandnewyear_02_s_49,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_49,True,,1,idle,,,,,S_100,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_50,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_50,True,,1,idle,,,,,S_10,S_10,1.0,none,,,,,sugar_p,sugar,
event_brandnewyear_02_s_51,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_51,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
event_brandnewyear_02_s_52,40005,event_brandnewyear_02_s,Speech,Locale_SubScenario:event_brandnewyear_02_s_52,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
