id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_ambient,set_filter_01,set_camera_shake
event_oldtales1_04_s_17,40061,event_oldtales1_04_s,Speech,UNofficer,UNofficer,Locale_MainScenario:event_oldtales1_04_s_17,True,,3,idle_blue,Desert_02,15,15,1.0,,cinderella,ambient_scn_war,Grey,
event_oldtales1_04_s_18,40061,event_oldtales1_04_s,Speech,UNofficer,UNofficer,Locale_MainScenario:event_oldtales1_04_s_18,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_19,40061,event_oldtales1_04_s,Speech,UNofficer,UNofficer,Locale_MainScenario:event_oldtales1_04_s_19,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_20,40061,event_oldtales1_04_s,Speech,UNofficer,UNofficer,Locale_MainScenario:event_oldtales1_04_s_20,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_21,40061,event_oldtales1_04_s,Speech,UNofficer,UNofficer,Locale_MainScenario:event_oldtales1_04_s_21,True,,,,,15,15,1.0,,,,Grey,Low_2
event_oldtales1_04_s_22,40061,event_oldtales1_04_s,Speech,UNofficer,UNofficer,Locale_MainScenario:event_oldtales1_04_s_22,True,,,,,15,15,1.0,,,,Grey,Low_2
event_oldtales1_04_s_23,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_23,True,cinderella,3,idle_blue,CinderellaSky_1,3,3,1.0,,,none,,
event_oldtales1_04_s_24,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_24,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_25,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_25,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_26,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_26,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_27,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_27,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_28,40061,event_oldtales1_04_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_oldtales1_04_s_28,True,,3,idle_blue,Destroyedcity,15,15,1.0,,cinderella,ambient_scn_war,Grey,
event_oldtales1_04_s_29,40061,event_oldtales1_04_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_oldtales1_04_s_29,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_30,40061,event_oldtales1_04_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_oldtales1_04_s_30,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_31,40061,event_oldtales1_04_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_oldtales1_04_s_31,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_32,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_32,True,cinderella,3,idle_blue,CinderellaSky_1,3,3,1.0,,,none,,
event_oldtales1_04_s_33,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_33,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_34,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_34,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_35,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_35,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_36,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_36,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_37,40061,event_oldtales1_04_s,Speech,UNsoldier,UNsoldier,Locale_MainScenario:event_oldtales1_04_s_37,True,,3,idle_blue,DestroyedStreet,15,15,1.0,,cinderella,ambient_scn_warscream,Grey,
event_oldtales1_04_s_38,40061,event_oldtales1_04_s,Speech,UNsoldier,UNsoldier,Locale_MainScenario:event_oldtales1_04_s_38,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_39,40061,event_oldtales1_04_s,Speech,UNsoldier,UNsoldier,Locale_MainScenario:event_oldtales1_04_s_39,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_40,40061,event_oldtales1_04_s,Speech,UNsoldier,UNsoldier,Locale_MainScenario:event_oldtales1_04_s_40,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_41,40061,event_oldtales1_04_s,Speech,UNsoldier,UNsoldier,Locale_MainScenario:event_oldtales1_04_s_41,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_42,40061,event_oldtales1_04_s,Speech,UNsoldier,UNsoldier,Locale_MainScenario:event_oldtales1_04_s_42,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_43,40061,event_oldtales1_04_s,Speech,UNsoldier,UNsoldier,Locale_MainScenario:event_oldtales1_04_s_43,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_44,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_44,True,cinderella,3,surprise_blue,CinderellaSky_1,3,3,1.0,,,none,,
event_oldtales1_04_s_45,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_45,True,,3,surprise_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_46,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_46,True,,3,surprise_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_47,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_47,True,,3,surprise_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_48,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_48,True,,3,surprise_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_49,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_49,True,,3,surprise_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_50,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_50,False,,3,surprise_blue,,3,S_30,1.0,,,,,
event_oldtales1_04_s_51,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_51,True,,3,surprise_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_52,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_52,True,,3,surprise_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_53,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_53,True,,3,surprise_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_54,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_54,True,,3,surprise_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_55,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_55,True,,3,surprise_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_56,40061,event_oldtales1_04_s,Speech,VTChightofficer,VTChightofficer,Locale_MainScenario:event_oldtales1_04_s_56,True,,3,surprise_blue,BriefingRoom,15,15,1.0,,cinderella,,Grey,
event_oldtales1_04_s_57,40061,event_oldtales1_04_s,Speech,VTChightofficer,VTChightofficer,Locale_MainScenario:event_oldtales1_04_s_57,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_58,40061,event_oldtales1_04_s,Speech,VTChightofficer,VTChightofficer,Locale_MainScenario:event_oldtales1_04_s_58,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_59,40061,event_oldtales1_04_s,Speech,VTChightofficer,VTChightofficer,Locale_MainScenario:event_oldtales1_04_s_59,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_60,40061,event_oldtales1_04_s,Speech,VTChightofficer,VTChightofficer,Locale_MainScenario:event_oldtales1_04_s_60,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_61,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_61,False,cinderella,3,idle_blue,CinderellaSky_1,S_30,S_30,1.0,,,ambient_scn_mirrorwall,,
event_oldtales1_04_s_62,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_62,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_63,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_63,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_64,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_64,True,,3,angry_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_65,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_65,True,,3,angry_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_66,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_66,True,,3,angry_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_67,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_67,True,,3,angry_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_68,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_68,True,,3,angry_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_69,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_69,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_70,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_70,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_71,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_71,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_72,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_72,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_73,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_73,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_74,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_74,True,,3,idle_blue,,S_30,S_30,1.0,,,,,
event_oldtales1_04_s_75,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_75,True,,3,idle_blue,,S_30,S_300,1.0,,,none,,
