id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
event_boomtheghost1_06_e_38,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_38,True,,1,smile,,,,,,,,100,100,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_39,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_39,True,,1,smile,,,,,,,,100,10,1.0,bgm_story_brokenwings,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_40,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_40,True,,1,smile,,,,,,,,10,10,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_41,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_41,True,,1,smile,,,,,,,EventScene_boomtheghost_02_1,black,black,1.0,,,dorothy_s,dorothy_s,,,,dorothy_s,,,,
event_boomtheghost1_06_e_42,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_42,True,,,,,,,,,,,1,1,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_43,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_43,True,,,,,,,,,,,1,1,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_44,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_44,True,,,,,,,,,,,1,1,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_45,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_45,True,,,,,,,,,,,1,1,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_46,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_46,True,,,,,,,,,,EventScene_boomtheghost_02_2,1,1,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_47,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_47,True,,,,,,,,,,,1,1,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_48,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_48,True,,,,,,,,,,,1,100,1.0,,,dorothy_s,dorothy_s,,,,,,,,
event_boomtheghost1_06_e_49,40084,event_boomtheghost1_06_e,Narration,Locale_MainScenario:event_boomtheghost1_06_e_49,False,,,,,,,,,,,black,black,1.0,,,,,,,,,,,,
