id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,fade,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
snowfall_episode_emma_03_40,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_43,False,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_41,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_44,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_42,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_45,False,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_43,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_46,True,,1,delight,,10,1,1.0,,,,,,,,,
snowfall_episode_emma_03_44,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_47,False,,1,idle,,black,black,1.0,,,,,,,,,
snowfall_episode_emma_03_45,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_48,True,,1,worry,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_46,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_49,True,,1,worry,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_47,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_50,True,,1,worry,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_48,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_51,False,,1,worry,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_49,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_52,True,,1,surprise,,1,10,1.0,,,,,,,,,
snowfall_episode_emma_03_50,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_53,False,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_51,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_54,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_52,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_55,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_53,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_56,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_54,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_57,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_55,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_58,False,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_56,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_59,True,,1,surprise,,10,100,1.0,,,,,,,,,
snowfall_episode_emma_03_57,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_60,False,,1,surprise,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_58,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_61,False,,1,surprise,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_59,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_62,False,,1,surprise,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_60,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_63,True,,1,delight,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_61,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_64,True,,1,idle,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_62,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_65,True,,1,idle,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_63,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_66,False,,1,idle,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_64,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_67,False,,1,idle,,black,black,1.0,,,,black,,,,,
snowfall_episode_emma_03_65,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_68,True,,1,idle,,100,10,1.0,,,,,,,,,
snowfall_episode_emma_03_66,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_69,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_67,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_70,False,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_68,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_71,False,,1,idle,,black,black,1.0,,,,,,,,,
snowfall_episode_emma_03_69,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_72,True,,1,surprise,,1,10,0.5,,,,,,,,,
snowfall_episode_emma_03_70,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_73,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_71,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_74,False,,1,idle,,10,10,1.0,,none,,,,,,,
snowfall_episode_emma_03_72,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_75,False,,1,idle,,10,10,1.0,,,,,Low_2,,,,
snowfall_episode_emma_03_73,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_76,False,,1,idle,,10,10,1.0,,bgm_story_herecomestrouble,,,,,,,
snowfall_episode_emma_03_74,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_77,False,,1,idle,,10,10,1.0,,,,,Low_2,,,,
snowfall_episode_emma_03_75,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_78,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_76,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_79,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_77,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_80,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_78,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_81,True,,1,delight,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_79,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_82,False,,1,delight,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_80,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_83,False,,1,delight,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_81,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_84,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_82,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_85,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_83,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_86,False,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_84,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_87,True,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_85,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_88,True,,1,special,,10,100,1.0,,,,,,,,,
snowfall_episode_emma_03_86,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_89,True,,1,special,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_87,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_90,False,,1,special,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_88,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_91,True,,1,special,,100,100,1.0,,,,,,,,,
snowfall_episode_emma_03_89,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_92,True,,1,special,,100,10,1.0,,,,,,,,,
snowfall_episode_emma_03_90,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_93,True,,1,special,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_91,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_94,False,,1,idle,,10,1,1.0,,,,,,,,,
snowfall_episode_emma_03_92,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_95,False,,1,idle,WaterFall_d,1,1,1.0,amb_so_waterfall_3,event_bgm_neverland_snowflakes_day,,black,,,,,
snowfall_episode_emma_03_93,80903,snowfall_episode_emma_03,Narration,,Narration,Locale_SubScenario:snowfall_episode_emma_03_96,False,,1,idle,,1,17,1.0,,,sfx_scn_waterfall,,,,,,
snowfall_episode_emma_03_94,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_97,False,,1,idle,,17,17,1.0,,,,,,,,,
snowfall_episode_emma_03_95,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_98,True,,1,delight,,17,1,1.0,,,,,,,,,
snowfall_episode_emma_03_96,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_99,False,,1,delight,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_97,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_100,False,,1,delight,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_98,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_101,True,,1,idle,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_99,80903,snowfall_episode_emma_03,Speech,unknown,unknown,Locale_SubScenario:snowfall_episode_emma_03_102,True,,1,idle,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_100,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_103,False,,1,surprise,,1,1,1.0,,,,,Low_2,,,,
snowfall_episode_emma_03_101,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_104,False,,1,surprise,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_102,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_105,False,,1,surprise,,black,black,1.0,,,,,,,,,
snowfall_episode_emma_03_103,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_106,False,,1,surprise,,2,2,1.0,,,,,,lumi_01,3,idle,
snowfall_episode_emma_03_104,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_107,False,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_105,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_108,True,,1,idle,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_106,80903,snowfall_episode_emma_03,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_emma_03_109,False,,1,idle,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_107,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_110,False,,1,idle,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_108,80903,snowfall_episode_emma_03,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_emma_03_111,True,,1,idle,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_109,80903,snowfall_episode_emma_03,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_emma_03_112,True,,1,idle,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_110,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_113,False,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_111,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_114,False,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_112,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_115,True,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_113,80903,snowfall_episode_emma_03,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_emma_03_116,True,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_114,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_117,False,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_115,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_118,False,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_116,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_119,True,,1,idle,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_117,80903,snowfall_episode_emma_03,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_episode_emma_03_120,True,,1,idle,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_118,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_121,True,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_119,80903,snowfall_episode_emma_03,Narration,,Narration,Locale_SubScenario:snowfall_episode_emma_03_122,False,,1,surprise,,2,2,1.0,,,,,,,3,idle,
snowfall_episode_emma_03_120,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_123,False,,1,surprise,,2,2,1.0,,,,,,,3,idle,lumi_01
snowfall_episode_emma_03_121,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_124,True,,1,surprise,,2,10,1.0,,,,,,,,,
snowfall_episode_emma_03_122,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_125,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_123,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_126,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_124,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_127,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_125,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_128,False,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_126,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_129,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_127,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_130,False,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_128,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_131,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_129,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_132,False,,1,idle,,black,black,1.0,,,,,,,,,
