id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_ambient,play_sound
event_beautyfullshot2_02_e_29,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_29,True,,sandcastle_03,sandcastle_03,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_30,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_30,True,,sandcastle_03,sandcastle_03,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_31,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_31,True,,sandcastle_03,sandcastle_02,2.0,,,,,,,,,,
event_beautyfullshot2_02_e_32,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_32,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_33,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_33,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_34,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_34,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_35,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_35,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_36,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_36,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_37,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_37,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_38,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_38,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_39,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_39,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_40,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_40,True,,sandcastle_02,sandcastle_03,1.5,,,,,,,,,,
event_beautyfullshot2_02_e_41,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_41,True,,sandcastle_03,sandcastle_03,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_42,40052,event_beautyfullshot2_02_e,Narration,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_42,False,,black,black,1.0,,,,,,,,,,sfx_scn_wavebreak
event_beautyfullshot2_02_e_43,40052,event_beautyfullshot2_02_e,Narration,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_43,False,BeachCave_n,black,black,1.0,,,,,sakura_s,1,smile,,,
event_beautyfullshot2_02_e_44,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_44,False,,1,1,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_45,40052,event_beautyfullshot2_02_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_45,False,,1,1,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_46,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_46,True,,1,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_47,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_47,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_48,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_48,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_49,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_49,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_50,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_50,True,,10,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_51,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_51,True,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_52,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_52,True,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_53,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_53,True,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_54,40052,event_beautyfullshot2_02_e,Monologue,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_54,False,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_55,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_55,True,,100,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_56,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_56,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_57,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_57,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_58,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_58,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_59,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_59,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_60,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_60,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_61,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_61,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_62,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_62,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_63,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_63,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_64,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_64,True,,10,10,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_65,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_65,True,,10,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_66,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_66,True,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_67,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_67,False,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_68,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_68,True,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_69,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_69,False,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_70,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_70,True,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_71,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_71,True,,100,100,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_72,40052,event_beautyfullshot2_02_e,Monologue,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_72,False,,black,black,1.0,,,,,,1,smile,,,
event_beautyfullshot2_02_e_73,40052,event_beautyfullshot2_02_e,Monologue,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_73,False,,black,black,1.0,,,,,,1,smile,,,
