id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_perfectmaid_05_s_47,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_47,False,,black,black,1.0,,,,,,,,1,idle,,,
event_perfectmaid_05_s_48,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_48,True,,10,100,0.6,,,,,,,,1,no,,,
event_perfectmaid_05_s_49,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_49,True,,100,100,1.0,,,,,,,,1,no,,,
event_perfectmaid_05_s_50,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_50,True,,100,100,1.0,,,,,,,,1,no,,,
event_perfectmaid_05_s_51,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_51,False,,100,100,1.0,,,,,,,,1,no,,,
event_perfectmaid_05_s_52,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_52,True,,100,10,0.6,,,,,,,,1,surprise,,,
event_perfectmaid_05_s_53,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_53,True,,10,10,1.0,,,,,,,,1,surprise,,,
event_perfectmaid_05_s_54,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_54,False,,10,10,1.0,,,,,,,,1,surprise,,,
event_perfectmaid_05_s_55,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_55,False,,10,10,1.0,,,,,,,,1,surprise,,,
event_perfectmaid_05_s_56,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_56,True,,10,100,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_57,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_57,False,,100,S_100,1.0,,,Low_2,Blur_Middle,,,,1,sad2,,,
event_perfectmaid_05_s_58,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_58,False,,S_100,S_100,1.0,,,,Blur_Low,,,,1,sad2,,,
event_perfectmaid_05_s_59,40039,event_perfectmaid_05_s,Narration,,,Locale_SubScenario:event_perfectmaid_05_s_59,False,,1,1,1.0,none,,,,,black,,1,sad2,,,
event_perfectmaid_05_s_60,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_60,True,,1,1,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_61,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_61,False,,1,1,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_62,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_62,True,,1,1,1.0,,,,,,,,1,sad,,,
event_perfectmaid_05_s_63,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_63,False,,1,1,1.0,,,,,,,,1,sad,,,
event_perfectmaid_05_s_64,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_64,True,,1,10,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_65,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_65,True,,10,10,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_66,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_66,False,,10,10,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_67,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_67,True,,10,10,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_68,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_68,True,,100,100,1.0,,,,,,,,1,sad,,,
event_perfectmaid_05_s_69,40039,event_perfectmaid_05_s,Narration,privaty_m,,Locale_SubScenario:event_perfectmaid_05_s_69,False,,100,100,1.0,,sfx_scn_knock,,,,,,1,sad,,,
event_perfectmaid_05_s_70,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_70,False,,100,12,1.0,bgm_story_impression,,,,,,,1,surprise,ade,13,delight
event_perfectmaid_05_s_71,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_71,True,,12,12,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_72,40039,event_perfectmaid_05_s,Self,ade,,Locale_SubScenario:event_perfectmaid_05_s_72,False,,12,12,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_73,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_73,True,,12,12,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_74,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_74,True,,12,12,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_75,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_75,True,,12,130,1.0,,,,,,,,1,surprise,,13,idle
event_perfectmaid_05_s_76,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_76,True,,130,130,1.0,,,,,,,,1,surprise,,13,idle
event_perfectmaid_05_s_77,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_77,True,,130,130,1.0,,,,,,,,1,surprise,,13,idle
event_perfectmaid_05_s_78,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_78,True,,130,130,1.0,,,,,,,,1,surprise,,13,idle
event_perfectmaid_05_s_79,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_79,True,,130,130,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_80,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_80,True,,130,130,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_81,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_81,False,,10,100,0.6,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_82,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_82,True,,100,100,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_83,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_83,True,,100,100,1.0,,,,,,,,1,surprise,,13,delight
event_perfectmaid_05_s_84,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_84,True,,100,12,1.0,,,,,,,,1,idle,,13,delight
event_perfectmaid_05_s_85,40039,event_perfectmaid_05_s,Self,privaty_m,,Locale_SubScenario:event_perfectmaid_05_s_85,False,,12,12,1.0,,,,,,,,1,idle,,13,delight
event_perfectmaid_05_s_86,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_86,True,,12,12,1.0,,,,,,,,1,idle,,13,idle
event_perfectmaid_05_s_87,40039,event_perfectmaid_05_s,Speech,ade,ade,Locale_SubScenario:event_perfectmaid_05_s_87,True,,12,12,1.0,,,,,,,,1,idle,,13,idle
