id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/7/hide_char_id,characters/8/hide_char_id,characters/9/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
event_newyearnewsword_prologue_37,40036,event_newyearnewsword_prologue,Speech,neon,neon,Locale_SubScenario:event_newyearnewsword_prologue_37,False,,15,smile,,150,150,1.0,,,,3,angry,,1,angry,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_38,40036,event_newyearnewsword_prologue,Speech,anis,anis,Locale_SubScenario:event_newyearnewsword_prologue_38,False,,15,smile,,150,150,1.0,,,,3,angry,,1,angry,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_39,40036,event_newyearnewsword_prologue,Monologue,anis,,Locale_SubScenario:event_newyearnewsword_prologue_39,False,,15,idle,,150,15,2.0,,,,3,angry,,1,think,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_40,40036,event_newyearnewsword_prologue,Speech,anis,anis,Locale_SubScenario:event_newyearnewsword_prologue_40,True,,15,idle,,30,30,1.0,,,,3,angry,,1,think,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_41,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_41,True,,15,idle,,150,150,1.0,,,,3,angry,,1,think,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_42,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_42,True,,15,smile,,150,1500,0.5,,,,3,angry,,1,think,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_43,40036,event_newyearnewsword_prologue,Speech,rapi,rapi,Locale_SubScenario:event_newyearnewsword_prologue_43,True,,15,smile,,2,2,1.0,,,,3,angry,,1,idle,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_44,40036,event_newyearnewsword_prologue,Speech,anis,anis,Locale_SubScenario:event_newyearnewsword_prologue_44,True,,15,smile,,2,2,1.0,,,,3,angry,,1,idle,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_45,40036,event_newyearnewsword_prologue,Speech,anis,anis,Locale_SubScenario:event_newyearnewsword_prologue_45,True,,15,smile,,2,2,1.0,,,,3,sad,,1,idle,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_46,40036,event_newyearnewsword_prologue,Speech,anis,anis,Locale_SubScenario:event_newyearnewsword_prologue_46,True,,15,smile,,2,2,1.0,,,,3,angry,,1,idle,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_47,40036,event_newyearnewsword_prologue,Speech,neon,neon,Locale_SubScenario:event_newyearnewsword_prologue_47,True,,15,smile,,2,12,1.0,,,,3,angry,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_48,40036,event_newyearnewsword_prologue,Monologue,,,Locale_SubScenario:event_newyearnewsword_prologue_48,False,,15,smile,,12,12,1.0,,,,3,angry,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_49,40036,event_newyearnewsword_prologue,Self,,,Locale_SubScenario:event_newyearnewsword_prologue_49,False,,15,smile,,12,12,1.0,,,,3,angry,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_50,40036,event_newyearnewsword_prologue,Monologue,,,Locale_SubScenario:event_newyearnewsword_prologue_50,False,,15,smile,,black,black,1.0,none,noise_w,,3,angry,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_51,40036,event_newyearnewsword_prologue,Self,,,Locale_SubScenario:event_newyearnewsword_prologue_51,False,,,,GoddessOfVictory_n,1,1,1.0,ambient_scn_wind,,,3,angry,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,anis,rapi,neon,black
event_newyearnewsword_prologue_52,40036,event_newyearnewsword_prologue,Monologue,,,Locale_SubScenario:event_newyearnewsword_prologue_52,False,,,,,3,15,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_53,40036,event_newyearnewsword_prologue,Monologue,,,Locale_SubScenario:event_newyearnewsword_prologue_53,False,,,,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_54,40036,event_newyearnewsword_prologue,Monologue,,,Locale_SubScenario:event_newyearnewsword_prologue_54,False,,,,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_55,40036,event_newyearnewsword_prologue,Speech,unknown,unknown,Locale_SubScenario:event_newyearnewsword_prologue_55,True,,,,,15,15,1.0,bgm_story_inwonderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_56,40036,event_newyearnewsword_prologue,Speech,unknown,unknown,Locale_SubScenario:event_newyearnewsword_prologue_56,True,,,,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_57,40036,event_newyearnewsword_prologue,Self,,,Locale_SubScenario:event_newyearnewsword_prologue_57,False,,,,,15,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_58,40036,event_newyearnewsword_prologue,Self,,,Locale_SubScenario:event_newyearnewsword_prologue_58,False,,,,,1,1,1.0,,,,,,hongryeon,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_59,40036,event_newyearnewsword_prologue,Speech,hongryeon,hongryeon,Locale_SubScenario:event_newyearnewsword_prologue_59,True,,,,,1,10,1.0,,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_60,40036,event_newyearnewsword_prologue,Speech,hongryeon,hongryeon,Locale_SubScenario:event_newyearnewsword_prologue_60,True,,,,,10,10,1.0,,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
