id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id
event_overzone2_06_s_27,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_27,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,pinne,pinne,,
event_overzone2_06_s_28,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_28,True,,,,,,,,dorothypinne_01,dorothypinne_04,3.0,,dorothy,dorothy,,
event_overzone2_06_s_29,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_29,True,,,,,,,,dorothypinne_04,dorothypinne_04,1.0,,pinne,pinne,,
event_overzone2_06_s_30,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_30,True,,,,,,,,dorothypinne_04,dorothypinne_03,2.0,,dorothy,dorothy,,
event_overzone2_06_s_31,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_31,True,,,,,,,,dorothypinne_03,dorothypinne_03,1.0,,dorothy,dorothy,,
event_overzone2_06_s_32,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_32,True,,,,,,,,dorothypinne_03,dorothypinne_02,2.0,,pinne,pinne,,
event_overzone2_06_s_33,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_33,True,,,,,,,,dorothypinne_02,dorothypinne_02,1.0,,dorothy,dorothy,,
event_overzone2_06_s_34,80304,event_overzone2_06_s,Narration,Locale_MainScenario:event_overzone2_06_s_34,False,,,,,,,,black,black,1.0,,,,,
event_overzone2_06_s_35,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_35,True,,,,,,,,dorothypinne_04,dorothypinne_01,3.0,,pinne,pinne,,
event_overzone2_06_s_36,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_36,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,dorothy,dorothy,,
event_overzone2_06_s_37,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_37,True,,,,,,,,dorothypinne_01,dorothypinne_03,3.0,,dorothy,dorothy,,
event_overzone2_06_s_38,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_38,True,,,,,,,,dorothypinne_03,dorothypinne_03,1.0,,dorothy,dorothy,,
event_overzone2_06_s_39,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_39,False,,,,,,,,dorothypinne_03,dorothypinne_03,1.0,,dorothy,dorothy,,
event_overzone2_06_s_40,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_40,True,,,,,,,,dorothypinne_03,dorothypinne_03,1.0,,dorothy,dorothy,,
event_overzone2_06_s_41,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_41,True,,,,,,,,dorothypinne_03,dorothypinne_01,3.0,,pinne,pinne,,
event_overzone2_06_s_42,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_42,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,dorothy,dorothy,,
event_overzone2_06_s_43,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_43,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,dorothy,dorothy,,
event_overzone2_06_s_44,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_44,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,dorothy,dorothy,,
event_overzone2_06_s_45,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_45,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,dorothy,dorothy,,
event_overzone2_06_s_46,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_46,True,,,,,,,,dorothypinne_01,dorothypinne_04,2.0,,pinne,pinne,,
event_overzone2_06_s_47,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_47,True,,,,,,,,dorothypinne_04,dorothypinne_04,1.0,,dorothy,dorothy,,
event_overzone2_06_s_48,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_48,True,,,,,,,,dorothypinne_04,dorothypinne_04,1.0,,dorothy,dorothy,,
event_overzone2_06_s_49,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_49,True,,,,,,,EventScene_OverZone_08_1,black,black,1.0,,dorothy,dorothy,,
event_overzone2_06_s_50,80304,event_overzone2_06_s,Narration,Locale_MainScenario:event_overzone2_06_s_50,False,,,,,,,,dorothyseongmyo_01,dorothyseongmyo_01,1.0,none,,,,
event_overzone2_06_s_51,80304,event_overzone2_06_s,Narration,Locale_MainScenario:event_overzone2_06_s_51,False,,,,,,,,dorothyseongmyo_01,dorothyseongmyo_01,1.0,,,,,
event_overzone2_06_s_52,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_52,True,,,,,,,,dorothyseongmyo_01,dorothyseongmyo_01,1.0,,dorothy,dorothy,,
event_overzone2_06_s_53,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_53,True,,,,,,,,dorothyseongmyo_01,dorothyseongmyo_02,3.0,,dorothy,dorothy,,
event_overzone2_06_s_54,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_54,True,,,,,,,,dorothyseongmyo_02,dorothyseongmyo_02,1.0,,dorothy,dorothy,,
event_overzone2_06_s_55,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_55,True,,,,,,,,dorothyseongmyo_02,dorothyseongmyo_02,1.0,,dorothy,dorothy,,
event_overzone2_06_s_56,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_56,True,dorothy,1,pain,,,,EventScene_OverZone_08_2,black,black,1.0,,dorothy,dorothy,,
event_overzone2_06_s_57,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_57,True,,1,pain,,,,,10,10,1.0,,dorothy,dorothy,,
event_overzone2_06_s_58,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_58,True,,1,sad,,,,,10,100,2.0,,dorothy,dorothy,,
event_overzone2_06_s_59,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_59,True,,1,sad,,,,,100,100,1.0,,dorothy,dorothy,,
event_overzone2_06_s_60,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_60,True,,1,sad,,,,,100,100,1.0,,dorothy,dorothy,,
event_overzone2_06_s_61,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_61,True,,1,sad,,,,,100,10,2.0,,dorothy,dorothy,,
