id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/0/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_ce02_1_04_s_20,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_20,True,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_21,40026,event_ce02_1_04_s,Self,,,Locale_SubScenario:event_ce02_1_04_s_21,False,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_22,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_22,True,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_23,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_23,True,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_24,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_24,True,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,sfx_scn_distantshots,,,,,,,,
event_ce02_1_04_s_25,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_25,True,,1,idle,,3,worry,,5,idle,,13,idle,,30,300,1.0,,,,,,,,,,
event_ce02_1_04_s_26,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_26,True,,1,idle,,3,worry,,5,idle,,13,idle,,300,300,1.0,,,,,,,,,,
event_ce02_1_04_s_27,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_27,True,,1,idle,,3,worry,,5,idle,,13,idle,,300,300,1.0,,sfx_scn_distantshots,,,,,,,,
event_ce02_1_04_s_28,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_28,True,,1,idle,,3,worry,,5,idle,,13,idle,,300,300,1.0,,,,,,,,,,
event_ce02_1_04_s_29,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_29,True,,1,idle,,3,worry,,5,idle,,13,idle,,300,30,1.0,,,,,,,,,,
event_ce02_1_04_s_30,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_30,True,,1,idle,,3,worry,,5,idle,,13,idle,,30,30,1.0,,sfx_scn_distantshots,,,,,,,,
event_ce02_1_04_s_31,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_31,True,,1,idle,,3,worry,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_32,40026,event_ce02_1_04_s,Self,,,Locale_SubScenario:event_ce02_1_04_s_32,False,,1,idle,,3,worry,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_33,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_33,True,,1,idle,,3,idle,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_34,40026,event_ce02_1_04_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_04_s_34,True,,1,idle,,3,worry,,5,delight,,13,idle,,30,53,1.0,,,,,,,,,,
event_ce02_1_04_s_35,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_35,True,,1,idle,,3,worry,,5,delight,,13,idle,,53,53,1.0,,,,,,,,,,
event_ce02_1_04_s_36,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_36,True,,1,idle,,3,worry,,5,idle,,13,idle,,53,30,1.0,,,,,,,,,,
event_ce02_1_04_s_37,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_37,True,,1,idle,,3,worry,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_38,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_38,True,,1,idle,,3,worry,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_39,40026,event_ce02_1_04_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_04_s_39,True,,1,idle,,3,worry,,5,idle,,13,idle,,S_50,S_50,1.0,,,,,,,,,,
event_ce02_1_04_s_40,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_40,True,,1,idle,,3,worry,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_41,40026,event_ce02_1_04_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_04_s_41,True,,1,idle,,3,worry,,5,idle,,13,idle,,10,130,1.0,,,,,,,,,,
event_ce02_1_04_s_42,40026,event_ce02_1_04_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_04_s_42,True,,1,idle,,3,worry,,5,idle,,13,idle,,130,130,1.0,,,,,,,,,,
event_ce02_1_04_s_43,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_43,True,,1,idle,,3,worry,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_44,40026,event_ce02_1_04_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_04_s_44,True,,1,idle,,3,worry,,5,idle,,13,idle,,130,130,1.0,,,,,,,,,,
event_ce02_1_04_s_45,40026,event_ce02_1_04_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_04_s_45,True,,1,idle,,3,worry,,5,idle,,13,idle,,130,130,1.0,,,,,,,,,,
event_ce02_1_04_s_46,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_46,True,,1,idle,,3,idle,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_47,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_47,True,,1,idle,,3,idle,,5,idle,,13,idle,,30,10,1.0,,,,,,,,,,
event_ce02_1_04_s_48,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_48,True,,1,idle,,3,idle,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_49,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_49,True,,1,idle,,3,idle,,5,idle,,13,idle,,10,100,1.0,,,,,,,,,,
event_ce02_1_04_s_50,40026,event_ce02_1_04_s,Monologue,,,Locale_SubScenario:event_ce02_1_04_s_50,False,,1,idle,,3,idle,,5,idle,,13,idle,,100,100,1.0,,,,,,,,,,
event_ce02_1_04_s_51,40026,event_ce02_1_04_s,Self,,,Locale_SubScenario:event_ce02_1_04_s_51,False,,1,idle,,3,idle,,5,idle,,13,idle,,100,100,1.0,,,,,,,,,,
event_ce02_1_04_s_52,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_52,False,,1,idle,,3,idle,,5,idle,,13,idle,,100,100,1.0,,,,,,,,,,
event_ce02_1_04_s_53,40026,event_ce02_1_04_s,Monologue,,,Locale_SubScenario:event_ce02_1_04_s_53,False,,1,idle,,3,idle,,5,idle,,13,idle,,100,100,1.0,,,,,,,,,,
event_ce02_1_04_s_54,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_54,True,,1,idle,,3,idle,,5,idle,,13,idle,,100,10,1.0,,,,,,,,,,
event_ce02_1_04_s_55,40026,event_ce02_1_04_s,Self,,,Locale_SubScenario:event_ce02_1_04_s_55,False,,1,idle,,3,idle,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_56,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_56,True,,1,idle,,3,idle,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_57,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_57,False,,1,idle,,3,idle,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_58,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_58,True,,1,idle,,3,idle,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_59,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_59,False,,1,idle,,3,idle,,5,idle,,13,idle,,10,53,1.0,,,,,,,,,,
event_ce02_1_04_s_60,40026,event_ce02_1_04_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_04_s_60,False,,1,idle,,3,idle,,5,idle,,13,idle,,53,53,1.0,,,,,,,,,,
event_ce02_1_04_s_61,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_61,True,,1,idle,,3,idle,,5,idle,,13,idle,,53,1,1.0,,,,,,,,,,
event_ce02_1_04_s_62,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_62,True,,1,idle,,3,idle,,5,idle,,13,idle,,1,1,1.0,,,,,,,,,,
event_ce02_1_04_s_63,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_63,True,,1,idle,,3,void,,5,idle,,13,idle,,1,53,1.0,,,,,,,,,,
event_ce02_1_04_s_64,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_64,True,,1,idle,,3,void,,5,idle,,13,idle,,53,53,1.0,,,,,,,,,,
event_ce02_1_04_s_65,40026,event_ce02_1_04_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_04_s_65,True,,1,idle,,3,void,,5,idle,,13,idle,,53,53,1.0,,,,,,,,,,
event_ce02_1_04_s_66,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_66,True,,1,idle,,3,void,,5,idle,,13,idle,,53,1,1.0,,,,,,,,,,
event_ce02_1_04_s_67,40026,event_ce02_1_04_s,Self,,,Locale_SubScenario:event_ce02_1_04_s_67,False,,1,idle,,3,void,,5,idle,,13,idle,,1,1,1.0,,,,,,,,,,
event_ce02_1_04_s_68,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_68,True,,1,idle,,3,void,,5,idle,,13,idle,,1,10,1.0,,,,,,,,,,
event_ce02_1_04_s_69,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_69,True,,1,idle,,3,void,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_70,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_70,False,,1,idle,,3,void,,5,idle,,13,idle,,black,black,1.0,,sfx_scn_rustydooropen,,,,,,,,
event_ce02_1_04_s_71,40026,event_ce02_1_04_s,Monologue,,,Locale_SubScenario:event_ce02_1_04_s_71,False,,1,idle,,3,void,,5,idle,,13,idle,,black,black,1.0,,,,anis,neon,c1002_02,,,,
event_ce02_1_04_s_72,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_72,False,,1,idle,,,,,,,,,,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_73,40026,event_ce02_1_04_s,Monologue,,,Locale_SubScenario:event_ce02_1_04_s_73,False,,1,idle,,,,,,,,,,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_74,40026,event_ce02_1_04_s,Monologue,,,Locale_SubScenario:event_ce02_1_04_s_74,False,,1,idle,,,,,,,,,,,10,1,1.0,,,,,,,rapi,,,
event_ce02_1_04_s_75,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_75,False,,,,,,,,,,ce_02_01,15,idle,,1,1,1.0,,,,,,,,ce_02_npc_01,17,idle
event_ce02_1_04_s_76,40026,event_ce02_1_04_s,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_1_04_s_76,False,,,,,,,,,,,15,idle,,1,1517,2.0,,,,,,,,,17,idle
event_ce02_1_04_s_77,40026,event_ce02_1_04_s,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_1_04_s_77,True,,,,,,,,,,,15,idle,,1517,1517,1.0,,,,,,,,,17,idle
event_ce02_1_04_s_78,40026,event_ce02_1_04_s,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_1_04_s_78,True,,,,,,,,,,,15,idle,,1517,1517,1.0,,,,,,,,,17,idle
event_ce02_1_04_s_79,40026,event_ce02_1_04_s,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_1_04_s_79,True,,,,,,,,,,,15,idle,,1517,1517,1.0,,,,,,,,,17,idle
