id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_cherryblossom_06_s_29,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_29,False,,10,10,1.0,,,,event_cherryblossom_06_s_33,sakura,1,surprise
event_cherryblossom_06_s_30,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_30,True,,10,10,1.0,,sakura,sakura,,sakura,1,surprise
event_cherryblossom_06_s_31,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_31,True,,10,10,1.0,,sakura,sakura,,sakura,1,surprise
event_cherryblossom_06_s_32,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_32,False,,10,10,1.0,,,,event_cherryblossom_06_s_33,sakura,1,surprise
event_cherryblossom_06_s_33,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_33,False,,10,10,1.0,,,,,sakura,1,surprise
event_cherryblossom_06_s_34,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_34,True,,10,10,1.0,,sakura,sakura,,sakura,1,surprise
event_cherryblossom_06_s_35,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_35,True,,10,10,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_36,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_36,False,,10,100,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_37,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_37,False,,100,100,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_38,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_38,True,,100,100,1.0,,sakura,sakura,,sakura,1,shy
event_cherryblossom_06_s_39,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_39,True,,100,100,1.0,,sakura,sakura,,sakura,1,shy
event_cherryblossom_06_s_40,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_40,True,,100,100,1.0,,sakura,sakura,,sakura,1,shy
event_cherryblossom_06_s_41,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_41,False,,100,100,1.0,,,,,sakura,1,shy
event_cherryblossom_06_s_42,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_42,False,,100,100,1.0,,,,,sakura,1,shy
event_cherryblossom_06_s_43,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_43,True,,100,100,1.0,,sakura,sakura,,sakura,1,shy
event_cherryblossom_06_s_44,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_44,False,,100,100,1.0,,,,,sakura,1,shy
event_cherryblossom_06_s_45,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_45,True,,100,100,1.0,,sakura,sakura,,sakura,1,delight
event_cherryblossom_06_s_46,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_46,False,,100,100,1.0,,,,,sakura,1,delight
event_cherryblossom_06_s_47,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_47,False,,100,100,1.0,,,,,sakura,1,delight
