id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight
d_ex_seayouagain_05_11,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_11,True,,5,idle,,3,idle,,1,idle,,1,1,1.0,,,,neon_s
d_ex_seayouagain_05_12,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_12,True,,5,idle,,3,idle,,1,idle,,1,1,1.0,,,,neon_s
d_ex_seayouagain_05_13,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_13,True,,5,idle,,3,angry,,1,idle,,1,2,1.0,,,,anis_s
d_ex_seayouagain_05_14,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_14,True,,5,idle,,3,angry,,1,no,,2,2,1.0,,,,neon_s
d_ex_seayouagain_05_15,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_15,True,,5,idle,,3,angry,,1,no,,2,2,1.0,,,,neon_s
d_ex_seayouagain_05_16,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_16,True,,5,idle,,3,angry,,1,no,,2,3,1.0,,,,anis_s
d_ex_seayouagain_05_17,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_17,True,,5,idle,,3,angry,,1,idle,,3,XS_30,0.7,,,,anis_s
d_ex_seayouagain_05_18,80600,d_ex_seayouagain_05,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_05_18,False,,5,idle,,3,angry,,1,idle,,17,17,1.0,sfx_scn_bigwavebreak,,Low_2,
d_ex_seayouagain_05_19,80600,d_ex_seayouagain_05,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_05_19,False,,5,idle,,3,idle,,1,worry,,17,17,1.0,sfx_scn_wavebreak,,,
d_ex_seayouagain_05_20,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_20,True,,5,idle,,3,worry,,1,worry,,3,XS_30,0.5,,,Low_2,anis_s
d_ex_seayouagain_05_21,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_21,False,,5,think,,3,worry,,1,worry,,5,50,1.0,,,,rapi_s
d_ex_seayouagain_05_22,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_22,False,,5,think,,3,worry,,1,worry,,1,XS_10,1.0,,,,neon_s
d_ex_seayouagain_05_23,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_23,False,,5,idle,,3,worry,,1,worry,,17,17,1.0,,,,
d_ex_seayouagain_05_24,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_24,False,,5,idle,,3,worry,,1,idle,,17,17,1.0,,,,
d_ex_seayouagain_05_25,80600,d_ex_seayouagain_05,Self,Self,Locale_SuddenStory:d_ex_seayouagain_05_25,False,,5,idle,,3,idle,,1,idle,,17,17,1.0,,,,
d_ex_seayouagain_05_26,80600,d_ex_seayouagain_05,Self,Self,Locale_SuddenStory:d_ex_seayouagain_05_26,False,,5,idle,,3,idle,,1,idle,,17,17,1.0,,,,
d_ex_seayouagain_05_27,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_27,True,,5,idle,,3,idle,,1,idle,,5,5,1.0,,,,rapi_s
d_ex_seayouagain_05_28,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_28,True,,5,idle,,3,idle,,1,idle,,5,5,1.0,,,,rapi_s
d_ex_seayouagain_05_29,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_29,True,,5,idle,,3,idle,,1,idle,,5,5,1.0,,,,rapi_s
d_ex_seayouagain_05_30,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_30,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,
d_ex_seayouagain_05_31,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_31,True,,5,idle,,3,idle,,1,angry,,1,1,1.0,,,,neon_s
d_ex_seayouagain_05_32,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_32,True,,5,idle,,3,idle,,1,angry,,1,XS_10,1.0,,,,neon_s
d_ex_seayouagain_05_33,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_33,True,,5,idle,,3,idle,,1,no,,XS_10,XS_10,1.0,,,,neon_s
d_ex_seayouagain_05_34,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_34,True,,5,idle,,3,idle,,1,no,,XS_10,XS_10,1.0,,,,neon_s
d_ex_seayouagain_05_35,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_35,True,,5,idle,,3,idle,,1,no,,XS_10,XS_10,1.0,,,,neon_s
d_ex_seayouagain_05_36,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_36,False,,5,think,,3,idle,,1,no,,black,black,1.0,,,,
d_ex_seayouagain_05_37,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_37,True,,5,think,,3,idle,,1,no,,5,5,1.0,,,,rapi_s
d_ex_seayouagain_05_38,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_38,True,,5,think,,3,idle,,1,no,,5,5,1.0,,,,rapi_s
d_ex_seayouagain_05_39,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_39,True,,5,think,,3,worry,,1,idle,,5,3,1.0,,,,anis_s
d_ex_seayouagain_05_40,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_40,True,,5,idle,,3,worry,,1,idle,,3,3,1.0,,,,anis_s
d_ex_seayouagain_05_41,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_41,True,,5,idle,,3,worry,,1,idle,,3,XS_30,1.0,,,,anis_s
d_ex_seayouagain_05_42,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_42,True,,5,idle,,3,worry,,1,idle,,XS_30,XS_30,1.0,,,,anis_s
d_ex_seayouagain_05_43,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_43,True,,5,idle,,3,worry,,1,idle,,XS_30,XS_30,1.0,,,,anis_s
d_ex_seayouagain_05_44,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_44,True,,5,idle,,3,worry,,1,idle,,XS_30,XS_30,1.0,,,,anis_s
d_ex_seayouagain_05_45,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_45,True,,5,idle,,3,worry,,1,idle,,XS_30,XS_300,0.7,,,,anis_s
d_ex_seayouagain_05_46,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_46,True,,5,idle,,3,worry,,1,idle,,XS_300,XS_300,1.0,,,,anis_s
d_ex_seayouagain_05_47,80600,d_ex_seayouagain_05,Self,Self,Locale_SuddenStory:d_ex_seayouagain_05_47,False,,5,idle,,3,worry,,1,idle,,XS_300,XS_300,1.0,,,,
d_ex_seayouagain_05_48,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_48,False,,5,idle,,3,worry,,1,idle,,black,black,1.0,,bgm_story_herecomestrouble,,
d_ex_seayouagain_05_49,80600,d_ex_seayouagain_05,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_05_49,False,,5,idle,,3,idle,,1,idle,,17,17,1.0,sfx_scn_bigwavebreak,,Low_2,
d_ex_seayouagain_05_50,80600,d_ex_seayouagain_05,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_05_50,True,,5,idle,,3,idle,,1,worry,,1,XS_10,0.3,,,Low_2,neon_s
d_ex_seayouagain_05_51,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_51,True,,5,idle,,3,worry,,1,worry,,black,black,1.0,,,,anis_s
d_ex_seayouagain_05_52,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_52,False,,5,idle,,3,special,,1,idle,,30,300,0.3,,,,anis_s
d_ex_seayouagain_05_53,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_53,True,,5,idle,,3,special,,1,idle,,black,black,1.0,,,,anis_s
d_ex_seayouagain_05_54,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_54,True,,5,angry,,3,special,,1,idle,,black,black,1.0,,,,anis_s
d_ex_seayouagain_05_55,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_55,True,,5,angry,,3,special,,1,idle,,5,50,0.3,,,,rapi_s
d_ex_seayouagain_05_56,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_56,True,,5,angry,,3,special,,1,idle,,50,50,1.0,,,,rapi_s
d_ex_seayouagain_05_57,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_57,False,,5,angry,,3,special,,1,idle,,black,black,1.0,,,,
