id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_forrest_05_s_13,40072,event_forrest_05_s,Self,yan,,Locale_SubScenario:event_forrest_05_s_13,False,,3,3,1.0,,,,,1,idle,,,3,etc,,,13,idle,
event_forrest_05_s_14,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_14,True,,3,S_30,1.0,,,black,,1,idle,,,3,sad,,,13,idle,
event_forrest_05_s_15,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_15,True,,S_30,S_30,1.0,,,,,1,idle,,,3,sad,,,13,idle,
event_forrest_05_s_16,40072,event_forrest_05_s,Self,yan,,Locale_SubScenario:event_forrest_05_s_16,False,,S_30,S_30,1.0,,,,,1,idle,,,3,sad,,,13,idle,
event_forrest_05_s_17,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_17,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle,,,13,idle,
event_forrest_05_s_18,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_18,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle,,,13,idle,
event_forrest_05_s_19,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_19,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle,,,13,idle,
event_forrest_05_s_20,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_20,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle,,,13,idle,
event_forrest_05_s_21,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_21,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle,,,13,idle,
event_forrest_05_s_22,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_22,True,,S_30,S_30,1.0,,,,,1,idle,,,3,idle,,,13,idle,
event_forrest_05_s_23,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_23,True,,S_30,2,1.0,,,,,1,idle,,,3,delight,,,13,idle,
event_forrest_05_s_24,40072,event_forrest_05_s,Speech,liter_c,liter_c,Locale_SubScenario:event_forrest_05_s_24,False,,2,2,1.0,,,,,1,shy,,,3,delight,,,13,idle,
event_forrest_05_s_25,40072,event_forrest_05_s,Speech,trina,trina,Locale_SubScenario:event_forrest_05_s_25,True,,2,12,1.0,,,,,1,shy,,,3,delight,,,13,delight,
event_forrest_05_s_26,40072,event_forrest_05_s,Speech,trina,trina,Locale_SubScenario:event_forrest_05_s_26,True,,12,L_130,1.0,,,,,1,shy,,,3,delight,,,13,idle,
event_forrest_05_s_27,40072,event_forrest_05_s,Monologue,trina,,Locale_SubScenario:event_forrest_05_s_27,False,,black,black,1.0,none,,,,1,shy,,,3,delight,yan,,13,idle,trina
event_forrest_05_s_28,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_28,False,,1,1,1.0,event_bgm_secretgarden,,,,1,shy,,,,,,,,,
event_forrest_05_s_29,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_29,False,,1,1,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_30,40072,event_forrest_05_s,Speech,liter_c,liter_c,Locale_SubScenario:event_forrest_05_s_30,True,,1,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_31,40072,event_forrest_05_s,Speech,liter_c,liter_c,Locale_SubScenario:event_forrest_05_s_31,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_32,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_32,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_33,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_33,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_34,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_34,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_35,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_35,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_36,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_36,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_37,40072,event_forrest_05_s,Speech,liter_c,liter_c,Locale_SubScenario:event_forrest_05_s_37,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,
event_forrest_05_s_38,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_38,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,
event_forrest_05_s_39,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_39,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,
event_forrest_05_s_40,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_40,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,
event_forrest_05_s_41,40072,event_forrest_05_s,Speech,liter_c,liter_c,Locale_SubScenario:event_forrest_05_s_41,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_42,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_42,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_43,40072,event_forrest_05_s,Self,liter_c,,Locale_SubScenario:event_forrest_05_s_43,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,
event_forrest_05_s_44,40072,event_forrest_05_s,Monologue,liter_c,,Locale_SubScenario:event_forrest_05_s_44,False,,XS_10,XS_100,1.0,,,,,1,idle,,,,,,,,,
event_forrest_05_s_45,40072,event_forrest_05_s,Speech,liter_c,liter_c,Locale_SubScenario:event_forrest_05_s_45,True,,XS_100,XS_100,1.0,,,,,1,idle,,,,,,,,,
event_forrest_05_s_46,40072,event_forrest_05_s,Speech,liter_c,liter_c,Locale_SubScenario:event_forrest_05_s_46,True,,XS_100,XS_100,1.0,,,,,1,idle,,,,,,,,,
