id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_doutsiders_04_s_14,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_14,True,,10,10,1.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_15,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_15,True,,10,10,1.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_16,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_16,True,,10,10,1.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_17,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_17,True,,10,10,1.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_18,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_18,True,,10,10,1.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_19,40006,event_doutsiders_04_s,Self,joseph,Self,Locale_SubScenario:event_doutsiders_04_s_19,False,,10,10,1.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_20,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_20,True,,10,1,2.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_21,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_21,True,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_22,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_22,True,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_23,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_23,True,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_24,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_24,True,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_25,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_25,True,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_26,40006,event_doutsiders_04_s,Self,joseph,Self,Locale_SubScenario:event_doutsiders_04_s_26,False,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_27,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_27,True,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_28,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_28,True,,1,10,2.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_29,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_29,True,,10,10,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_30,40006,event_doutsiders_04_s,Self,joseph,Self,Locale_SubScenario:event_doutsiders_04_s_30,False,,10,10,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_31,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_31,True,,10,10,1.0,,,,,,,1,sad,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_32,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_32,True,,10,10,1.0,,,,,,,1,sad,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_33,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_33,True,,10,10,1.0,,,,,,,1,sad,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_34,40006,event_doutsiders_04_s,Choice,joseph,,Locale_SubScenario:event_doutsiders_04_s_34,False,,10,10,1.0,,,,,event_doutsiders_04_s_36,,1,sad,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_35,40006,event_doutsiders_04_s,Choice,joseph,,Locale_SubScenario:event_doutsiders_04_s_35,False,,10,10,1.0,,,,,event_doutsiders_04_s_36,,1,sad,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_36,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_36,True,,10,100,2.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_37,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_37,True,,100,100,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_38,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_38,True,,100,100,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_39,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_39,True,,100,100,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_40,40006,event_doutsiders_04_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_40,True,,100,140,0.7,,,,,,,1,idle,,14,angry,,,16,idle,,,,,,,
event_doutsiders_04_s_41,40006,event_doutsiders_04_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_41,True,,140,140,1.0,,,,,,,1,idle,,14,angry,,,16,idle,,,,,,,
event_doutsiders_04_s_42,40006,event_doutsiders_04_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_42,True,,140,140,1.0,,,,,,,1,idle,,14,angry,,,16,idle,,,,,,,
event_doutsiders_04_s_43,40006,event_doutsiders_04_s,Self,viper,Self,Locale_SubScenario:event_doutsiders_04_s_43,False,,140,140,1.0,,,,,,,1,idle,,14,angry,,,16,idle,,,,,,,
event_doutsiders_04_s_44,40006,event_doutsiders_04_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_44,True,,140,140,1.0,,,,,,,1,idle,,14,good,,,16,no,,,,,,,
event_doutsiders_04_s_45,40006,event_doutsiders_04_s,Monologue,viper,Monologue,Locale_SubScenario:event_doutsiders_04_s_45,False,,140,1400,3.5,,,,,,,1,idle,,14,"expression_0,good",,,16,no,,,,,,,
event_doutsiders_04_s_46,40006,event_doutsiders_04_s,Narration,viper,Narration,Locale_SubScenario:event_doutsiders_04_s_46,False,,1400,1400,1.0,,sfx_scn_remotesignal,,,,,1,idle,,14,good,,,16,no,,,,,,,
event_doutsiders_04_s_47,40006,event_doutsiders_04_s,Narration,viper,Narration,Locale_SubScenario:event_doutsiders_04_s_47,False,,1400,1400,1.0,,,,,,,1,idle,,14,good,,,16,no,,,,,,,
event_doutsiders_04_s_48,40006,event_doutsiders_04_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_48,True,,1400,1400,1.0,,,,,,,1,idle,,14,good,,,16,no,,,,,,,
event_doutsiders_04_s_49,40006,event_doutsiders_04_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_49,True,,1400,1400,1.0,,,,,,,1,idle,,14,good,,,16,no,,,,,,,
event_doutsiders_04_s_50,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_50,False,,1400,10,2.0,,,,,,,1,sad,,14,good,,,16,idle,,,,,,,
event_doutsiders_04_s_51,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_51,True,,10,10,1.0,,,,,,,1,sad,,14,good,,,16,idle,,,,,,,
event_doutsiders_04_s_52,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_52,True,,10,10,1.0,,,,,,,1,sad,,14,good,,,16,idle,,,,,,,
event_doutsiders_04_s_53,40006,event_doutsiders_04_s,Narration,,Narration,Locale_SubScenario:event_doutsiders_04_s_53,False,,black,black,1.0,none,sfx_scn_aims,,,,,1,no,,14,good,viper,,16,idle,jackal,,,,,,
event_doutsiders_04_s_54,40006,event_doutsiders_04_s,Narration,,Narration,Locale_SubScenario:event_doutsiders_04_s_54,False,,10,555,0.3,bgm_emergency,,,,,,1,no,product12,3,idle,,product23,13,idle,,product08,5,idle,soldierfa,15,idle
event_doutsiders_04_s_55,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_55,True,,555,1,1.0,,,,,,,1,no,,3,idle,,,13,idle,,,5,idle,,15,idle
