id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade
event_exnii1_02_e_17,40070,event_exnii1_02_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_02_e_17,True,,1,idle,,3,sad2,,13,idle,,3,3,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_18,40070,event_exnii1_02_e,Speech,anchor,anchor,Locale_SubScenario:event_exnii1_02_e_18,True,,1,idle,,3,idle,,13,sad,,3,13,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_19,40070,event_exnii1_02_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_02_e_19,True,,1,idle,,3,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_20,40070,event_exnii1_02_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_02_e_20,True,,1,idle,,3,"expression_0,idle",,13,idle,,3,30,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_21,40070,event_exnii1_02_e,Self,rapi,,Locale_SubScenario:event_exnii1_02_e_21,False,rapi,1,worry,anis,3,idle,,13,idle,RedBeach_1,1,1,1.0,,,,,,helm,mast,anchor,ce005_01,15,idle,ce005_02,13,idle,ce005_03,17,idle,black
event_exnii1_02_e_22,40070,event_exnii1_02_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_02_e_22,True,,1,worry,,3,idle,neon,5,idle,,1,1,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_23,40070,event_exnii1_02_e,Self,rapi,,Locale_SubScenario:event_exnii1_02_e_23,False,,1,worry,,3,idle,,5,idle,,1,1,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_24,40070,event_exnii1_02_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_02_e_24,True,,1,idle,,3,idle,,5,idle,,1,3,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_25,40070,event_exnii1_02_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_02_e_25,True,,1,idle,,3,idle,,5,idle,,3,3,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_26,40070,event_exnii1_02_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_02_e_26,True,,1,idle,,3,idle,,5,idle,,3,3,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_27,40070,event_exnii1_02_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_02_e_27,True,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_28,40070,event_exnii1_02_e,Self,ce005_02,,Locale_SubScenario:event_exnii1_02_e_28,False,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_29,40070,event_exnii1_02_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_02_e_29,True,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_30,40070,event_exnii1_02_e,Self,ce005_02,,Locale_SubScenario:event_exnii1_02_e_30,False,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_31,40070,event_exnii1_02_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_02_e_31,True,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,surprise,,17,idle,
event_exnii1_02_e_32,40070,event_exnii1_02_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_02_e_32,True,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,think,,17,idle,
event_exnii1_02_e_33,40070,event_exnii1_02_e,Self,ce005_02,,Locale_SubScenario:event_exnii1_02_e_33,False,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,think,,17,idle,
event_exnii1_02_e_34,40070,event_exnii1_02_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_02_e_34,True,,1,idle,,3,idle,,5,idle,,16,16,1.0,,,,,,,,,,15,idle,,13,idle,,17,angry,
event_exnii1_02_e_35,40070,event_exnii1_02_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_02_e_35,True,,1,idle,,3,idle,,5,idle,,16,16,1.0,,,,,,,,,,15,idle,,13,idle,,17,angry,
event_exnii1_02_e_36,40070,event_exnii1_02_e,Self,ce005_01,,Locale_SubScenario:event_exnii1_02_e_36,False,,1,idle,,3,idle,,5,idle,,16,15,1.0,,,,,,,,,,15,idle,,13,idle,,17,angry,
event_exnii1_02_e_37,40070,event_exnii1_02_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_02_e_37,True,,1,idle,,3,idle,,5,idle,,15,15,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_38,40070,event_exnii1_02_e,Self,ce005_01,,Locale_SubScenario:event_exnii1_02_e_38,False,,1,idle,,3,idle,,5,idle,,15,15,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_39,40070,event_exnii1_02_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_02_e_39,True,,1,idle,,3,idle,,5,idle,,15,15,1.0,,,,,,,,,,15,no,,13,idle,,17,idle,
event_exnii1_02_e_40,40070,event_exnii1_02_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_02_e_40,True,,1,idle,,3,idle,,5,idle,,15,event_exnii_talk_08,1.0,,,,,,,,,,15,no,,13,think,,17,idle,
event_exnii1_02_e_41,40070,event_exnii1_02_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_02_e_41,True,,1,idle,,3,idle,,5,idle,,event_exnii_talk_08,event_exnii_talk_08,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_42,40070,event_exnii1_02_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_02_e_42,True,,1,idle,,3,idle,,5,idle,,event_exnii_talk_08,16,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_43,40070,event_exnii1_02_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_02_e_43,True,,1,idle,,3,idle,,5,idle,,16,16,1.0,,,,,,,,,,15,surprise,,13,idle,,17,idle,
event_exnii1_02_e_44,40070,event_exnii1_02_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_02_e_44,True,,1,idle,,3,idle,,5,idle,,13,13,1.0,,,,,,,,,,15,idle,,13,no,,17,idle,
event_exnii1_02_e_45,40070,event_exnii1_02_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_02_e_45,True,,1,idle,,3,idle,,5,idle,,16,16,1.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
event_exnii1_02_e_46,40070,event_exnii1_02_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_02_e_46,True,,1,idle,,3,idle,,5,idle,,16,150,2.0,,,,,,,,,,15,idle,,13,idle,,17,idle,
