id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
snowfall_speech_npc_day15_01_11,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_11,True,,2,2,1.0,,,,,3,idle,,1,idle,,,
snowfall_speech_npc_day15_01_12,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_12,True,,2,2,1.0,,,,,3,idle,,1,idle,,,
snowfall_speech_npc_day15_01_13,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_13,True,,2,2,1.0,,,,,3,idle,,1,idle,,,
snowfall_speech_npc_day15_01_14,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_14,True,,2,2,1.0,,,,,3,delight,,1,idle,,,
snowfall_speech_npc_day15_01_15,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_15,True,,2,2,1.0,,,,,3,delight,,1,idle,,,
snowfall_speech_npc_day15_01_16,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_16,True,,2,2,1.0,,,,,3,delight,,1,delight,,,
snowfall_speech_npc_day15_01_17,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_17,True,,2,2,1.0,,,,,3,delight,,1,delight,,,
snowfall_speech_npc_day15_01_18,80903,snowfall_speech_npc_day15_01,Narration,,,Locale_SubScenario:snowfall_speech_npc_day15_01_18,False,,2,12,1.0,,,sfx_scn_rustydooropen,,3,delight,,1,delight,lumi_01,13,idle
snowfall_speech_npc_day15_01_19,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_19,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_20,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_20,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_21,80903,snowfall_speech_npc_day15_01,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day15_01_21,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_22,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_22,True,,30,30,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_23,80903,snowfall_speech_npc_day15_01,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day15_01_23,True,,130,130,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_24,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_24,True,,30,30,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_25,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_25,True,,30,30,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_26,80903,snowfall_speech_npc_day15_01,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day15_01_26,True,,130,130,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_27,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_27,True,,130,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_28,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_28,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_29,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_29,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_30,80903,snowfall_speech_npc_day15_01,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day15_01_30,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_31,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_31,True,,12,12,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_32,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_32,True,,12,2,1.0,,,,,3,idle,,1,idle,,13,idle
snowfall_speech_npc_day15_01_33,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_33,True,,2,2,1.0,,,,,3,smile,,1,idle,,13,idle
snowfall_speech_npc_day15_01_34,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_34,True,,2,2,1.0,,,,,3,smile,,1,idle,,13,idle
snowfall_speech_npc_day15_01_35,80903,snowfall_speech_npc_day15_01,Narration,,,Locale_SubScenario:snowfall_speech_npc_day15_01_35,False,,black,black,1.0,,,,,3,smile,,1,idle,,13,idle
