id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_icedragonsaga2_06_s_18,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_18,False,,EventScene_icedragonsaga_11_1,EventScene_icedragonsaga_11_2,1.0,,,maiden_w,,,,,,,,,,
event_icedragonsaga2_06_s_19,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_19,False,,EventScene_icedragonsaga_11_2,EventScene_icedragonsaga_11_2,1.0,,,maiden_w,,,,,,,,,,
event_icedragonsaga2_06_s_20,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_20,False,,EventScene_icedragonsaga_11_2,EventScene_icedragonsaga_11_2,1.0,,,maiden_w,,,,,,,,,,
event_icedragonsaga2_06_s_21,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_21,False,,EventScene_icedragonsaga_11_2,EventScene_icedragonsaga_11_2,1.0,,,maiden_w,,,,,,,,,,
event_icedragonsaga2_06_s_22,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_22,False,,EventScene_icedragonsaga_11_2,EventScene_icedragonsaga_11_2,1.0,,,,,,,,,,sfx_scn_firebreath,,,
event_icedragonsaga2_06_s_23,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_23,False,,EventScene_icedragonsaga_11_2,EventScene_icedragonsaga_11_2,1.0,,,,,,,,,,,,,
event_icedragonsaga2_06_s_24,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_24,False,,EventScene_icedragonsaga_11_2,EventScene_icedragonsaga_11_1,0.5,,,,,,,,,,,,,
event_icedragonsaga2_06_s_25,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_25,False,,EventScene_icedragonsaga_11_1,EventScene_icedragonsaga_11_1,1.0,,,,,,,,,,sfx_scn_rapturehowl,,,
event_icedragonsaga2_06_s_26,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_26,False,,EventScene_icedragonsaga_11_1,EventScene_icedragonsaga_11_1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_06_s_27,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_27,False,,EventScene_icedragonsaga_11_1,EventScene_icedragonsaga_11_3,1.0,,,vesti_c,,,,,,,,,,
event_icedragonsaga2_06_s_28,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_28,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,vesti_c,,,,,,,,,,
event_icedragonsaga2_06_s_29,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_29,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,vesti_c,,,,,,,sfx_scn_spellfirecast,,,
event_icedragonsaga2_06_s_30,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_30,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,,,,,,,,sfx_scn_missilelaunch,,,
event_icedragonsaga2_06_s_31,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_31,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,,,,,,,,sfx_scn_explosions,,,
event_icedragonsaga2_06_s_32,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_32,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,,,,,,,,,,,
event_icedragonsaga2_06_s_33,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_33,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,vesti_c,,,,,,,,,,
event_icedragonsaga2_06_s_34,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_34,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,vesti_c,,,,,,,,,,
event_icedragonsaga2_06_s_35,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_35,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,vesti_c,,,,,,,,,,
event_icedragonsaga2_06_s_36,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_36,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_3,1.0,,,maiden_w,,,,,,,,,,
event_icedragonsaga2_06_s_37,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_37,False,,EventScene_icedragonsaga_11_3,EventScene_icedragonsaga_11_4,1.0,,,volume_c,,,,,,,,,,
event_icedragonsaga2_06_s_38,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_38,False,,EventScene_icedragonsaga_11_4,EventScene_icedragonsaga_11_4,1.0,,,maiden_w,,,,,,,,,,
event_icedragonsaga2_06_s_39,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_39,False,,EventScene_icedragonsaga_11_4,EventScene_icedragonsaga_11_4,1.0,,,volume_c,,,,,,,,,,
event_icedragonsaga2_06_s_40,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_40,False,,EventScene_icedragonsaga_11_4,EventScene_icedragonsaga_11_4,1.0,,,volume_c,,,,,,,,,,
event_icedragonsaga2_06_s_41,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_41,False,,EventScene_icedragonsaga_11_4,EventScene_icedragonsaga_11_4,1.0,,,volume_c,,,,,,,sfx_scn_shotgun,,,
event_icedragonsaga2_06_s_42,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_42,False,,EventScene_icedragonsaga_11_4,EventScene_icedragonsaga_11_4,1.0,,,,,,,,,,sfx_scn_rapturefin,,,
event_icedragonsaga2_06_s_43,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_43,False,,EventScene_icedragonsaga_11_4,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_06_s_44,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_44,False,,1,EventScene_icedragonsaga_11_1,0.5,,,guillotine_w,,,,,,,,,,
event_icedragonsaga2_06_s_45,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_45,True,SnowTown_i,L_10,L_10,1.0,bgm_story_sceneofmemory,ingrid,ingrid,ingrid,1,idle,,,,,,,black
event_icedragonsaga2_06_s_46,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_46,True,,L_10,L_10,1.0,,ingrid,ingrid,,1,idle,,,,,,,
event_icedragonsaga2_06_s_47,40065,event_icedragonsaga2_06_s,Self,Locale_MainScenario:event_icedragonsaga2_06_s_47,False,,L_10,L_10,1.0,,ingrid,,,1,idle,,,,,,,
event_icedragonsaga2_06_s_48,40065,event_icedragonsaga2_06_s,Self,Locale_MainScenario:event_icedragonsaga2_06_s_48,False,,L_10,L_10,1.0,,ingrid,,,1,idle,,,,,,,
event_icedragonsaga2_06_s_49,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_49,True,,L_10,L_10,1.0,,ingrid,ingrid,,1,idle,,,,,,,
event_icedragonsaga2_06_s_50,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_50,True,,L_10,L_10,1.0,,ingrid,ingrid,,1,idle,,,,,,,
event_icedragonsaga2_06_s_51,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_51,True,,L_10,L_10,1.0,,ingrid,ingrid,,1,idle,,,,,,,
event_icedragonsaga2_06_s_52,40065,event_icedragonsaga2_06_s,Self,Locale_MainScenario:event_icedragonsaga2_06_s_52,False,,L_10,L_10,1.0,,ingrid,,,1,idle,,,,,,,
event_icedragonsaga2_06_s_53,40065,event_icedragonsaga2_06_s,Self,Locale_MainScenario:event_icedragonsaga2_06_s_53,False,,L_10,L_10,1.0,,ingrid,,,1,idle,,,,,,,
event_icedragonsaga2_06_s_54,40065,event_icedragonsaga2_06_s,Self,Locale_MainScenario:event_icedragonsaga2_06_s_54,False,,black,black,1.0,,ingrid,,,1,idle,,,,,,,
