id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/4/hide_char_id,fade
event_romanticvalentine_06_s_22,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_22,True,,1,idle,,13,surprise,,3,idle,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_23,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_23,True,,1,idle,,13,surprise,,3,idle,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_24,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_24,True,,1,surprise,,13,surprise,,3,idle,,5,no,,7,idle,,S_10,S_10,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_25,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_25,True,,1,surprise,,13,surprise,,3,idle,,5,shy,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_26,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_26,True,,1,surprise,,13,surprise,,3,idle,,5,shy,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_27,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_27,True,,1,surprise,,13,surprise,,3,surprise,,5,shy,,7,idle,,6,6,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_28,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_28,True,,1,surprise,,13,surprise,,3,surprise,,5,shy,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_29,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_29,True,,1,surprise,,13,surprise,,3,surprise,,5,shy,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_30,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_30,True,,1,surprise,,13,surprise,,3,surprise,,5,shy,,7,idle,,6,6,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_31,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_31,True,,1,surprise,,13,surprise,,3,surprise,,5,shy,,7,idle,,6,6,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_32,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_32,True,,1,surprise,,13,surprise,,3,delight,,5,shy,,7,idle,,6,2,1.0,,sin_m,sin_m,,
event_romanticvalentine_06_s_33,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_33,True,,1,shy1,,13,surprise,,3,delight,,5,shy,,7,idle,,2,2,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_34,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_34,True,,1,shy1,,13,surprise,,3,delight,,5,shy,,7,idle,,2,2,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_35,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_35,True,,1,shy1,,13,surprise,,3,delight,,5,no,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_36,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_36,True,,1,shy1,,13,surprise,,3,delight,,5,no,,7,idle,,6,6,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_37,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_37,True,,1,delight,,13,surprise,,3,delight,,5,no,,7,idle,,S_10,S_10,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_38,40069,event_romanticvalentine_06_s,Narration,Locale_SubScenario:event_romanticvalentine_06_s_38,False,,1,delight,,13,surprise,,3,delight,,5,no,,7,idle,,black,black,1.0,none,,,,black
event_romanticvalentine_06_s_39,40069,event_romanticvalentine_06_s,Narration,Locale_SubScenario:event_romanticvalentine_06_s_39,False,,1,delight,,13,surprise,,3,delight,,5,no,,7,idle,,black,black,1.0,,,,,
event_romanticvalentine_06_s_40,40069,event_romanticvalentine_06_s,Narration,Locale_SubScenario:event_romanticvalentine_06_s_40,False,,1,delight,,13,surprise,,3,delight,,5,no,,7,idle,,black,black,1.0,,,,,
event_romanticvalentine_06_s_41,40069,event_romanticvalentine_06_s,Narration,Locale_SubScenario:event_romanticvalentine_06_s_41,False,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,black,black,1.0,,,,,
event_romanticvalentine_06_s_42,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_42,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,2,2,1.0,,sin_m,sin_m,,black
event_romanticvalentine_06_s_43,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_43,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,2,2,1.0,bgm_story_girlstalk,sin_m,sin_m,,
event_romanticvalentine_06_s_44,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_44,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,2,2,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_45,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_45,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,2,2,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_46,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_46,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,2,2,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_47,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_47,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,2,12,1.0,,anchor_m,anchor_m,,
event_romanticvalentine_06_s_48,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_48,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,12,12,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_49,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_49,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_50,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_50,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,S_100,S_100,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_51,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_51,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_52,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_52,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_53,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_53,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_54,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_54,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_55,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_55,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_56,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_56,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,6,4,1.0,,sin_m,sin_m,,
event_romanticvalentine_06_s_57,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_57,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,4,4,1.0,,sin_m,sin_m,,
event_romanticvalentine_06_s_58,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_58,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_59,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_59,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_60,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_60,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_61,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_61,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,XS_130,XS_130,1.0,,anchor_m,anchor_m,,
event_romanticvalentine_06_s_62,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_62,False,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,70,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_63,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_63,True,,1,surprise,,13,surprise,,3,delight,,5,no,,7,idle,,70,700,2.0,,sweetjohnny214,sweetjohnny214,,
