id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_alonesurvivor_05_s_57,40033,event_alonesurvivor_05_s,Choice,,,Locale_SubScenario:event_alonesurvivor_05_s_57,False,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_59,,1,no
event_alonesurvivor_05_s_58,40033,event_alonesurvivor_05_s,Choice,,,Locale_SubScenario:event_alonesurvivor_05_s_58,False,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_60,,1,no
event_alonesurvivor_05_s_59,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_59,True,,S_10,S_10,1.0,,Low_2,event_alonesurvivor_05_s_61,,1,no
event_alonesurvivor_05_s_60,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_60,True,,S_10,S_10,1.0,,Low_2,,,1,no
event_alonesurvivor_05_s_61,40033,event_alonesurvivor_05_s,Monologue,,Monologue,Locale_SubScenario:event_alonesurvivor_05_s_61,False,,S_10,S_100,1.0,,,,,1,special
event_alonesurvivor_05_s_62,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_62,True,,S_100,S_100,1.0,,,,,1,special
event_alonesurvivor_05_s_63,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_63,True,,S_100,S_100,1.0,,,,,1,special
event_alonesurvivor_05_s_64,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_64,True,,S_100,S_100,1.0,,,,,1,special
event_alonesurvivor_05_s_65,40033,event_alonesurvivor_05_s,Monologue,,Monologue,Locale_SubScenario:event_alonesurvivor_05_s_65,False,,S_100,S_100,1.0,,,,,1,special
event_alonesurvivor_05_s_66,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_66,False,,S_100,S_100,1.0,,,,,1,special
event_alonesurvivor_05_s_67,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_67,True,,S_100,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_68,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_68,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_69,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_69,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_70,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_70,False,,S_10,S_10,1.0,,,,,1,special
event_alonesurvivor_05_s_71,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_71,True,,S_10,S_10,1.0,,,,,1,special
event_alonesurvivor_05_s_72,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_72,True,,S_10,S_10,1.0,,,,,1,special
event_alonesurvivor_05_s_73,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_73,True,,S_10,S_10,1.0,,,,,1,special
event_alonesurvivor_05_s_74,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_74,True,,S_10,S_10,1.0,,,,,1,delight
event_alonesurvivor_05_s_75,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_75,False,,S_10,S_10,1.0,,,,,1,delight
