id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_liarsend_01_36,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_36,True,,10,10,1.0,,,,anis,anis,,1,worry,
event_liarsend_01_37,130004,event_liarsend_01,Self,Locale_SubScenario:event_liarsend_01_37,False,,10,10,1.0,,,,anis,,,1,worry,
event_liarsend_01_38,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_38,False,,10,1,1.0,,,,anis,anis,,1,sad,
event_liarsend_01_39,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_39,True,,1,1,1.0,,,,anis,anis,,1,sad,
event_liarsend_01_40,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_40,True,,1,1,1.0,,,,anis,anis,,1,sad,
event_liarsend_01_41,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_41,False,,1,1,1.0,,,sfx_scn_curtainopenlight,anis,,,1,sad,
event_liarsend_01_42,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_42,True,,1,1,1.0,,,,anis,anis,,1,no,
event_liarsend_01_43,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_43,False,,1,1,1.0,,,,,,,1,no,anis
event_liarsend_01_44,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_44,False,,1,1,1.0,,,,,,,,,
event_liarsend_01_45,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_45,False,,1,10,1.0,,m_event_liarsend_01_03,,,,,,,
event_liarsend_01_46,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_46,False,,10,10,1.0,,,,,,,,,
event_liarsend_01_47,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_47,False,,10,100,1.0,,,,,,,,,
