id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade,characters/0/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_exnii2_02_s_11,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_11,True,,OP_rightup,idle,,event_exnii_talk_01,5,1.0,,,1,worry,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_12,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_12,True,,OP_rightup,idle,,5,5,1.0,,,1,worry,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_13,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_13,True,,OP_rightup,idle,,5,5,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_14,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_14,True,,OP_rightup,idle,,5,5,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_15,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_15,True,,OP_rightup,idle,,5,5,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_16,40071,event_exnii2_02_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_02_s_16,True,,OP_rightup,idle,,5,event_exnii_talk_01,1.0,,,1,idle,,3,delight,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_17,40071,event_exnii2_02_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_02_s_17,True,,OP_rightup,delight,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_18,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_18,True,,OP_rightup,delight,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,shifty_r,,,,,,,,,,,,,,
event_exnii2_02_s_19,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_19,True,,,,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_20,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_20,True,,,,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_21,40071,event_exnii2_02_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_02_s_21,True,,,,,event_exnii_talk_01,event_exnii_talk_04,1.0,,,1,think,,3,worry,,5,idle,,13,no,,,,,,,,,,,,,,,,
event_exnii2_02_s_22,40071,event_exnii2_02_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_02_s_22,True,,,,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,1,think,,3,worry,,5,idle,,13,no,,,,,,,,,,,,,,,,
event_exnii2_02_s_23,40071,event_exnii2_02_s,Speech,neon,neon,Locale_SubScenario:event_exnii2_02_s_23,True,,,,,event_exnii_talk_04,13,1.0,,,1,think,,3,worry,,5,idle,,13,no,,,,,,,,,,,,,,,,
event_exnii2_02_s_24,40071,event_exnii2_02_s,Self,neon,,Locale_SubScenario:event_exnii2_02_s_24,False,,,,,13,16,1.0,,,1,idle,,3,idle,,5,idle,,13,no,,,maxwell,15,idle,liter,17,idle,ce005_03,19,idle,,,,,
event_exnii2_02_s_25,40071,event_exnii2_02_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_02_s_25,True,,,,,16,16,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,15,idle,,17,idle,,19,idle,rapi,anis,ce004_03,,
event_exnii2_02_s_26,40071,event_exnii2_02_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_02_s_26,True,,,,,16,16,1.0,,,,,,,,,,,,13,idle,,,,15,idle,,17,idle,,19,idle,,,,,
event_exnii2_02_s_27,40071,event_exnii2_02_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_02_s_27,True,,,,,16,16,1.0,,,,,,,,,,,,13,idle,,,,15,idle,,17,no,,19,idle,,,,neon,
event_exnii2_02_s_28,40071,event_exnii2_02_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_02_s_28,True,,,,,16,16,1.0,,,,,,,,,,,,,,,,,15,idle,,17,no,,19,idle,,,,,
event_exnii2_02_s_29,40071,event_exnii2_02_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_02_s_29,True,,,,,16,16,1.0,,,,,,,,,,,,,,,,,15,idle,,17,no,,19,idle,,,,,
event_exnii2_02_s_30,40071,event_exnii2_02_s,Self,ce005_03,,Locale_SubScenario:event_exnii2_02_s_30,False,,,,,16,18,1.0,,,,,,,,,,,,,,,,,15,idle,,17,idle,,19,idle,,,,,
event_exnii2_02_s_31,40071,event_exnii2_02_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_02_s_31,True,,,,,18,18,1.0,,,,,,,,,,,,,,,,,15,idle,,17,idle,,19,think,,,,,maxwell
event_exnii2_02_s_32,40071,event_exnii2_02_s,Speech,centi,centi,Locale_SubScenario:event_exnii2_02_s_32,True,,,,,18,14,1.0,,,,,,,,,,,helm,13,idle,,,centi,15,idle,,17,idle,,19,think,,,,,
event_exnii2_02_s_33,40071,event_exnii2_02_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_02_s_33,True,,,,,14,14,1.0,,,,,,,,,,,,13,idle,,,,15,idle,,17,idle,,19,think,,,,,
event_exnii2_02_s_34,40071,event_exnii2_02_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_02_s_34,True,,,,,14,14,1.0,,,,,,,,,,,,13,idle,,,,15,idle,,17,idle,,19,think,,,,,
event_exnii2_02_s_35,40071,event_exnii2_02_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_02_s_35,True,,,,,14,14,1.0,,,,,,,,,,,,13,idle,,,,15,idle,,17,idle,,19,think,,,,,
event_exnii2_02_s_36,40071,event_exnii2_02_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_02_s_36,True,,,,,14,17,1.0,,ce005_02,1,idle,,,,,,,,13,idle,,,,15,idle,,17,sorrow,,19,think,,,,,
event_exnii2_02_s_37,40071,event_exnii2_02_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_02_s_37,True,,,,,17,13,1.0,,,1,idle,,,,,,,,13,idle,,,,15,idle,,17,sorrow,,19,think,,,,,
event_exnii2_02_s_38,40071,event_exnii2_02_s,Self,helm,,Locale_SubScenario:event_exnii2_02_s_38,False,,,,,13,13,1.0,,,1,idle,,,,,,,,13,idle,,,,15,idle,,17,idle,,19,idle,,,,,
event_exnii2_02_s_39,40071,event_exnii2_02_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_02_s_39,True,,,,,13,13,1.0,,,1,idle,,,,,,,,13,delight,,,,15,idle,,17,idle,,19,idle,,,,,
event_exnii2_02_s_40,40071,event_exnii2_02_s,Self,ce005_02,,Locale_SubScenario:event_exnii2_02_s_40,False,,,,,13,1,1.0,,,1,idle,,,,,,,,13,delight,,,,15,idle,,17,idle,,19,idle,,,,,
event_exnii2_02_s_41,40071,event_exnii2_02_s,Self,ce005_02,,Locale_SubScenario:event_exnii2_02_s_41,False,,,,,1,1,1.0,,,1,idle,,,,,,,,13,delight,,,,15,idle,,17,idle,,19,idle,,,,,
event_exnii2_02_s_42,40071,event_exnii2_02_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii2_02_s_42,True,,,,,1,1,1.0,,,1,special,,,,,,,,13,delight,,,,15,idle,,17,idle,,19,idle,,,,,
