id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_brandnewyear_01_e_11,40005,event_brandnewyear_01_e,Self,Locale_SubScenario:event_brandnewyear_01_e_11,False,,S_10,S_10,1.0,,helm_p,,,,,1,no,,15,think,julia_p,,,
event_brandnewyear_01_e_12,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_12,True,,S_10,1,1.0,,helm_p,helm,,,,1,surprise,,,,,,,
event_brandnewyear_01_e_13,40005,event_brandnewyear_01_e,Self,Locale_SubScenario:event_brandnewyear_01_e_13,False,,1,1,1.0,,helm_p,,,,,1,surprise,,,,,,,
event_brandnewyear_01_e_14,40005,event_brandnewyear_01_e,Narration,Locale_SubScenario:event_brandnewyear_01_e_14,False,,black,black,1.0,,helm_p,,,,,1,surprise,,,,,,,
event_brandnewyear_01_e_15,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_15,True,,1,1,1.0,bgm_story_leisuretime,helm_p,helm,,,,1,idle,,,,,,,
event_brandnewyear_01_e_16,40005,event_brandnewyear_01_e,Choice,Locale_SubScenario:event_brandnewyear_01_e_16,False,,1,1,1.0,,helm_p,,,event_brandnewyear_01_e_18,,1,idle,,,,,,,
event_brandnewyear_01_e_17,40005,event_brandnewyear_01_e,Choice,Locale_SubScenario:event_brandnewyear_01_e_17,False,,1,1,1.0,,helm_p,,,event_brandnewyear_01_e_21,,1,idle,,,,,,,
event_brandnewyear_01_e_18,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_18,True,,1,S_10,1.0,,helm_p,helm,,,,1,no,,,,,,,
event_brandnewyear_01_e_19,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_19,True,,S_10,S_10,1.0,,helm_p,helm,,,,1,idle,,,,,,,
event_brandnewyear_01_e_20,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_20,True,,S_10,S_10,1.0,,helm_p,helm,,event_brandnewyear_01_e_22,,1,idle,,,,,,,
event_brandnewyear_01_e_21,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_21,True,,1,S_10,1.0,,helm_p,helm,,event_brandnewyear_01_e_22,,1,delight,,,,,,,
event_brandnewyear_01_e_22,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_22,True,,S_10,S_10,1.0,,helm_p,helm,,,,1,idle,,,,,,,
event_brandnewyear_01_e_23,40005,event_brandnewyear_01_e,Self,Locale_SubScenario:event_brandnewyear_01_e_23,False,,S_10,S_10,1.0,,helm_p,,,,,1,idle,,,,,,,
event_brandnewyear_01_e_24,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_24,True,,S_10,113,1.0,,mast,mast,,,,1,idle,mast,13,idle,,anchor,15,idle
event_brandnewyear_01_e_25,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_25,True,,113,113,1.0,,helm_p,helm,,,,1,surprise,,13,idle,,,15,idle
event_brandnewyear_01_e_26,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_26,True,,113,113,1.0,,mast,mast,,,,1,surprise,,13,idle,,,15,idle
event_brandnewyear_01_e_27,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_27,True,,S_150,S_150,1.0,,anchor,anchor,,,,1,surprise,,13,idle,,,15,idle
event_brandnewyear_01_e_28,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_28,True,,113,113,1.0,,helm_p,helm,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_29,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_29,True,,113,113,1.0,,mast,mast,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_30,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_30,True,,113,113,1.0,,helm_p,helm,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_31,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_31,True,,113,113,1.0,,mast,mast,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_32,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_32,True,,113,113,1.0,,mast,mast,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_33,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_33,True,,113,113,1.0,,mast,mast,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_34,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_34,True,,113,113,1.0,,helm_p,helm,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_35,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_35,True,,113,130,1.0,,mast,mast,,,,1,idle,,13,delight,,,15,idle
event_brandnewyear_01_e_36,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_36,True,,130,130,1.0,,mast,mast,,,,1,idle,,13,delight,,,15,idle
event_brandnewyear_01_e_37,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_37,True,,S_10,S_10,1.0,,helm_p,helm,,,,1,idle,,13,delight,,,15,idle
event_brandnewyear_01_e_38,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_38,True,,S_10,S_10,1.0,,helm_p,helm,,,,1,idle,,13,delight,,,15,idle
event_brandnewyear_01_e_39,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_39,True,,130,130,1.0,,mast,mast,,,,1,idle,,13,delight,,,15,idle
event_brandnewyear_01_e_40,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_40,True,,130,1315,1.0,,mast,mast,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_41,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_41,True,,1315,1315,1.0,,anchor,anchor,,,,1,idle,,13,idle,,,15,shy
event_brandnewyear_01_e_42,40005,event_brandnewyear_01_e,Self,Locale_SubScenario:event_brandnewyear_01_e_42,False,,1315,1315,1.0,,anchor,,,,,1,idle,,13,idle,,,15,shy
event_brandnewyear_01_e_43,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_43,True,,1315,113,1.0,,helm_p,helm,,,,1,no,,13,idle,,,15,idle
event_brandnewyear_01_e_44,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_44,True,,113,113,1.0,,mast,mast,,,,1,no,,13,idle,,,15,idle
event_brandnewyear_01_e_45,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_45,True,,113,113,1.0,,mast,mast,,,,1,no,,13,idle,,,15,idle
event_brandnewyear_01_e_46,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_46,True,,S_150,S_150,1.0,none,anchor,anchor,,,,1,no,,13,idle,,,15,angry
event_brandnewyear_01_e_47,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_47,True,,S_10,S_10,1.0,,helm_p,helm,,,,1,idle,,13,idle,,,15,idle
event_brandnewyear_01_e_48,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_48,True,,S_10,S_100,1.0,,helm_p,helm,,,,1,idle,,13,idle,,,15,idle
