id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target
event_1yearalready_01_23,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_23,True,,2,2,1.0,,,anis,anis,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_24,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_24,True,,2,2,1.0,,,anis,anis,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_25,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_25,True,,2,2,1.0,,,anis,anis,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_26,130003,event_1yearalready_01,Self,Locale_SubScenario:event_1yearalready_01_26,False,,2,2,1.0,,,,,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_27,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_27,True,,2,12,1.0,,,neon,neon,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_28,130003,event_1yearalready_01,Choice,Locale_SubScenario:event_1yearalready_01_28,False,,12,12,1.0,,,,,,3,idle,,1,idle,,13,idle,,event_1yearalready_01_30
event_1yearalready_01_29,130003,event_1yearalready_01,Choice,Locale_SubScenario:event_1yearalready_01_29,False,,12,12,1.0,,,,,,3,idle,,1,idle,,13,idle,,event_1yearalready_01_32
event_1yearalready_01_30,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_30,True,,12,12,1.0,,,anis,anis,,3,idle,,1,idle,,13,idle,,
event_1yearalready_01_31,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_31,True,,12,12,1.0,,,anis,anis,,3,idle,,1,idle,,13,idle,,event_1yearalready_01_33
event_1yearalready_01_32,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_32,True,,30,30,1.0,,,rapi,rapi,,3,idle,,1,idle,,13,idle,,event_1yearalready_01_33
event_1yearalready_01_33,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_33,True,,12,12,1.0,,,neon,neon,,3,idle,,1,idle,,13,delight,,
event_1yearalready_01_34,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_34,True,,12,12,1.0,,,anis,anis,,3,idle,,1,idle,,13,delight,,
event_1yearalready_01_35,130003,event_1yearalready_01,Self,Locale_SubScenario:event_1yearalready_01_35,False,,12,12,1.0,,,,,,3,idle,,1,idle,,13,delight,,
event_1yearalready_01_36,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_36,True,,30,30,1.0,,,rapi,rapi,,3,idle,,1,idle,,13,delight,,
event_1yearalready_01_37,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_37,True,,30,12,1.0,,,anis,anis,,3,idle,,1,delight,,13,idle,,
event_1yearalready_01_38,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_38,True,,12,12,1.0,,,anis,anis,,3,idle,,1,delight,,13,idle,,
event_1yearalready_01_39,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_39,True,,12,12,1.0,,,anis,anis,,3,idle,,1,delight,,13,idle,,
event_1yearalready_01_40,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_40,True,,12,12,1.0,,,neon,neon,,3,idle,,1,delight,,13,idle,,
event_1yearalready_01_41,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_41,True,,12,12,1.0,,,neon,neon,,3,idle,,1,delight,,13,idle,,
event_1yearalready_01_42,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_42,True,,12,12,1.0,,,neon,neon,,3,idle,,1,delight,,13,idle,,
event_1yearalready_01_43,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_43,True,,3,3,1.0,,,rapi,rapi,,3,think,,1,delight,,13,idle,,
