id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_absolute1_02_s_16,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_16,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_17,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_17,False,,1,1,1.0,,,,4,idle,,2,idle,,12,surprise,,,14,idle,
event_absolute1_02_s_18,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_18,False,,1,1,1.0,,,,4,idle,,2,idle,,12,surprise,,,14,idle,
event_absolute1_02_s_19,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_19,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,surprise,,,14,idle,
event_absolute1_02_s_20,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_20,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_21,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_21,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_22,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_22,True,,L_40,3,1.3,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_23,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_23,True,,3,3,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_24,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_24,True,,3,3,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_25,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_25,True,,3,3,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_26,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_26,True,,3,3,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_27,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_27,True,,3,3,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_28,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_28,True,,3,3,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_29,40086,event_absolute1_02_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_02_s_29,True,,140,140,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_30,40086,event_absolute1_02_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_02_s_30,True,,140,140,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_31,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_31,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_32,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_32,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_33,40086,event_absolute1_02_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_02_s_33,True,,140,140,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_34,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_34,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_35,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_35,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_36,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_36,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_37,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_37,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_38,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_38,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_39,40086,event_absolute1_02_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_02_s_39,True,,140,140,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_40,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_40,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_41,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_41,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_42,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_42,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_43,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_43,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_44,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_44,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_45,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_45,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_46,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_46,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_47,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_47,True,,XS_120,XS_120,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_48,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_48,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_49,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_49,True,,XS_120,XS_120,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_50,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_50,True,,XS_120,XS_120,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_51,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_51,True,,XS_120,XS_120,1.0,,,,4,idle,,2,idle,,12,shy,,,14,worry,
event_absolute1_02_s_52,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_52,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,shy,,,14,worry,
event_absolute1_02_s_53,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_53,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,shy,,,14,worry,
event_absolute1_02_s_54,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_54,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,shy,,,14,worry,
event_absolute1_02_s_55,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_55,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_56,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_56,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_57,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_57,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_58,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_58,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_59,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_59,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_60,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_60,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_61,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_61,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,worry,
event_absolute1_02_s_62,40086,event_absolute1_02_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute1_02_s_62,False,,black,black,1.0,none,black,,4,idle,,2,idle,,12,idle,vesti_t,,14,worry,emma_t
event_absolute1_02_s_63,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_63,False,,20,20,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_64,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_64,True,,20,3,1.3,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_65,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_65,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_66,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_66,True,,3,3,1.0,bgm_story_fairytalesend_if,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_67,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_67,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_68,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_68,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_69,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_69,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_70,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_70,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_71,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_71,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_72,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_72,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_73,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_73,True,,3,3,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_74,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_74,False,,3,L_40,1.5,,,,4,think,,2,idle,,,,,,,,
event_absolute1_02_s_75,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_75,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_76,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_76,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_77,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_77,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,,,,,,,
event_absolute1_02_s_78,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_78,False,,20,20,1.0,,,,4,idle,,2,angry,,,,,,,,
event_absolute1_02_s_79,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_79,True,,L_40,L_40,1.0,,,,4,idle,,2,angry,,,,,,,,
event_absolute1_02_s_80,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_80,True,,L_40,L_40,1.0,,,,4,idle,,2,angry,,,,,,,,
event_absolute1_02_s_81,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_81,True,,L_40,L_400,1.3,,,,4,idle,,2,angry,,,,,,,,
