id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
event_miraclesnow1_05_s_13,40003,event_miraclesnow1_05_s,Self,,,Locale_SubScenario:event_miraclesnow1_05_s_13,False,,170,L_10,2.0,,,,,,1,sad,,5,idle,,17,delight,,,,,
event_miraclesnow1_05_s_14,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_14,True,,L_10,1,1.0,,,,,,1,sad,,5,idle,,17,delight,emma_c,,,,
event_miraclesnow1_05_s_15,40003,event_miraclesnow1_05_s,Self,,,Locale_SubScenario:event_miraclesnow1_05_s_15,False,,1,1,1.0,,,,,,1,sad,,5,idle,,,,,,,,
event_miraclesnow1_05_s_16,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_16,True,,1,L_10,1.0,,,,,,1,think,,5,idle,,,,,,,,
event_miraclesnow1_05_s_17,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_17,True,,L_10,L_10,1.0,,,,,,1,think,,5,idle,,,,,,,,
event_miraclesnow1_05_s_18,40003,event_miraclesnow1_05_s,Self,,,Locale_SubScenario:event_miraclesnow1_05_s_18,False,,L_10,L_10,1.0,,,,,,1,think,,5,idle,,,,,,,,
event_miraclesnow1_05_s_19,40003,event_miraclesnow1_05_s,Self,,,Locale_SubScenario:event_miraclesnow1_05_s_19,False,,L_10,L_10,1.0,,,,,,1,think,,5,idle,,,,,,,,
event_miraclesnow1_05_s_20,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_20,True,,L_10,L_10,1.0,,,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_21,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_21,True,,L_10,L_100,0.5,,,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_22,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_22,True,,L_100,L_100,1.0,,,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_23,40003,event_miraclesnow1_05_s,Choice,,,Locale_SubScenario:event_miraclesnow1_05_s_23,False,,L_100,L_100,1.0,,event_miraclesnow1_05_s_25,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_24,40003,event_miraclesnow1_05_s,Choice,,,Locale_SubScenario:event_miraclesnow1_05_s_24,False,,L_100,L_100,1.0,,event_miraclesnow1_05_s_27,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_25,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_25,True,,L_100,L_10,1.0,,,,,,1,surprise,,5,idle,,,,,,,,
event_miraclesnow1_05_s_26,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_26,True,,L_10,L_10,1.0,,event_miraclesnow1_05_s_29,,,,1,shy,,5,idle,,,,,,,,
event_miraclesnow1_05_s_27,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_27,False,,L_100,L_100,1.0,,,,,,1,surprise,,5,idle,,,,,,,,
event_miraclesnow1_05_s_28,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_28,True,,L_100,L_10,1.0,,event_miraclesnow1_05_s_29,,,,1,shy,,5,idle,,,,,,,,
event_miraclesnow1_05_s_29,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_29,True,,L_10,L_10,1.0,,,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_30,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_30,True,,L_10,L_10,1.0,,,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_31,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_31,True,,L_10,L_10,1.0,,,,,,1,idle_02,,5,idle,,,,,,,,
event_miraclesnow1_05_s_32,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_32,True,,L_10,1,1.0,,,,,,1,sad,,5,idle,,,,,,,,
event_miraclesnow1_05_s_33,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_33,True,,1,1,1.0,,,,,,1,sad,,5,idle,,,,,,,,
event_miraclesnow1_05_s_34,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_34,True,,1,31,1.0,,,,,,1,idle_02,,3,surprise,,,,,,,,
event_miraclesnow1_05_s_35,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_35,False,,31,31,1.0,,,,,,1,idle_02,,3,surprise,,,,,,,,
event_miraclesnow1_05_s_36,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_36,True,,31,31,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,
event_miraclesnow1_05_s_37,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_37,True,,31,31,1.0,,,,,,1,surprise,,3,delight,,,,,,,,
event_miraclesnow1_05_s_38,40003,event_miraclesnow1_05_s,Narration,,Narration,Locale_SubScenario:event_miraclesnow1_05_s_38,False,,31,31,1.0,,,sfx_scn_bikeengine,,,1,surprise,,3,delight,,,,,,,,
event_miraclesnow1_05_s_39,40003,event_miraclesnow1_05_s,Speech,sugar,sugar,Locale_SubScenario:event_miraclesnow1_05_s_39,True,,31,13,1.0,,,,,,1,surprise,,3,delight,sugar,13,idle,,,,,
event_miraclesnow1_05_s_40,40003,event_miraclesnow1_05_s,Monologue,,,Locale_SubScenario:event_miraclesnow1_05_s_40,False,,13,13,1.0,,,,,,1,surprise,,3,delight,,13,idle,,,,,
event_miraclesnow1_05_s_41,40003,event_miraclesnow1_05_s,Self,,,Locale_SubScenario:event_miraclesnow1_05_s_41,False,,13,S_130,0.5,,,,,,1,surprise,,3,delight,,13,idle,,,,,
event_miraclesnow1_05_s_42,40003,event_miraclesnow1_05_s,Speech,sugar,sugar,Locale_SubScenario:event_miraclesnow1_05_s_42,True,,S_130,S_130,1.0,,,,,,1,surprise,,3,delight,,13,idle,,,,,
event_miraclesnow1_05_s_43,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_43,True,,L_10,L_10,1.0,,,,,,1,surprise,,3,delight,,13,idle,,,,,
event_miraclesnow1_05_s_44,40003,event_miraclesnow1_05_s,Speech,sugar,sugar,Locale_SubScenario:event_miraclesnow1_05_s_44,True,,S_130,S_130,1.0,,,,,,1,surprise,,3,delight,,13,idle,,,,,
event_miraclesnow1_05_s_45,40003,event_miraclesnow1_05_s,Speech,sugar,sugar,Locale_SubScenario:event_miraclesnow1_05_s_45,True,,S_130,S_130,1.0,,,,,,1,surprise,,3,delight,,13,idle,,,,,
event_miraclesnow1_05_s_46,40003,event_miraclesnow1_05_s,Speech,sugar,sugar,Locale_SubScenario:event_miraclesnow1_05_s_46,True,,S_130,S_130,1.0,,,,,,1,surprise,,3,delight,,13,idle,,,,,
event_miraclesnow1_05_s_47,40003,event_miraclesnow1_05_s,Narration,,Narration,Locale_SubScenario:event_miraclesnow1_05_s_47,False,,S_130,S_130,1.0,,,sfx_scn_bikeengine,,,1,surprise,,3,delight,,13,idle,sugar,,,,
event_miraclesnow1_05_s_48,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_48,False,,S_130,L_10,1.0,,,,m_event_miraclesnow1_05_s,,1,surprise,,3,delight,,,,,,,,
event_miraclesnow1_05_s_49,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_49,True,,L_10,L_10,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,
event_miraclesnow1_05_s_50,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_50,True,,L_10,31,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,
event_miraclesnow1_05_s_51,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_51,True,,31,31,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,
event_miraclesnow1_05_s_52,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_52,True,,31,31,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,
event_miraclesnow1_05_s_53,40003,event_miraclesnow1_05_s,Self,,,Locale_SubScenario:event_miraclesnow1_05_s_53,False,,31,31,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,
