id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,fade,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
event_BunnyX777_02_e_24,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_24,True,,10,10,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_25,40014,event_BunnyX777_02_e,Self,Locale_SubScenario:event_BunnyX777_02_e_25,False,,10,10,1.0,,,,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_26,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_26,True,,10,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_27,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_27,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_28,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_28,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_29,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_29,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_30,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_30,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_31,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_31,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_32,40014,event_BunnyX777_02_e,Self,Locale_SubScenario:event_BunnyX777_02_e_32,False,,100,100,1.0,,,,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_33,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_33,True,,100,10,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_34,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_34,True,,10,10,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_35,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_35,True,,10,10,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_36,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_36,True,,10,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_37,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_37,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_38,40014,event_BunnyX777_02_e,Self,Locale_SubScenario:event_BunnyX777_02_e_38,False,,100,100,1.0,,,,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_39,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_39,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_40,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_40,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_41,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_41,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_42,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_42,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_43,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_43,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_44,40014,event_BunnyX777_02_e,Self,Locale_SubScenario:event_BunnyX777_02_e_44,False,,100,100,1.0,,,,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_45,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_45,True,,L_10,L_10,1.0,,blanc,blanc,,1,idle,Grey,black,anis,,blanc,1,delight,noir,3,idle,,
event_BunnyX777_02_e_46,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_46,True,,L_10,L_10,1.0,,blanc,blanc,,,,Grey,,,,,1,delight,,3,idle,,
event_BunnyX777_02_e_47,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_47,True,,L_10,31,1.0,,blanc,blanc,,,,Grey,,,,,1,delight,,3,idle,,
event_BunnyX777_02_e_48,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_48,True,,31,31,1.0,,noir,noir,,,,Grey,,,,,1,idle,,3,idle,,
event_BunnyX777_02_e_49,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_49,True,,10,10,1.0,,anis,anis,anis,1,idle,,black,,,,1,idle,,3,idle,blanc,noir
event_BunnyX777_02_e_50,40014,event_BunnyX777_02_e,Self,Locale_SubScenario:event_BunnyX777_02_e_50,False,,10,10,1.0,,,,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_51,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_51,True,,10,100,1.0,,anis,anis,,1,shy,,,,,,,,,,,,
event_BunnyX777_02_e_52,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_52,True,,100,100,1.0,,anis,anis,,1,delight,,,,,,,,,,,,
event_BunnyX777_02_e_53,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_53,False,,black,black,1.0,,,,,1,delight,,,,,,,,,,,,
