id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_seayouagain_13_41,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_41,True,,1,3,1.0,,,helm_s,,,3,sad,,1,idle
d_ex_seayouagain_13_42,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_42,True,,3,30,1.0,,,helm_s,,,3,sad,,1,idle
d_ex_seayouagain_13_43,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_43,True,,30,30,1.0,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_44,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_44,True,,30,30,1.0,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_45,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_45,True,,30,300,0.7,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_46,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_46,True,,300,300,1.0,,,helm_s,,,3,angry,,1,idle
d_ex_seayouagain_13_47,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_47,True,,300,100,1.0,,,mary_s,,,3,angry,,1,idle
d_ex_seayouagain_13_48,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_48,True,,100,100,1.0,,,mary_s,,,3,idle,,1,idle
d_ex_seayouagain_13_49,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_49,False,,17,17,1.0,sfx_scn_wavebreak,,,,,3,idle,,1,idle
d_ex_seayouagain_13_50,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_50,True,,2,2,1.0,,,mary_s,,,3,idle,,1,idle
d_ex_seayouagain_13_51,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_51,True,,2,2,1.0,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_52,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_52,True,,2,2,1.0,,,helm_s,,,3,delight,,1,idle
d_ex_seayouagain_13_53,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_53,True,,2,2,1.0,,,mary_s,,,3,delight,,1,idle
d_ex_seayouagain_13_54,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_54,True,,2,2,1.0,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_55,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_55,True,,2,2,1.0,,,helm_s,,,3,idle,,1,idle
d_ex_seayouagain_13_56,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_56,False,,black,black,1.0,sfx_scn_wavebreak,,,,,3,idle,,1,idle
d_ex_seayouagain_13_57,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_57,True,,2,2,1.0,,,mary_s,,,3,idle,,1,think
d_ex_seayouagain_13_58,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_58,True,,2,2,1.0,,,helm_s,,,3,surprise,,1,think
d_ex_seayouagain_13_59,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_59,True,,2,10,1.0,,,mary_s,,,3,surprise,,1,think
d_ex_seayouagain_13_60,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_60,True,,10,10,1.0,,,mary_s,,,3,surprise,,1,think
d_ex_seayouagain_13_61,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_61,True,,10,100,1.0,,,mary_s,,,3,surprise,,1,idle
d_ex_seayouagain_13_62,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_62,True,,100,300,1.0,,,helm_s,,,3,think,,1,idle
d_ex_seayouagain_13_63,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_63,True,,100,10,1.0,,,mary_s,,,3,think,,1,think
d_ex_seayouagain_13_64,80600,d_ex_seayouagain_13,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_13_64,True,,300,30,1.0,,,helm_s,,,3,sad,,1,think
d_ex_seayouagain_13_65,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_65,True,,10,100,0.7,,,mary_s,,,3,sad,,1,think
d_ex_seayouagain_13_66,80600,d_ex_seayouagain_13,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_13_66,True,,100,100,1.0,,,mary_s,,,3,sad,,1,think
d_ex_seayouagain_13_67,80600,d_ex_seayouagain_13,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_13_67,False,,100,2,1.2,,,,,,3,shy,,1,shy
