id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,fade
event_boomsday_06_s_36,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_36,True,,3,delight,,1,idle,,S_300,S_300,1.0,,,,,,
event_boomsday_06_s_37,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_37,True,,3,delight,,1,idle,,S_300,S_30,1.0,,,,,,
event_boomsday_06_s_38,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_38,True,,3,delight,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_39,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_39,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_40,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_40,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,,,,
event_boomsday_06_s_41,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_41,True,,3,delight,,1,idle,,S_30,S_300,0.5,,,,,,
event_boomsday_06_s_42,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_42,True,,3,delight,,1,idle,EventTitle_BoomsDay_01,black,black,1.0,none,elegg,trony,,,
event_boomsday_06_s_43,40040,event_boomsday_06_s,Narration,,,Locale_SubScenario:event_boomsday_06_s_43,False,,,,,,,,black,black,1.0,,,,sfc_scn_tyrantcry,,
event_boomsday_06_s_44,40040,event_boomsday_06_s,Narration,,,Locale_SubScenario:event_boomsday_06_s_44,False,,,,,,,,black,black,1.0,bgm_story_onlineshopping,,,,,
event_boomsday_06_s_45,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_45,True,,,,,,,,booms_06,booms_05,0.3,,,,,Low_2,
event_boomsday_06_s_46,40040,event_boomsday_06_s,Narration,,,Locale_SubScenario:event_boomsday_06_s_46,False,,,,,,,,booms_05,booms_05,1.0,,,,,,
event_boomsday_06_s_47,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_47,True,,,,,,,,booms_05,booms_05,1.0,,,,,,
event_boomsday_06_s_48,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_48,True,,,,,,,,booms_05,booms_05,1.0,,,,,,
event_boomsday_06_s_49,40040,event_boomsday_06_s,Narration,,,Locale_SubScenario:event_boomsday_06_s_49,False,,,,,,,,booms_05,booms_05,1.0,,,,,,
event_boomsday_06_s_50,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_50,True,elegg,3,delight,trony,1,idle,TechIndoor,2,2,1.0,,,,,,black
event_boomsday_06_s_51,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_51,True,,3,delight,,1,sad,,2,2,1.0,,,,,,
event_boomsday_06_s_52,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_52,True,,3,delight,,1,sad,,2,2,1.0,,,,,,
event_boomsday_06_s_53,40040,event_boomsday_06_s,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_s_53,True,,3,worry,,1,sad,,2,2,1.0,,,,,,
event_boomsday_06_s_54,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_54,True,,3,worry,,1,sad,,2,10,1.0,,,,,,
event_boomsday_06_s_55,40040,event_boomsday_06_s,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_s_55,True,,3,worry,,1,sad,,10,10,1.0,none,,,,,
