id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_foolburstday_07_24,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_24,False,,31,1,1.0,,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_25,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_25,True,,1,S_10,1.0,none,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_26,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_26,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_27,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_27,True,,S_10,S_10,1.0,bgm_story_tepidappleade,mechashifty,mechashifty,,,1,idle,,,3,surprise,
event_foolburstday_07_28,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_28,True,,S_10,S_30,1.0,,shifty_s,shifty_s,,,1,idle,,,3,no,
event_foolburstday_07_29,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_29,False,,S_30,S_30,1.0,,shifty_s,,,,1,idle,,,3,no,
event_foolburstday_07_30,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_30,True,,S_30,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_31,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_31,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_32,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_32,False,,S_10,S_10,1.0,,mechashifty,,,,1,idle,,,3,no,
event_foolburstday_07_33,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_33,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_34,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_34,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_35,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_35,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_36,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_36,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_37,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_37,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_38,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_38,False,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_39,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_39,True,,S_10,S_100,0.5,,mechashifty,mechashifty,,,1,angry,,,3,idle,
event_foolburstday_07_40,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_40,False,,S_100,S_100,1.0,,mechashifty,,,,1,angry,,,3,idle,
event_foolburstday_07_41,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_41,True,,S_100,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_42,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_42,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_43,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_43,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_44,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_44,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_45,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_45,True,,S_10,S_30,1.0,,shifty_s,shifty_s,,,1,idle,,,3,no,
event_foolburstday_07_46,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_46,False,,S_30,S_30,1.0,,shifty_s,,,,1,idle,,,3,no,
event_foolburstday_07_47,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_47,True,,S_30,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_48,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_48,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_49,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_49,False,,S_10,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,no,
event_foolburstday_07_50,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_50,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_51,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_51,True,,S_10,S_100,0.7,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_52,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_52,False,,S_100,S_100,1.0,,mechashifty,,,,1,idle,,,3,no,
event_foolburstday_07_53,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_53,True,,S_100,S_100,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_54,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_54,False,,S_100,S_100,1.0,,mechashifty,mechashifty,,,1,idle,,,3,no,
event_foolburstday_07_55,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_55,False,,S_100,S_100,1.0,none,mechashifty,,,,1,idle,,,3,idle,
event_foolburstday_07_56,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_56,False,,S_100,S_100,1.0,,mechashifty,,,,1,idle,,,3,idle,
event_foolburstday_07_57,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_57,False,,S_100,S_100,1.0,,mechashifty,,,,1,idle,,,3,idle,
event_foolburstday_07_58,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_58,True,,S_100,S_100,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_59,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_59,True,,S_100,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_60,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_60,True,Station,1,31,1.0,bgm_story_leisuretime,shifty_s,shifty_s,black,,1,idle,,,3,idle,
event_foolburstday_07_61,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_61,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_62,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_62,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_63,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_63,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_64,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_64,False,,31,31,1.0,,shifty_s,,,,1,idle,,,3,idle,
event_foolburstday_07_65,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_65,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_66,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_66,True,,31,31,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_67,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_67,False,,31,31,1.0,,shifty_s,,,,1,idle,,,3,idle,
event_foolburstday_07_68,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_68,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_69,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_69,False,,31,31,1.0,,mechashifty,,,,1,idle,,,3,idle,
event_foolburstday_07_70,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_70,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_71,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_71,True,,31,31,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
event_foolburstday_07_72,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_72,True,,31,3,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_73,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_73,True,,3,S_30,0.5,,shifty_s,shifty_s,,,1,idle,,,3,delight,
event_foolburstday_07_74,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_74,True,,S_30,S_30,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_75,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_75,True,,S_30,S_300,0.5,,shifty_s,shifty_s,,,1,idle,,,3,delight,
event_foolburstday_07_76,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_76,True,,S_300,S_300,1.0,,shifty_s,shifty_s,,,1,idle,,,3,think,
event_foolburstday_07_77,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_77,False,,S_300,S_300,1.0,,shifty_s,,,,1,idle,,,3,think,
event_foolburstday_07_78,130007,event_foolburstday_07,Monologue,Locale_SubScenario:event_foolburstday_07_78,False,,S_300,S_300,1.0,,shifty_s,,,,1,idle,,,3,think,
event_foolburstday_07_79,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_79,True,,S_300,S_300,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_80,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_80,True,,S_300,S_300,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_81,130007,event_foolburstday_07,Self,Locale_SubScenario:event_foolburstday_07_81,False,,S_300,S_300,1.0,,shifty_s,,,,1,idle,,,3,idle,
event_foolburstday_07_82,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_82,True,,S_300,S_300,1.0,,shifty_s,shifty_s,,,1,idle,,,3,idle,
event_foolburstday_07_83,130007,event_foolburstday_07,Speech,Locale_SubScenario:event_foolburstday_07_83,True,,S_100,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,3,idle,
