id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,conversation_id,set_filter_01,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_dirtybackyard_04_e_19,40038,event_dirtybackyard_04_e,Self,Locale_SubScenario:event_dirtybackyard_04_e_19,False,,150,150,1.0,,,,,m_event_dirtybackyard_04_e,,,,,5,think,,3,idle
event_dirtybackyard_04_e_20,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_20,True,,S_30,S_30,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_21,40038,event_dirtybackyard_04_e,Self,Locale_SubScenario:event_dirtybackyard_04_e_21,False,,S_30,S_30,1.0,,,,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_22,40038,event_dirtybackyard_04_e,Monologue,Locale_SubScenario:event_dirtybackyard_04_e_22,False,,black,black,1.0,,,,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_23,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_23,True,,S_30,S_30,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_24,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_24,True,,S_30,S_30,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_25,40038,event_dirtybackyard_04_e,Self,Locale_SubScenario:event_dirtybackyard_04_e_25,False,,S_30,S_30,1.0,,,,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_26,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_26,True,,S_30,4,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_27,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_27,True,,4,4,1.0,,moran,moran,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_28,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_28,True,,4,4,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_29,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_29,True,,4,4,1.0,,moran,moran,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_30,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_30,False,,4,4,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_31,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_31,True,,4,S_30,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_32,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_32,True,,S_30,S_30,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_33,40038,event_dirtybackyard_04_e,Self,Locale_SubScenario:event_dirtybackyard_04_e_33,False,,S_30,S_30,1.0,,,,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_34,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_34,True,,S_30,S_30,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_35,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_35,True,,S_30,4,1.0,,moran,moran,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_36,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_36,True,,4,4,1.0,,moran,moran,,,,,,,5,think,,3,angry
event_dirtybackyard_04_e_37,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_37,True,,4,4,1.0,,sugar_g,sugar_g,,,,,,,5,think,,3,idle
event_dirtybackyard_04_e_38,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_38,True,,4,50,1.0,,moran,moran,,,,,,,5,idle,,3,idle
event_dirtybackyard_04_e_39,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_39,True,,50,50,1.0,,moran,moran,,,,,,,5,idle,,3,idle
event_dirtybackyard_04_e_40,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_40,True,,50,50,1.0,,moran,moran,,,,,,,5,think,,3,idle
event_dirtybackyard_04_e_41,40038,event_dirtybackyard_04_e,Narration,Locale_SubScenario:event_dirtybackyard_04_e_41,False,OuterRim,15,15,1.0,none,,,,,Blur_High,black,,,5,think,,3,idle
event_dirtybackyard_04_e_42,40038,event_dirtybackyard_04_e,Monologue,Locale_SubScenario:event_dirtybackyard_04_e_42,False,,15,15,1.0,,,,,,Blur_High,,,,5,think,,3,idle
event_dirtybackyard_04_e_43,40038,event_dirtybackyard_04_e,Monologue,Locale_SubScenario:event_dirtybackyard_04_e_43,False,,15,150,1.0,,,,,,Blur_Low,,,,5,think,,3,idle
event_dirtybackyard_04_e_44,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_44,True,,150,19,0.7,bgm_collapse_a,slummen,slummen,,,,,,,5,think,,3,idle
event_dirtybackyard_04_e_45,40038,event_dirtybackyard_04_e,Narration,Locale_SubScenario:event_dirtybackyard_04_e_45,False,,19,190,0.3,,,,sfx_scn_gunfire,,,,Low_2,,5,think,,3,idle
event_dirtybackyard_04_e_46,40038,event_dirtybackyard_04_e,Monologue,Locale_SubScenario:event_dirtybackyard_04_e_46,False,,black,black,1.0,,,,,,,,,,5,think,,3,idle
