id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_ce003_1_05_s_41,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_41,True,,12,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_42,40041,event_ce003_1_05_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_05_s_42,True,,12,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_43,40041,event_ce003_1_05_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_43,False,,black,black,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_44,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_44,True,,S_10,S_10,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_45,40041,event_ce003_1_05_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_05_s_45,True,,S_10,S_130,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_46,40041,event_ce003_1_05_s,Speech,soda,soda,Locale_SubScenario:event_ce003_1_05_s_46,True,,S_130,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_47,40041,event_ce003_1_05_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_05_s_47,True,,12,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_48,40041,event_ce003_1_05_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_48,False,,12,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_49,40041,event_ce003_1_05_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_49,False,,12,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_50,40041,event_ce003_1_05_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_50,False,,12,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_51,40041,event_ce003_1_05_s,Self,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_51,False,,12,12,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
event_ce003_1_05_s_52,40041,event_ce003_1_05_s,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_1_05_s_52,False,,black,black,1.0,,,,,,1,sad,,,,,,,,,,,,,,,13,idle,,,,,
